x_loc,radius,y_loc,abbrName,rounded_gameClock,frame_id,loess_coords,loess_residuals,quad_residuals,id
18.25766,6.07009,23.63103,A. Jefferson,528,1,6.745108841,-0.675018841,NA,1
18.9575,6.31234,23.84847,A. Jefferson,528,2,6.910384989,-0.598044989,NA,1
18.63266,6.31754,23.70526,A. Jefferson,528,3,6.994555322,-0.677015322,NA,1
19.11044,6.56798,24.09604,A. Jefferson,528,4,6.831980729,-0.264000729,NA,1
19.23956,6.6459,24.18371,A. Jefferson,528,5,6.761264375,-0.115364375,0.053369294,1
19.2255,6.89074,24.21488,A. Jefferson,528,6,6.819535822,0.071204178,0.069201307,1
19.16631,7.25403,23.82713,A. Jefferson,528,7,6.932655452,0.321374548,0.184902611,1
19.06883,7.47073,23.99094,A. Jefferson,528,8,7.16255964,0.30817036,0.262717939,1
18.97657,7.55964,23.99634,A. Jefferson,528,9,6.985756795,0.573883205,0.055839143,1
18.84835,7.76646,23.94245,A. Jefferson,528,10,7.563348024,0.203111976,0.052461506,1
18.80392,8.01424,23.82587,A. Jefferson,528,11,7.927627558,0.086612442,0.046924172,1
18.59264,8.36685,24.09749,A. Jefferson,528,12,7.418053271,0.948796729,0.047604305,1
18.18403,8.86469,23.94374,A. Jefferson,528,13,8.468272684,0.396417316,0.034855615,1
x_loc,radius,y_loc,abbrName,rounded_gameClock,frame_id,loess_coords,loess_residuals,quad_residuals,id
18.38719,6.094055,23.643045,A. Jefferson,1371,1,6.302081905,-0.208026905,NA,2
18.71013,6.2653,23.71414,A. Jefferson,1371,2,7.050069008,-0.784769008,NA,2
18.96358,6.430235,23.79261,A. Jefferson,1371,3,6.626858258,-0.196623258,NA,2
19.20161,6.595995,23.948775,A. Jefferson,1371,4,6.904450995,-0.308455995,NA,2
19.224935,6.770425,23.838885,A. Jefferson,1371,5,6.778418744,-0.007993744,0.035469709,2
19.21641,7.01178,23.747905,A. Jefferson,1371,6,6.824016216,0.187763784,0.090981998,2
19.171285,7.216795,23.760225,A. Jefferson,1371,7,7.069000355,0.147794645,0.133083892,2
19.10942,7.369065,23.926105,A. Jefferson,1371,8,7.378534417,-0.009469417,0.134518167,2
18.90324,7.52873,23.829895,A. Jefferson,1371,9,7.407891401,0.120838599,0.057445804,2
18.85596,7.749415,23.836475,A. Jefferson,1371,10,8.003265544,-0.253850544,0.062301964,2
18.75287,8.11056,23.83859,A. Jefferson,1371,11,7.586706861,0.523853139,0.048737616,2
18.48641,8.36892,23.817685,A. Jefferson,1371,12,7.808528914,0.560391086,0.084129958,2
x_loc,radius,y_loc,abbrName,rounded_gameClock,frame_id,loess_coords,loess_residuals,quad_residuals,id
18.22914,5.76329,26.67191,A. Jefferson,1680,1,6.789518275,-1.026228275,NA,3
18.525895,6.171175,26.552075,A. Jefferson,1680,2,7.48354298,-1.31236798,NA,3
18.882595,6.40991,26.442395,A. Jefferson,1680,3,7.183484184,-0.773574184,NA,3
19.20712,6.595085,26.301535,A. Jefferson,1680,4,7.183714256,-0.588629256,NA,3
