x_loc,radius,y_loc,abbrName,rounded_gameClock,frame_id,loess_coords,loess_residuals,quad_residuals,id
18.228045,5.427925,25.3043,B. Lopez,264,1,5.404822945,0.023102055,NA,1
18.294455,5.4979,25.400355,B. Lopez,264,2,6.23782934,-0.73992934,NA,1
18.21044,5.535325,25.30232,B. Lopez,264,3,5.149083803,0.386241197,NA,1
18.44154,5.723935,25.45678,B. Lopez,264,4,7.307914778,-1.583979778,NA,1
18.71862,6.11108,25.30951,B. Lopez,264,5,6.551047582,-0.439967582,0.038763499,1
18.997235,6.38443,25.40221,B. Lopez,264,6,7.481887646,-1.097457646,0.042313952,1
19.277675,6.685675,25.209025,B. Lopez,264,7,7.425646226,-0.739971226,0.021281018,1
19.510105,6.840905,25.120035,B. Lopez,264,8,7.392807647,-0.551902647,0.01308305,1
19.655115,6.961745,25.019115,B. Lopez,264,9,7.249560659,-0.287815659,0.011957985,1
19.7161,7.18515,24.9562,B. Lopez,264,10,7.271840955,-0.086690955,0.049200072,1
19.71586,7.36106,25.02164,B. Lopez,264,11,7.271679939,0.089380061,0.069394659,1
19.64286,7.59993,25.008875,B. Lopez,264,12,7.249668002,0.350261998,0.166039089,1
19.50059,7.94209,24.940495,B. Lopez,264,13,7.439245482,0.502844518,0.15998063,1
19.28789,8.18729,25.026435,B. Lopez,264,14,7.437450566,0.749839434,0.046848695,1
18.97544,8.618065,25.08193,B. Lopez,264,15,7.45571792,1.16234708,0.040677546,1
18.44659,9.31289,25.025415,B. Lopez,264,16,7.326232741,1.986657259,0.030694798,1
"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","id"
18.37087,5.4206,25.59143,"B. Lopez",177,1,5.35008503974307,0.0705149602569284,10
18.19522,5.42769,25.59732,"B. Lopez",177,2,5.90733048383759,-0.479640483837594,10
18.45954,5.49177,25.39598,"B. Lopez",177,3,5.77102842272027,-0.279258422720266,10
18.53981,5.58891,25.38955,"B. Lopez",177,4,6.39587922015702,-0.806969220157018,10
18.46945,5.60835,25.40091,"B. Lopez",177,5,5.88747368093219,-0.279123680932192,10
18.42875,5.62929,25.55892,"B. Lopez",177,6,5.3097564364312,0.319533563568805,10
18.50696,5.6574,25.46955,"B. Lopez",177,7,6.17153361630658,-0.514133616306578,10
18.43647,5.73003,25.42653,"B. Lopez",177,8,5.38755105436632,0.342478945633679,10
18.32672,5.80003,25.83929,"B. Lopez",177,9,5.30430421654468,0.495725783455322,10
18.64986,5.95241,25.64105,"B. Lopez",177,10,6.89474699746424,-0.942336997464237,10
19.04569,6.37222,25.44462,"B. Lopez",177,11,7.43983507479992,-1.06761507479992,10
19.38254,6.60195,25.30937,"B. Lopez",177,12,7.24902929661256,-0.647079296612556,10
19.53981,6.77962,25.24377,"B. Lopez",177,13,7.29044399102135,-0.510823991021354,10
19.76694,7.00971,25.12922,"B. Lopez",177,14,7.50628049704522,-0.496570497045225,10
19.69881,7.28203,25.23129,"B. Lopez",177,15,7.43793333197384,-0.155903331973838,10
19.87783,7.5235,24.86062,"B. Lopez",177,16,7.6147273806118,-0.0912273806117954,10
19.75594,7.80505,25.11698,"B. Lopez",177,17,7.4952414453031,0.309808554696897,10
19.6823,7.97389,25.05537,"B. Lopez",177,18,7.42192144732284,0.551968552677158,10
19.50383,8.38238,24.94505,"B. Lopez",177,19,7.26062637468608,1.12175362531392,10
18.95878,8.78978,25.10803,"B. Lopez",177,20,7.57498714567879,1.21479285432121,10
18.56466,9.39052,25.05426,"B. Lopez",177,21,6.52021310986431,2.87030689013569,10
17.9807,9.90581,25.01059,"B. Lopez",177,22,9.73240050084875,0.173409499151255,10
17.43854,10.42995,25.06627,"B. Lopez",177,23,10.480464821324,-0.0505148213239774,10
"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
17.998545,5.268195,24.53662,"B. Lopez",1506,1,6.35057871721223,-1.08238371721223,NA,11
18.311555,5.312595,24.626905,"B. Lopez",1506,2,6.25361237211916,-0.941017372119158,NA,11
18.078765,5.364065,24.60712,"B. Lopez",1506,3,6.19875908438511,-0.834694084385113,NA,11
18.23549,5.426505,24.69671,"B. Lopez",1506,4,6.17492783948243,-0.748422839482433,NA,11
18.25458,5.534635,24.60386,"B. Lopez",1506,5,6.20243585067251,-0.667800850672506,0.0470153724600813,11
18.6767,5.87726,24.623205,"B. Lopez",1506,6,7.09027282140132,-1.21301282140132,0.0613050181880208,11
18.87145,6.305765,24.67641,"B. Lopez",1506,7,6.75006978302604,-0.444304783026042,0.0393887727800104,11
19.22251,6.60794,24.80206,"B. Lopez",1506,8,7.18420208575436,-0.576262085754355,0.0610813543261081,11
19.24795,6.78173,24.927105,"B. Lopez",1506,9,7.13192457317314,-0.350194573173136,0.0680517518161096,11
19.44441,7.026145,24.97997,"B. Lopez",1506,10,7.22390780193393,-0.197762801933928,0.059395513169304,11
19.59356,7.207815,25.0004,"B. Lopez",1506,11,7.40128898358229,-0.193473983582293,0.0393226764725267,11
19.551325,7.438885,25.021505,"B. Lopez",1506,12,7.35238541563127,0.0864995843687337,0.0954366402199753,11
19.481105,7.58484,25.006205,"B. Lopez",1506,13,7.26571217251454,0.319127827485462,0.149321620569998,11
19.314585,7.95406,24.98042,"B. Lopez",1506,14,7.13521708352765,0.818842916472345,0.191831004283901,11
19.088125,8.18457,24.942865,"B. Lopez",1506,15,7.30164267245671,0.882927327543293,0.0225434759550501,11
18.62709,8.8336,24.982875,"B. Lopez",1506,16,7.09164238408704,1.74195761591296,0.0324820448976661,11
18.158545,9.327785,25.020155,"B. Lopez",1506,17,6.05890633857394,3.26887866142606,0.029332741912668,11
17.52865,9.95931,24.990495,"B. Lopez",1506,18,9.87693204794159,0.0823779520584118,0.0214215572187513,11
"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
18.1934,5.32232,25.56999,"B. Lopez",1130,1,6.138404809697,-0.816084809697004,NA,12
18.07567,5.40415,25.66318,"B. Lopez",1130,2,6.04983022247701,-0.645680222477012,NA,12
17.97724,5.48844,25.86332,"B. Lopez",1130,3,6.40698732424503,-0.91854732424503,NA,12
18.07063,5.54666,25.67648,"B. Lopez",1130,4,6.05580608322373,-0.509146083223733,NA,12
18.14103,5.57286,25.36227,"B. Lopez",1130,5,6.16452816390016,-0.591668163900164,0.0632691855042625,12
18.00806,5.59636,25.47634,"B. Lopez",1130,6,6.2562556985626,-0.659895698562601,0.0589645081915849,12
18.09402,5.59917,25.59446,"B. Lopez",1130,7,6.10517079188709,-0.50600079188709,0.0256275614098492,12
18.49374,5.75522,25.501,"B. Lopez",1130,8,6.80906887630902,-1.05384887630902,0.0125660592010741,12
18.57606,6.09902,25.3418,"B. Lopez",1130,9,6.99339063931742,-0.894370639317418,0.0537873494838459,12
18.90832,6.39051,25.31256,"B. Lopez",1130,10,7.43317733362718,-1.04266733362718,0.0602346217676828,12
19.23238,6.62909,25.08527,"B. Lopez",1130,11,7.58254225096545,-0.953452250965455,0.0794441371984393,12
19.46668,6.86822,24.94709,"B. Lopez",1130,12,7.54125073441179,-0.673030734411787,0.0631184237667904,12
19.72041,7.02654,24.88128,"B. Lopez",1130,13,7.31800469636257,-0.291464696362572,0.0134715513492573,12
19.87134,7.2413,24.91104,"B. Lopez",1130,14,7.12929181660701,0.112008183392986,0.0214196325080845,12
19.61717,7.2798,25.0026,"B. Lopez",1130,15,7.42230622912312,-0.142506229123124,0.0880912519102045,12
19.6522,7.58359,24.95208,"B. Lopez",1130,16,7.38806928419215,0.195520715807854,0.140980654019589,12
19.56613,7.86297,24.91899,"B. Lopez",1130,17,7.46900038781104,0.393969612188962,0.12217423380227,12
19.30985,8.12936,25.06987,"B. Lopez",1130,18,7.61679112276253,0.512568877237474,0.120487872105374,12
19.13052,8.53671,24.96188,"B. Lopez",1130,19,7.48842851168439,1.04828148831561,0.128721013967372,12
18.60825,9.16673,24.91904,"B. Lopez",1130,20,7.04246445580046,2.12426554419954,0.0520378061740253,12
18.09121,9.74612,24.81048,"B. Lopez",1130,21,6.10229562843289,3.64382437156711,0.0374532161476376,12
17.63405,10.37408,24.87446,"B. Lopez",1130,22,10.2624056473323,0.111674352667697,0.0513709772231667,12
"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
18.06105,5.26049,24.42985,"B. Lopez",2257,1,6.92539999246474,-1.66490999246474,NA,13
18.20031,5.51118,24.51872,"B. Lopez",2257,2,5.65613290228894,-0.144952902288936,NA,13
18.47723,5.83166,24.61785,"B. Lopez",2257,3,6.36115368154244,-0.52949368154244,NA,13
18.85018,6.24073,24.71563,"B. Lopez",2257,4,7.30920279262383,-1.06847279262383,NA,13
