x_loc,radius,y_loc,abbrName,rounded_gameClock,frame_id,loess_coords,loess_residuals,quad_residuals,id
18.102485,4.87964,26.094005,C. Paul,1843,1,6.354049627,-1.474409627,NA,1
18.42714,5.180125,25.87127,C. Paul,1843,2,6.52367166,-1.34354666,NA,1
18.799545,5.48627,25.76539,C. Paul,1843,3,5.692074372,-0.205804372,NA,1
19.221845,5.678945,25.466155,C. Paul,1843,4,5.669725918,0.009219082,NA,1
19.178255,5.731345,25.63616,C. Paul,1843,5,5.854873803,-0.123528803,0.018663739,1
19.429735,5.95947,25.36039,C. Paul,1843,6,5.949061532,0.010408468,0.036580739,1
19.396925,6.182015,25.47754,C. Paul,1843,7,6.279004547,-0.096989547,0.078226007,1
19.387875,6.38579,25.42851,C. Paul,1843,8,6.345623328,0.040166672,0.131456834,1
19.337815,6.681075,25.419605,C. Paul,1843,9,6.531466154,0.149608846,0.041194388,1
19.09097,7.06512,25.521675,C. Paul,1843,10,6.716369001,0.348750999,0.02840787,1
19.025585,7.525985,25.193525,C. Paul,1843,11,7.214397223,0.311587777,0.124991616,1
18.466025,8.279625,25.360825,C. Paul,1843,12,6.677236889,1.602388111,0.09242016,1
17.831495,8.95766,25.222175,C. Paul,1843,13,7.840348721,1.117311279,0.073256661,1
17.637225,9.42193,25.484915,C. Paul,1843,14,9.824766158,-0.402836158,0.124041864,1
x_loc,radius,y_loc,abbrName,rounded_gameClock,frame_id,loess_coords,loess_residuals,quad_residuals,id
18.05515,5.12793,23.92369,C. Paul,1770,1,6.492663371,-1.364733371,NA,10
18.407845,5.58978,24.165815,C. Paul,1770,2,6.973660102,-1.383880102,NA,10
18.81977,5.848235,24.34734,C. Paul,1770,3,6.664523678,-0.816288678,NA,10
19.126225,5.97467,24.38937,C. Paul,1770,4,6.18933193,-0.21466193,NA,10
19.17171,6.035995,24.47111,C. Paul,1770,5,6.024290061,0.011704939,0.025011465,10
19.03822,6.227875,24.58309,C. Paul,1770,6,7.040428384,-0.812553384,0.081673918,10
19.405005,6.43096,24.53373,C. Paul,1770,7,6.634820083,-0.203860083,0.098971258,10
19.35543,6.786885,24.54239,C. Paul,1770,8,6.454917012,0.331967988,0.161679634,10
18.79285,7.08028,24.13611,C. Paul,1770,9,6.541289239,0.538990761,0.131592898,10
19.06581,7.39006,24.55645,C. Paul,1770,10,6.797878773,0.592181227,0.31063588,10
18.980615,7.83749,24.67384,C. Paul,1770,11,7.452576453,0.384913547,0.11492482,10
18.473755,8.50506,24.6062,C. Paul,1770,12,7.122119661,1.382940339,0.297864339,10
17.79837,9.224915,24.58326,C. Paul,1770,13,7.665504871,1.559410129,0.277385859,10
17.109025,10.024915,24.65058,C. Paul,1770,14,10.15868085,-0.133765854,0.095248496,10
x_loc,radius,y_loc,abbrName,rounded_gameClock,frame_id,loess_coords,loess_residuals,quad_residuals,id
17.905365,4.78185,23.81755,C. Paul,2010,1,6.156899025,-1.375049025,NA,2
18.491915,5.082635,23.898945,C. Paul,2010,2,6.620209445,-1.537574445,NA,2
19.043715,5.39969,24.060605,C. Paul,2010,3,5.272991045,0.126698955,NA,2
18.968565,5.471015,24.162545,C. Paul,2010,4,5.672424765,-0.201409765,NA,2
19.292115,5.727485,24.2859,C. Paul,2010,5,6.140883841,-0.413398841,0.033613481,2
19.41169,5.80097,24.224825,C. Paul,2010,6,5.933718363,-0.132748363,0.035630748,2
19.3831,6.134225,24.25713,C. Paul,2010,7,5.964071273,0.170153727,0.104400675,2
19.30629,6.458895,24.33031,C. Paul,2010,8,6.104627477,0.354267523,0.203771474,2
19.178335,6.6865,24.33278,C. Paul,2010,9,6.633949822,0.052550178,0.224463728,2
18.881675,7.36081,24.58435,C. Paul,2010,10,6.589367872,0.771442128,0.08369887,2
18.562885,7.860305,24.44815,C. Paul,2010,11,6.502423359,1.357881641,0.028878884,2
18.246695,8.417195,24.521565,C. Paul,2010,12,7.36241974,1.05477526,0.027255614,2
17.42653,9.15133,24.36863,C. Paul,2010,13,8.934787842,0.216542158,0.024414838,2
x_loc,radius,y_loc,abbrName,rounded_gameClock,frame_id,loess_coords,loess_residuals,quad_residuals,id
18.322295,5.237845,23.93881,C. Paul,1392,1,6.543499878,-1.305654878,NA,3
18.828865,5.681405,24.15782,C. Paul,1392,2,6.108298043,-0.426893043,NA,3
19.11997,5.87974,24.25304,C. Paul,1392,3,5.879755932,-1.59E-05,NA,3
19.261115,6.081555,24.26198,C. Paul,1392,4,6.445971545,-0.364416545,NA,3
19.30879,6.348735,24.36077,C. Paul,1392,5,6.351458454,-0.002723454,0.070555341,3
19.261765,6.808985,24.40255,C. Paul,1392,6,6.443072443,0.365912557,0.192730972,3
19.19395,6.98878,24.48572,C. Paul,1392,7,6.985331172,0.003448828,0.255981745,3
18.994915,7.417305,24.528915,C. Paul,1392,8,7.087803287,0.329501713,0.188404038,3
18.59285,8.14081,24.54099,C. Paul,1392,9,7.540447807,0.600362193,0.089476732,3
18.08449,8.80478,24.55714,C. Paul,1392,10,7.616410531,1.188369469,0.00675776,3
17.562775,9.376815,24.5609,C. Paul,1392,11,9.473570329,-0.096755329,0.019266639,3
x_loc,radius,y_loc,abbrName,rounded_gameClock,frame_id,loess_coords,loess_residuals,quad_residuals,id
17.976375,4.786075,26.10243,C. Paul,2675,1,6.755078017,-1.969003017,NA,4
18.29635,5.174945,25.995365,C. Paul,2675,2,6.686366341,-1.511421341,NA,4
18.694185,5.44252,25.87491,C. Paul,2675,3,6.638434886,-1.195914886,NA,4
18.945005,5.6461,25.741825,C. Paul,2675,4,6.23790615,-0.59180615,NA,4
19.076055,5.89023,25.569245,C. Paul,2675,5,6.676564894,-0.786334894,0.050019031,4
19.458945,6.02063,25.518245,C. Paul,2675,6,6.11596011,-0.09533011,0.049267597,4
19.44099,6.22572,25.504645,C. Paul,2675,7,6.236719431,-0.010999431,0.069858688,4
19.43117,6.445685,25.543745,C. Paul,2675,8,6.298325319,0.147359681,0.100159235,4
19.273045,6.67199,25.47044,C. Paul,2675,9,6.844093677,-0.172103677,0.062671099,4
19.207405,6.968715,25.41633,C. Paul,2675,10,6.709608251,0.259106749,0.09210895,4
19.02411,7.38816,25.421355,C. Paul,2675,11,6.44284106,0.94531894,0.065788022,4
18.706035,8.070825,25.426425,C. Paul,2675,12,6.646496702,1.424328298,0.045804055,4
18.13684,8.736125,25.293905,C. Paul,2675,13,6.244619726,2.491505274,0.024298451,4
17.61048,9.48434,25.209555,C. Paul,2675,14,9.182111287,0.302228713,0.058879794,4
x_loc,radius,y_loc,abbrName,rounded_gameClock,frame_id,loess_coords,loess_residuals,quad_residuals,id
18.164605,4.84771,23.778765,C. Paul,1258,1,6.12177416,-1.27406416,NA,5
18.28123,5.02173,23.823355,C. Paul,1258,2,6.013976483,-0.992246483,NA,5
18.894005,5.44864,24.0393,C. Paul,1258,3,5.650471267,-0.201831267,NA,5
19.369045,5.61099,24.156895,C. Paul,1258,4,6.019949247,-0.408959247,NA,5
19.1334,5.75463,24.32133,C. Paul,1258,5,5.981784683,-0.227154683,0.057019948,5
19.10107,5.851955,24.298485,C. Paul,1258,6,6.578436858,-0.726481858,0.096791229,5
19.4211,6.184045,24.282105,C. Paul,1258,7,6.213328897,-0.029283897,0.143731287,5
19.373245,6.47186,24.29684,C. Paul,1258,8,6.033801679,0.438058321,0.184726539,5
19.111195,7.10518,24.44719,C. Paul,1258,9,6.357122373,0.748057627,0.405557157,5
18.973945,7.34752,24.59781,C. Paul,1258,10,7.238576059,0.108943941,0.355178892,5
18.66529,8.016285,24.50208,C. Paul,1258,11,7.719215227,0.297069773,0.047632985,5
18.207085,8.3882,24.260585,C. Paul,1258,12,6.083061365,2.305138635,0.036862514,5
17.66598,9.080965,24.34435,C. Paul,1258,13,9.077969917,0.002995083,0.067623073,5
x_loc,radius,y_loc,abbrName,rounded_gameClock,frame_id,loess_coords,loess_residuals,quad_residuals,id
18.04312,4.967165,26.13464,C. Paul,1200,1,6.659399455,-1.692234455,NA,6
