"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","V258","V259","V260","V261","V262","V263","V264","V265","V266","V267","V268","V269","V270","abbrName"
5.10098,-0.950529860185557,1.146425,5.14829,-0.95196064973189,1.07459,5.16545,-0.95198918029719,1.225075,5.25534,-0.947788587955833,1.05251,5.297675,-0.943232347087901,1.17236,5.541215,-0.883476120875185,1.060245,5.60178,-0.860378671524138,1.1391,5.62225,-0.852111325784314,1.07887,5.65283,-0.839252154075999,1.17852,5.83129,-0.748368364856446,1.172665,5.88823,-0.712145148085449,1.03468,5.96479,-0.656558361428658,1.010665,6.04774,-0.581559784958225,1.05333,6.058935,-0.570021275556534,1.07046,6.113475,-0.509715283223542,1.10576,6.28462,-0.288855279980808,1.10158,6.34497,-0.204982753873032,0.896129999999999,6.37107,-0.168534170575786,1.06444,6.40255,-0.121167772101133,0.942625,6.42796,-0.0791095973310361,0.842855,6.476735,0.00566680073744238,0.872769999999999,6.492485,0.0328563187605144,0.783480000000001,6.534605,0.101364019028472,0.900110000000002,6.571445,0.159873059728013,0.789684999999999,6.57391,0.163917387991551,0.695409999999999,6.64359,0.277238071476767,0.973855,6.654085,0.293158454948983,0.706365000000002,6.66411,0.307823868962705,0.697040000000001,6.70135,0.35623173126035,0.649535,6.74598,0.404090610697801,0.699005,6.75849,0.4162250071037,0.859860000000001,6.770565,0.427360155329942,0.840869999999999,6.78633,0.441005403116031,0.546710000000001,6.790585,0.444508969916767,0.479489999999998,6.8034,0.454584684134036,0.557185,6.80618,0.456693363101333,0.553775000000002,6.83229,0.475985555592443,0.528210000000001,6.834,0.47719288969439,0.613389999999999,6.85073,0.488415969236292,0.516380000000002,6.86111,0.494709260679937,0.523029999999999,6.881715,0.505184771172545,0.4941,6.88283,0.505665037381559,0.76023,6.89589,0.510705326638491,0.715515,6.9176,0.517123395919189,0.621759999999998,6.924835,0.518856402754102,0.52955,6.94796,0.523339063349754,0.458600000000001,6.96194,0.523741529127972,0.64603,6.97629,0.522351565197845,0.794180000000001,6.99488,0.519123881824061,0.552900000000001,7.018705,0.515205653501424,0.490410000000001,7.02035,0.515026986862628,0.472615000000001,7.050245,0.511534246713291,0.424199999999999,7.06031,0.509752482074842,0.59674,7.08965,0.50291086566981,0.418759999999999,7.093515,0.501837724252258,0.41873,7.16258,0.476937081028798,0.47644,7.21848,0.450629102837924,0.526985,7.222795,0.448393517589955,0.39781,7.2399,0.438556865806403,0.371259999999999,7.305225,0.389717576594645,0.346675000000001,7.41128,0.294755889429977,0.44144,7.41399,0.292410405689463,0.301345000000001,7.47136,0.247445454500253,0.329350000000002,7.47775,0.243059703817815,0.425550000000001,7.498005,0.228903805262124,0.366614999999999,7.53551,0.201768905846369,0.408239999999999,7.64758,0.115511289304477,0.26773,7.73394,0.046548627881337,0.298819999999999,7.740185,0.0415505316480819,0.458684999999999,7.959405,-0.140328628257549,0.293279999999999,7.986605,-0.163451223940556,0.172440000000002,8.064585,-0.229924902792393,0.33746,8.16514,-0.315354002954421,0.305714999999999,8.22885,-0.36883894608603,0.282150000000001,8.27242,-0.405331765078051,0.265940000000001,8.580035,-0.669882015302592,0.281065000000002,8.607555,-0.693879006469457,0.285795,8.69217,-0.767705079933852,0.323889999999999,8.892425,-0.941361536439538,0.270610000000001,8.9058,-0.952857109202382,0.34346,9.126765,-1.14375315053584,0.284344999999998,9.16825,-1.17977070004743,0.196494999999999,9.245825,-1.24724303948778,0.263045000000002,9.269265,-1.26765831781271,0.489730000000002,9.363985,-1.35026670512834,0.309989999999999,9.50242,-1.47134283140818,0.268225000000001,9.60692,-1.5630398413352,0.245190000000001,9.729255,-1.67071560069288,0.176375,9.868345,-1.79356977356188,0.235365000000002,9.954095,-1.86953900378895,0.330590000000001,"AlecBurks"
"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","V258","V259","V260","V261","V262","V263","V264","V265","V266","V267","V268","V269","V270","abbrName"
5.35653,-1.16778505755213,0.84966,5.370795,-1.16423405174584,0.857634999999998,5.49845,-1.12543826885267,0.823060000000002,5.503815,-1.12353151123544,0.928045000000001,5.510445,-1.12114439758935,0.760745,5.72143,-1.02743633852447,0.827794999999998,5.738775,-1.01821326696514,0.760694999999998,5.82693,-0.967984098528383,0.914774999999999,5.831755,-0.965070209305664,0.797664999999999,6.005395,-0.848341966018463,0.830545000000001,6.08316,-0.788283502467527,0.873925,6.10004,-0.774585726014669,0.845179999999999,6.1012,-0.773634488045702,0.82555,6.21031,-0.67187112238299,0.8081,6.213055,-0.669075251936319,0.674064999999999,6.25879,-0.621575356314468,0.666329999999999,6.27967,-0.599530800840157,0.863510000000002,6.35329,-0.522201114885313,0.712409999999998,6.40745,-0.460414108808454,0.753160000000001,6.451815,-0.405555180892874,0.76174,6.45426,-0.40254549020625,0.826775000000001,6.477935,-0.373947087191135,0.599550000000001,6.501315,-0.347261967448007,0.619890000000002,6.57823,-0.25455689104806,0.601189999999999,6.62622,-0.193428760650894,0.68533,6.6341,-0.183556175881662,0.66534,6.675655,-0.133652043045725,0.546365000000002,6.69223,-0.115201104845934,0.874755,6.71108,-0.0955826341867813,0.649889999999999,6.73641,-0.0694080275343211,0.793620000000001,6.772525,-0.030643265998695,0.627945,6.78779,-0.0144913091926731,0.624600000000001,6.806325,0.00439290274748346,0.759049999999998,6.82626,0.0233030725295169,0.741244999999999,6.85976,0.0503521678311388,0.646699999999999,6.86456,0.0538993495356442,0.67962,6.8694,0.0574833795353238,0.636790000000001,6.891585,0.073714067493964,0.705314999999999,6.90104,0.080366492597282,0.624115,6.939085,0.103613601834262,0.74784,6.94998,0.10910514215686,0.604865,6.96717,0.117451110583977,0.522099999999998,7.0181,0.138210979674277,0.566814999999998,7.022355,0.139572819831363,0.737485,7.0529,0.147104451823043,0.587015000000001,7.10525,0.149665781658401,0.634615,7.12933,0.147224541804309,0.545960000000001,7.13721,0.146056110522847,0.659690000000001,7.17488,0.138660071457102,0.675899999999999,7.18381,0.136601951726211,0.791705,7.21581,0.128876989820321,0.79147,7.227625,0.125537020294122,0.643695000000001,7.2913,0.095293345797461,0.695944999999998,7.317055,0.0799124348110034,0.59929,7.32876,0.0728398728766337,0.838825,7.354995,0.0575400118227253,0.889510000000001,7.37754,0.0457777106914857,0.679005,7.39267,0.0381362416008075,0.90401,7.404085,0.0319194450867641,0.655674999999999,7.40932,0.0289523016116528,0.770610000000001,7.48311,-0.0180037204151723,0.774049999999999,7.48833,-0.021514999898669,0.958480000000002,7.54925,-0.0615302959725412,0.800740000000001,7.564585,-0.0714389212471733,0.682739999999999,7.56592,-0.0723319119811495,0.806629999999998,7.57403,-0.077838822724563,0.863060000000001,7.615495,-0.106955755040014,0.776250000000001,7.639085,-0.122906210256562,0.686979999999998,7.71112,-0.170491763353981,0.869150000000001,7.72021,-0.176614095524146,0.800439999999998,7.73576,-0.187144654208999,0.793495,7.84211,-0.260927560395125,0.870419999999999,7.8742,-0.283723899315193,0.893374999999999,7.888155,-0.293704349231394,0.800625,7.91411,-0.312414271106418,0.784680000000002,7.98017,-0.360983633847112,0.802980000000002,8.028735,-0.397484273108952,0.884105000000002,8.04713,-0.411469601415336,0.757770000000001,8.101525,-0.453292921909611,0.83173,8.19852,-0.529382842365868,0.718260000000001,8.23424,-0.558049182056839,0.86178,8.297705,-0.610138668775146,0.641304999999999,8.502735,-0.786776897448107,0.806139999999999,8.57473,-0.851116657687836,0.667249999999999,8.64434,-0.914109724505583,0.724164999999999,8.741045,-1.00291477023288,0.543890000000001,8.86738,-1.1215374415579,0.739450000000001,9.191795,-1.44001940021096,0.602139999999999,9.210495,-1.45899870780775,0.65475,9.366615,-1.62015063567758,0.53809,"AlHorford"
"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","V258","V259","V260","V261","V262","V263","V264","V265","V266","V267","V268","V269","V270","abbrName"
5.58909,-1.07195256659879,1.47547,5.67337,-1.00385410841765,1.507615,5.73327,-0.951426712367837,1.534985,5.76329,-0.923921250294617,1.67191,5.898025,-0.790655440554043,1.49539,6.00062,-0.678806349405478,1.41372,6.07009,-0.59806486688332,1.36897,6.094055,-0.568762419275603,1.356955,6.171175,-0.469819242358658,1.552075,6.171585,-0.469280381362212,1.46154,6.21613,-0.410389034028274,1.364845,6.26407,-0.347022871443,1.17752,6.31035,-0.278413897126374,1.214375,6.31234,-0.27519495767292,1.15153,6.343605,-0.223182871739337,1.15205,6.3717,-0.175955301771354,1.20481,6.40991,-0.115377123450099,1.442395,6.424595,-0.0943340604802156,1.184015,6.430235,-0.0864437837732051,1.20739,6.44174,-0.0696490234755564,1.18949,6.533045,0.074218176462212,1.33671,6.54038,0.0848141520299344,1.00189,6.56798,0.120688448760181,0.903960000000001,6.571445,0.124751284212375,1.17193,6.593295,0.151456776745147,1.298755,6.595085,0.153703674554602,1.301535,6.6459,0.217072715146619,0.816289999999999,6.65018,0.222093565838685,1.02562,6.69159,0.264323047078634,0.841539999999998,6.69196,0.26463402095666,1.16987,6.70753,0.277128837176857,0.958819999999999,6.71987,0.286255374018282,1.05919,6.789505,0.327425375016521,1.092785,6.79065,0.327986307625939,1.22168,6.85201,0.351969650330371,1.128125,6.863185,0.354085373036422,0.742825,6.89074,0.356555228396495,0.785119999999999,6.922765,0.35570585622129,1.00717,6.934095,0.354755122184864,1.206975,7.01178,0.346469735204801,1.252095,7.04032,0.341572785594029,1.01633,7.04431,0.34048355349067,0.974789999999999,7.08497,0.326177819619678,1.145115,7.087595,0.325152785062045,1.237905,7.137225,0.307906565045218,1.130915,7.216795,0.276071885979918,1.239775,7.22958,0.269471710465571,1.006765,7.27131,0.246779009933081,0.903400000000001,7.295605,0.23346593540102,1.19195,7.336275,0.21259422860091,1.165335,7.33675,0.212368098839401,0.992809999999999,7.369065,0.197209058715173,1.073895,7.37111,0.196198641474,1.080535,7.50566,0.122664932379915,0.945889999999999,7.520375,0.114912888883766,1.176085,7.52873,0.110640381436853,1.170105,7.54208,0.104043489257709,1.175905,7.5747,0.0881812227315658,1.15123,7.58111,0.0850369480308295,0.854175000000001,7.66385,0.0437541631572339,0.937059999999999,7.71219,0.019140480795935,0.983370000000001,7.73874,0.00550391719150773,1.192805,7.747375,0.00105383484816715,1.152805,7.749415,1.64625763360684e-06,1.163525,7.76646,-0.00879652702825786,1.05755,7.856385,-0.055609687202378,1.08473,7.874745,-0.0652963513334603,0.788744999999999,7.93425,-0.0971375304776979,1.17929,8.00195,-0.133650379677032,1.084295,8.025985,-0.146617025963238,1.08561,8.033565,-0.150716319228752,1.18524,8.060055,-0.16510075195214,1.068735,8.11056,-0.192909811726406,1.16141,8.206705,-0.248221347209104,1.087195,8.24792,-0.27289189231188,1.3932,8.340365,-0.32907894051988,1.041535,8.36685,-0.345519775273475,0.902509999999999,8.450305,-0.398791915102111,0.963934999999999,8.46309,-0.407187578516287,0.950890000000001,8.610775,-0.508512794481486,1.096235,8.69297,-0.567773962549379,0.99755,8.81845,-0.661440797919009,0.96611,8.86469,-0.696769850133459,1.05626,9.03538,-0.829952343156034,1.059325,9.08147,-0.866450456981938,1.160525,9.29769,-1.0408069140439,0.878260000000001,9.346455,-1.08090209264862,0.955304999999999,9.72613,-1.40295201804315,0.943574999999999,9.864385,-1.5246330470454,0.961964999999999,10.29238,-1.9165949095936,0.79552,"AlJefferson"
"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","V258","V259","V260","V261","V262","V263","V264","V265","V266","V267","V268","V269","V270","abbrName"
4.90716,-0.722437297135462,-0.84657,5.038755,-0.737285482158159,-0.900765,5.11668,-0.737335212720026,-0.691990000000001,5.180125,-0.73249845111457,-0.871269999999999,5.23031,-0.725538483179023,-0.0308600000000006,5.27479,-0.717025450074746,-0.32591,5.3208,-0.705796879417569,-0.215260000000001,5.37206,-0.690529289964775,1.07949,5.42294,-0.672732312429521,0.629529999999999,5.468325,-0.654829863318852,0.963795000000001,5.51928,-0.632669743466202,0.330925000000001,5.570265,-0.607664325626375,0.281414999999999,5.62299,-0.57721127635003,-0.267980000000001,5.673415,-0.544716153115464,0.718900000000001,5.7229,-0.510672888769138,0.327995000000001,5.76765,-0.478898617164519,0.0982300000000009,5.815285,-0.444881418701141,-0.413264999999999,5.86272,-0.407461099923793,0.0925399999999996,5.912225,-0.363483464358791,0.194019999999998,5.95438,-0.323989237881003,1.3145266666667,5.999965,-0.281123577204641,-0.20899,6.041295,-0.243772615960042,0.78612,6.08137,-0.209244593321183,0.544675000000002,6.12126,-0.171808093213257,0.751069999999999,6.160905,-0.132434262293106,-0.8172,6.20048,-0.0927718062845536,-0.233280000000001,6.238915,-0.0556066740565276,0.605725,6.2798,-0.0193930377238314,-0.301770000000001,6.3209,0.01412415891281,0.0398899999999998,6.358745,0.0453517948900342,0.825205,6.39413,0.0742493005471377,-0.0156150000000004,6.428445,0.101387868240515,-0.0387850000000007,6.46124,0.125976680499544,-0.672940000000001,6.49475,0.149248739178234,-0.183705,6.52977,0.172048589924814,-0.597190000000001,6.563385,0.192865413918079,-0.654834999999999,6.595085,0.211646779801129,1.301535,6.62814,0.230463309103396,0.54749,6.660225,0.248084473048616,-0.71725,6.69223,0.265004187628981,-1.34868,6.72575,0.281578388942054,0.780639999999998,6.758675,0.296831774804527,-0.0253349999999983,6.79155,0.311225217561382,1.234525,6.822855,0.324316011907085,0.67801,6.85419,0.336973882962562,-0.724229999999999,6.88552,0.349198840472341,0.67022,6.918735,0.361524399955633,0.911629999999999,6.954465,0.373935276642142,0.49418,6.98495,0.383733260674902,-1.150175,7.01771,0.393352213129778,-0.120339999999999,7.05057,0.402036428072663,-0.426224999999999,7.081825,0.410035457896602,0.201725,7.11537,0.418220361459232,0.0778399999999984,7.14915,0.425644963720474,-0.707785000000001,7.182875,0.431829631870131,0.0300849999999997,7.220065,0.436736015208956,-0.43854,7.25721,0.439722059294918,0.59083,7.29512333333333,0.441899411099512,-0.103443333333299,7.33586,0.443034247011821,-0.88815,7.38059,0.442472443475402,0.500260000000001,7.423965,0.439733667373723,0.213284999999999,7.47563666666667,0.433115485487928,-0.037469999999999,7.52519,0.423317776547272,1.07831,7.578115,0.409673738277391,-0.00522000000000133,7.63631,0.391415795536242,0.742419999999999,7.69464,0.370287896218583,0.0163100000000007,7.7583,0.344720318042175,0.242039999999999,7.82753,0.313995715764272,0.331119999999999,7.900325,0.274968375592665,0.196805000000001,7.98055,0.225273641107811,-0.768899999999999,8.05899,0.172137575726093,0.0811999999999991,8.144855,0.111487134157664,0.518705000000001,8.24752,0.0395602422132713,-0.442865000000001,8.344583333,-0.0302926980519899,-0.0230766699999982,8.45366,-0.118751617268259,-0.68186,8.568685,-0.21887127472065,0.00166499999999914,8.690595,-0.326957985702809,0.426639999999999,8.8221,-0.43884325077555,-0.301870000000001,8.95737,-0.541511669098108,0.232305,9.09447,-0.641954002659812,0.329635,9.22422,-0.737520031164946,-0.148064999999999,9.35817,-0.834836006638936,-0.2988,9.49148,-0.928471261932763,-0.32094,9.63131,-1.02119366075666,0.0997599999999998,9.78846,-1.11718819424281,0.1767,9.93735,-1.20293718922159,0.0549999999999997,10.129855,-1.30700207743682,1.364885,10.343685,-1.41374443544586,0.96086,10.62557,-1.540511706511,-0.694215,12.0014,-1.94428365896805,0.667565,"AllPlayers"
"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","V258","V259","V260","V261","V262","V263","V264","V265","V266","V267","V268","V269","V270","abbrName"
5.21318,-0.646211809930547,-0.302679999999999,5.218205,-0.649384722804624,-0.0540400000000005,5.23226,-0.658021182909184,-0.344494999999998,5.246315,-0.666258937609583,-0.157609999999998,5.255495,-0.671395158897596,-0.287780000000001,5.26275,-0.675306232627645,-0.276250000000001,5.271795,-0.680065993793652,-0.260134999999998,5.283765,-0.686201680391384,-0.312944999999999,5.29673,-0.692607916077473,-0.22007,5.3049,-0.696501539827012,-0.325279999999999,5.31582,-0.701514712920817,-0.153780000000001,5.324665,-0.705406193060961,0.259789999999999,5.340055,-0.711849037694393,-0.259315000000001,5.35241,-0.716741539595123,-0.171205,5.36876,-0.722866449541027,-0.465309999999999,5.373715,-0.724649766103968,-0.245349999999998,5.38056,-0.727061207541024,-0.369779999999999,5.38511,-0.728621443842232,-0.233730000000001,5.407805,-0.735773324725114,-0.390969999999999,5.415515,-0.737994390064673,-0.349284999999998,5.43351,-0.742849860988266,-0.266390000000001,5.43687,-0.743713261113213,-0.469090000000001,5.46181,-0.749747454514352,-1.74695,5.476875,-0.752831290644621,-0.114644999999999,5.492015,-0.755486736053159,-0.163505000000001,5.510675,-0.758250445911208,-0.254355,5.541835,-0.761949055099084,-0.195405000000001,5.55091,-0.762882466492042,-0.0843750000000014,5.57846,-0.764717101934728,-0.234190000000002,5.61344,-0.763830331053054,-0.195765000000002,5.64701,-0.760339375364889,-0.352740000000001,5.674845,-0.756071064284479,-0.558705,5.721635,-0.747435938202048,-0.211915000000001,5.78216,-0.736616978929251,-0.428104999999999,5.82826,-0.727207800173797,-0.25347,5.89338,-0.709778252218772,-0.225549999999998,5.95263,-0.691692637730269,-0.185179999999999,6.02407,-0.669950613061819,-0.331430000000001,6.061765,-0.659600610826202,-0.450019999999999,6.1033,-0.650039552590781,-0.52741,6.166765,-0.64112036607275,-0.44706,6.23972,-0.635121045496923,-0.325119999999998,6.31138,-0.627581873182635,-0.350075,6.406435,-0.604362996766487,-0.249230000000001,6.46612,-0.576189112118218,-0.36814,6.53331,-0.527727262532007,-0.353590000000001,6.598095,-0.466909613104773,-0.326084999999999,6.68385,-0.372934257609672,-0.386189999999999,6.78021,-0.261052591958687,-0.420459999999999,6.80948,-0.227908751029991,-0.29776,6.853645,-0.179652350125359,-0.305029999999999,6.90942,-0.105830596680094,-0.598610000000001,6.97915,0.00269850313386632,-0.346820000000001,7.025665,0.0748110178947201,-0.37426,7.06414,0.128675656204286,-0.571159999999999,7.0978,0.168309687652837,-0.393654999999999,7.130245,0.202561009382035,-0.246075000000001,7.149345,0.225274429343449,-0.432655,7.17231,0.253318190690094,-0.536085,7.19115,0.275496565760884,-0.38081,7.21672,0.302127975277456,-0.358989999999999,7.22762,0.311611947139637,-0.40138,7.247305,0.328380178113065,-0.338920000000002,7.26876,0.348057315067927,-0.656639999999999,7.28799,0.366145739686508,-0.642585,7.31408,0.390049207353503,-0.449304999999999,7.34057,0.411894870422693,-0.356795000000002,7.36841,0.430380761321237,-0.671914999999998,7.39935,0.449303791293523,-0.753499999999999,7.47152,0.492866415562362,-0.439620000000001,7.507105,0.512685277753457,-0.34375,7.56641,0.540867546133823,-0.349795,7.62351,0.559686795261758,-0.453589999999998,7.684585,0.569218512254814,-0.460615000000001,7.78317,0.568380539999766,-0.333615000000002,7.85284,0.557452601530735,-0.376745,8.03475,0.49775775174654,-0.47513,8.25692,0.388112698566782,-0.636424999999999,8.38456,0.32042802796434,-0.377575,8.669555,0.133180143657513,-0.393245,8.879925,-0.0416870854910021,-0.401285000000001,9.08913,-0.23357966088277,-0.327055000000001,9.39111,-0.519023007796436,-0.402899999999999,9.60572,-0.711198310323416,-0.555579999999999,9.770475,-0.848338294650798,-0.404675000000001,10.026785,-1.06644983215173,-0.47822,10.219335,-1.23552287252167,-0.355440000000002,10.36305,-1.36477406264566,-0.403469999999999,10.64305,-1.62446249128064,-0.479679999999998,11.27889,-2.25582614534905,-0.471409999999999,"AndreDrummond"
