"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
17.88529,5.215255,23.889565,"D. Gallinari",364,1,5.94719994536051,-0.731944945360506,NA,1
17.789785,5.268465,23.849085,"D. Gallinari",364,2,6.15033743497515,-0.881872434975149,NA,1
17.85946,5.31297,23.89162,"D. Gallinari",364,3,5.97896999392672,-0.665999993926724,NA,1
17.821205,5.36694,23.95012,"D. Gallinari",364,4,6.05717991539622,-0.690239915396217,NA,1
17.78694,5.55863,24.032005,"D. Gallinari",364,5,6.16033998303432,-0.601709983034324,0.0643326721912908,1
17.947225,5.825575,24.058005,"D. Gallinari",364,6,5.98276175180069,-0.15718675180069,0.0672904765618776,1
18.03293,6.05918,24.053895,"D. Gallinari",364,7,6.66185072083897,-0.602670720838968,0.103743338254883,1
18.081425,6.242195,23.90905,"D. Gallinari",364,8,6.78035725648609,-0.538162256486085,0.0610626101584561,1
18.200605,6.393455,24.048685,"D. Gallinari",364,9,6.96348639582844,-0.570031395828443,0.0362575107281726,1
18.348185,6.7004,24.14157,"D. Gallinari",364,10,7.26732601725801,-0.566926017258006,0.0277272694542415,1
18.712835,6.772665,24.030025,"D. Gallinari",364,11,7.62617604992585,-0.853511049925853,0.0301285836341025,1
19.257445,6.851435,24.236695,"D. Gallinari",364,12,7.46712393852682,-0.615688938526815,0.0511625780718484,1
19.27344,6.865185,24.255695,"D. Gallinari",364,13,7.47912370947567,-0.613938709475667,0.0473278323905822,1
19.058775,6.885985,24.32466,"D. Gallinari",364,14,7.30504774177141,-0.419062741771409,0.0161613066298319,1
18.809625,6.92122,24.196565,"D. Gallinari",364,15,7.56687388286855,-0.645653882868553,0.0288779770847444,1
19.11817,6.969065,24.24904,"D. Gallinari",364,16,7.33246247945514,-0.363397479455138,0.0240148347963636,1
19.312895,7.02516,24.19203,"D. Gallinari",364,17,7.51666595429543,-0.491505954295435,0.0448919868289252,1
19.53186,7.22504,24.381935,"D. Gallinari",364,18,7.6156357680993,-0.390595768099304,0.0154126534123165,1
19.534525,7.466635,24.29907,"D. Gallinari",364,19,7.61523207945296,-0.148597079452955,0.0646596976881742,1
19.52954,7.700325,24.380825,"D. Gallinari",364,20,7.61581594185367,0.0845090581463257,0.0984514373041144,1
19.44848,7.83157,24.405755,"D. Gallinari",364,21,7.60400867145882,0.227561328541184,0.0984224059247799,1
19.43285,8.01704,24.410785,"D. Gallinari",364,22,7.59778078217925,0.419259217820749,0.109228895909543,1
19.37044,8.157065,24.44521,"D. Gallinari",364,23,7.56207413251743,0.594990867482572,0.0693598642484085,1
19.29862,8.280115,24.437065,"D. Gallinari",364,24,7.50625260857584,0.773862391424157,0.0409651165358815,1
19.0843,8.608665,24.47734,"D. Gallinari",364,25,7.32018651897355,1.28847848102645,0.038207950083016,1
18.629415,9.20295,24.488805,"D. Gallinari",364,26,7.58861718537267,1.61433281462733,0.00905360022597641,1
17.99302,9.826255,24.49914,"D. Gallinari",364,27,6.3265347307255,3.4997202692745,0.00261341138630442,1
17.37659,10.324855,24.54081,"D. Gallinari",364,28,9.93957969240569,0.385275307594311,0.013612841684796,1
"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
17.95231,5.42068,23.9163,"D. Gallinari",1919,1,6.56255397576196,-1.14187397576196,NA,10
17.90037,5.62683,23.97501,"D. Gallinari",1919,2,6.68310589183743,-1.05627589183743,NA,10
17.92038,5.80447,23.86077,"D. Gallinari",1919,3,6.63420180843837,-0.829731808438368,NA,10
17.96511,6.00925,23.89801,"D. Gallinari",1919,4,6.53639622892148,-0.527146228921483,NA,10
18.19529,6.36706,23.89878,"D. Gallinari",1919,5,6.58359313802892,-0.216533138028923,0.140948155813415,10
18.36921,6.52545,23.87669,"D. Gallinari",1919,6,7.46552886284742,-0.940078862847417,0.0520331042360334,10
18.5488,6.74838,23.82273,"D. Gallinari",1919,7,7.38275139113419,-0.634371391134187,0.0393907723937048,10
18.728,6.95335,23.97778,"D. Gallinari",1919,8,7.51103164739844,-0.557681647398442,0.0170853504795708,10
18.9186,6.98472,24.08841,"D. Gallinari",1919,9,7.73116020773729,-0.746440207737293,0.0299430020589464,10
19.23902,7.02403,24.2176,"D. Gallinari",1919,10,7.6882695321704,-0.664239532170398,0.0172218387137439,10
19.39996,7.03699,24.22482,"D. Gallinari",1919,11,7.63750255096114,-0.600512550961141,0.0257697871378271,10
19.15239,7.09627,24.16416,"D. Gallinari",1919,12,7.50654409669793,-0.410274096697928,0.022144970430608,10
19.55691,7.23654,24.31965,"D. Gallinari",1919,13,7.48516440667676,-0.248624406676761,0.0442617073580434,10
19.44524,7.29325,24.16395,"D. Gallinari",1919,14,7.6116708642363,-0.3184208642363,0.0649758776793815,10
19.50579,7.57108,24.27976,"D. Gallinari",1919,15,7.54994742216892,0.0211325778310796,0.127012680069753,10
