"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
18.326795,5.321055,24.30889,"D. Wade",292,1,6.92212601534322,-1.60107101534322,NA,1
18.573195,5.66001,24.473645,"D. Wade",292,2,6.52361318856954,-0.863603188569544,NA,1
18.942615,6.06121,24.706915,"D. Wade",292,3,7.28662525721872,-1.22541525721872,NA,1
19.25846,6.23329,24.88587,"D. Wade",292,4,7.12921894764384,-0.895928947643839,NA,1
19.54472,6.27526,24.92858,"D. Wade",292,5,6.67541047809137,-0.400150478091373,0.00575161152300492,1
19.51614,6.307995,24.96856,"D. Wade",292,6,6.78512017096813,-0.47712517096813,0.00944257911944373,1
19.70626,6.40045,25.009525,"D. Wade",292,7,6.58657044968345,-0.186120449683449,0.0204430902120508,1
19.742045,6.591585,25.047345,"D. Wade",292,8,6.64716917782019,-0.0555841778201849,0.0388066306701788,1
19.67676,6.865035,24.91996,"D. Wade",292,9,6.54863114736641,0.316403852633591,0.134157225957538,1
19.56951,7.214115,24.93289,"D. Wade",292,10,6.60493292845416,0.609182071545839,0.215670279825671,1
19.450075,7.59574,24.90057,"D. Wade",292,11,7.00274101983459,0.592998980165405,0.0985484487701184,1
19.18,7.82814,24.914055,"D. Wade",292,12,7.0313682431529,0.796771756847105,0.0163496240413547,1
18.80443,8.395765,24.91169,"D. Wade",292,13,6.99928623964092,1.39647876035908,0.0737911163603911,1
18.234195,9.11858,24.90657,"D. Wade",292,14,7.15567854997941,1.96290145002059,0.049840361963836,1
17.668385,9.642175,24.891945,"D. Wade",292,15,9.20621032156459,0.435964678435409,0.0413696191732718,1
17.10783,10.256485,24.79735,"D. Wade",292,16,10.3790591779629,-0.122574177962905,0.0339338006924413,1
"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
18.23126,4.86561,24.31359,"D. Wade",400,1,6.43829836992082,-1.57268836992082,NA,10
18.33764,5.30562,24.30057,"D. Wade",400,2,6.14394828931777,-0.838328289317768,NA,10
18.71587,5.68604,24.48583,"D. Wade",400,3,7.13675421950818,-1.45071421950818,NA,10
19.07977,5.97846,24.67825,"D. Wade",400,4,7.16762115016251,-1.18916115016251,NA,10
19.36661,6.0536,24.80782,"D. Wade",400,5,6.82856173250283,-0.774961732502834,0.0605996606908292,10
19.58139,6.22262,24.81198,"D. Wade",400,6,6.8299126368401,-0.607292636840104,0.0246505348977104,10
19.70512,6.4752,24.91342,"D. Wade",400,7,6.54466199414059,-0.0694619941405907,0.0574112415639378,10
19.66704,6.8249,25.02348,"D. Wade",400,8,6.63506971626123,0.189830283738767,0.119401528791625,10
19.5971,7.00449,24.89851,"D. Wade",400,9,6.79895207836939,0.205537921630609,0.220250752328826,10
19.4619,7.31524,24.95943,"D. Wade",400,10,6.77450147384808,0.540738526151922,0.251409478551358,10
19.28011,7.67243,24.8168,"D. Wade",400,11,6.99527392801483,0.677156071985168,0.0569013990092646,10
18.98405,8.15783,24.84794,"D. Wade",400,12,7.10162732266595,1.05620267733405,0.00376572104923856,10
18.49347,8.86696,24.80516,"D. Wade",400,13,7.09617842907575,1.77078157092425,0.012643470305834,10
17.95354,9.4495,24.85322,"D. Wade",400,14,7.68347072219003,1.76602927780997,0.00504719095536554,10
17.36677,10.03315,24.76025,"D. Wade",400,15,10.2392151474885,-0.206065147488539,0.0159558469491891,10
"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
18.282305,5.381735,25.640005,"D. Wade",2026,1,6.95049350077201,-1.56875850077201,NA,11
18.5924,5.779025,25.5836,"D. Wade",2026,2,6.7895583580409,-1.0105333580409,NA,11
19.14575,6.02345,25.38602,"D. Wade",2026,3,6.88321453396354,-0.859764533963542,NA,11
19.361695,6.135415,25.436305,"D. Wade",2026,4,6.00307704028175,0.132337959718255,NA,11
19.38699,6.1987,25.19199,"D. Wade",2026,5,6.61962105470121,-0.420921054701212,0.0391089052687715,11
19.61068,6.312935,25.200205,"D. Wade",2026,6,6.78351975591325,-0.470584755913254,0.0118266678592112,11
19.39147,6.35713,25.300705,"D. Wade",2026,7,6.71905080165382,-0.361920801653821,0.0500029850575796,11
19.73795,6.767535,25.058345,"D. Wade",2026,8,6.78611790848701,-0.0185829084870051,0.0661408166973587,11
19.61932,7.268585,25.281425,"D. Wade",2026,9,6.78480495657419,0.483780043425813,0.222062988694258,11
19.395075,7.455565,25.113055,"D. Wade",2026,10,6.79299312149032,0.662571878509679,0.413970808054039,11
19.155895,7.803625,25.37068,"D. Wade",2026,11,6.84966027514312,0.953964724856878,0.357806611362418,11
18.73761,8.47103,25.248135,"D. Wade",2026,12,7.3984710889657,1.0725589110343,0.0766088226476875,11
18.168615,9.21017,25.25845,"D. Wade",2026,13,7.27528537368139,1.93488462631861,0.0431602515774017,11
17.58627,9.803545,25.18316,"D. Wade",2026,14,9.94362180274346,-0.140076802743462,0.0134420822112713,11
"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
18.182555,5.14643,24.267805,"D. Wade",1748,1,6.83128202744597,-1.68485202744597,NA,12
18.504875,5.61774,24.330395,"D. Wade",1748,2,6.64166015498109,-1.02392015498109,NA,12
19.03774,5.94138,24.6376,"D. Wade",1748,3,6.6168525613599,-0.675472561359897,NA,12
19.1123,6.196305,24.62241,"D. Wade",1748,4,6.71253471041918,-0.516229710419183,NA,12
19.126905,6.232335,24.61196,"D. Wade",1748,5,6.78031797158767,-0.547982971587668,0.0680148111665753,12
19.674965,6.33128,24.89083,"D. Wade",1748,6,6.72932220214498,-0.398042202144978,0.0630113260527031,12
19.706045,6.42203,24.876075,"D. Wade",1748,7,6.60628205934882,-0.184252059348818,0.0412771163884019,12
19.747105,6.65633,24.95534,"D. Wade",1748,8,6.44448687098284,0.211843129017156,0.0283071891805445,12
19.660575,7.07487,24.936545,"D. Wade",1748,9,6.78594073602726,0.288929263972736,0.209541671723498,12
19.519505,7.42234,24.935345,"D. Wade",1748,10,7.3445151219646,0.0778248780354023,0.197993847565878,12
19.36554,7.71109,24.8454,"D. Wade",1748,11,7.69772862918459,0.0133613708154154,0.120681029255081,12
19.07831,8.120055,24.84514,"D. Wade",1748,12,6.61211825498283,1.50793674501717,0.0379156826173942,12
18.62341,8.709365,24.82836,"D. Wade",1748,13,7.79252507569576,0.916839924304241,0.025007412763242,12
18.02978,9.402085,24.804395,"D. Wade",1748,14,7.3636907440739,2.03839425592609,0.0143529810489252,12
17.420525,9.94342,24.824,"D. Wade",1748,15,10.1112087431937,-0.167788743193672,0.00663206783000518,12
"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
18.39885,5.40733,24.267015,"D. Wade",270,1,7.16780123846388,-1.76047123846388,NA,14
18.70122,5.87386,24.49036,"D. Wade",270,2,6.97446320549514,-1.10060320549514,NA,14
19.041455,6.102465,24.615285,"D. Wade",270,3,7.16601350045117,-1.06354850045117,NA,14
19.50183,6.21612,24.878085,"D. Wade",270,4,6.71764120830541,-0.501521208305405,NA,14
19.525995,6.31116,24.92294,"D. Wade",270,5,6.64115160160414,-0.32999160160414,0.0366413227752062,14
19.77634,6.41376,24.967335,"D. Wade",270,6,6.78658830040544,-0.372828300405445,0.0312180342268,14
19.81138,6.593655,25.017845,"D. Wade",270,7,6.74396407990917,-0.150309079909174,0.0439753913570534,14
19.83728,6.96021,24.972235,"D. Wade",270,8,6.76466326922502,0.195546730774979,0.0760443449083441,14
19.745335,7.15762,24.896795,"D. Wade",270,9,6.88414804419503,0.273471955804965,0.231003856225399,14
19.625275,7.540825,24.87988,"D. Wade",270,10,7.51634220283323,0.0244827971667672,0.208193279870271,14
19.420315,7.810945,24.86345,"D. Wade",270,11,7.63491160194443,0.176033398055567,0.112919937116045,14
19.073165,8.3609,24.86258,"D. Wade",270,12,7.29295773021689,1.06794226978311,0.0352046192511757,14
18.60814,8.89825,24.801115,"D. Wade",270,13,6.68261061968915,2.21563938031085,0.036510263608232,14
18.08673,9.56125,24.82963,"D. Wade",270,14,8.50216431316148,1.05908568683852,0.0214933523267188,14
17.49028,10.07522,24.973885,"D. Wade",270,15,10.1844729948843,-0.109252994884317,0.0239470881224268,14
"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
18.1917,5.04026,24.44733,"D. Wade",1276,1,7.07780311033015,-2.03754311033015,NA,15
18.54271,5.71737,24.39119,"D. Wade",1276,2,7.4299567430772,-1.7125867430772,NA,15
18.90219,6.08264,24.57689,"D. Wade",1276,3,6.96904661682803,-0.88640661682803,NA,15
19.52621,6.24376,24.85939,"D. Wade",1276,4,6.98490318783164,-0.741143187831639,NA,15
19.72038,6.26681,24.97795,"D. Wade",1276,5,6.70225278706808,-0.435442787068084,0.0325121844283192,15
19.29374,6.36061,24.79207,"D. Wade",1276,6,7.17150661971168,-0.810896619711679,0.0340377171939375,15
19.83456,6.43024,25.03422,"D. Wade",1276,7,6.54084447903497,-0.110604479034973,0.0706718154075832,15
19.8176,6.62812,25.0268,"D. Wade",1276,8,6.56966183087855,0.0584581691214527,0.0681188806077031,15
19.77149,6.89738,24.99405,"D. Wade",1276,9,6.63905776295231,0.258322237047685,0.161300282938149,15
19.65244,7.25678,24.89833,"D. Wade",1276,10,6.76363421244125,0.493145787558745,0.0309360945837259,15
19.48146,7.61453,24.8077,"D. Wade",1276,11,7.00819852544316,0.606331474556844,0.0444867801427437,15
19.28419,7.87917,24.78371,"D. Wade",1276,12,7.17687089858932,0.70229910141068,0.0292193399423791,15
18.90482,8.1242,24.89178,"D. Wade",1276,13,6.97713754173627,1.14706245826373,0.0177619984248773,15
18.42776,9.08613,24.75398,"D. Wade",1276,14,6.6405037160405,2.4456262839595,0.0974496515940432,15
17.8166,9.48961,24.81917,"D. Wade",1276,15,8.1574075547708,1.3322024452292,0.103956966946464,15
17.20818,10.07978,24.90464,"D. Wade",1276,16,10.3159206608593,-0.236140660859308,0.104661207155182,15
"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
18.24397,5.14214,24.357395,"D. Wade",1299,1,7.10279280342558,-1.96065280342558,NA,16
18.48642,5.56699,24.422825,"D. Wade",1299,2,6.40605818168081,-0.839068181680807,NA,16
18.801945,5.92667,24.581705,"D. Wade",1299,3,7.24526121363208,-1.31859121363208,NA,16
19.544735,6.27371,24.94236,"D. Wade",1299,4,6.68879334047287,-0.415083340472869,NA,16
19.27483,6.31425,24.786495,"D. Wade",1299,5,7.15395865372634,-0.839708653726345,0.0216013811089892,16
19.70053,6.336525,25.0209,"D. Wade",1299,6,6.95936785994999,-0.622842859949987,0.0284269028008529,16
19.60252,6.456825,25.00648,"D. Wade",1299,7,6.81296698525397,-0.356141985253968,0.0433888219880703,16
19.86527,6.65607,25.17905,"D. Wade",1299,8,6.77137190677581,-0.115301906775815,0.0527619882534559,16
19.854555,6.956395,25.077065,"D. Wade",1299,9,6.80052839859827,0.155866601401731,0.115078041242768,16
19.719085,7.238015,24.99536,"D. Wade",1299,10,6.97014622281273,0.267868777187268,0.237752254831573,16
19.61358,7.542265,24.88465,"D. Wade",1299,11,6.79548555858931,0.746779441410692,0.266618268877192,16
19.32612,7.887945,24.84046,"D. Wade",1299,12,6.99168436608629,0.896260633913715,0.0597377673492911,16
19.05813,8.35281,24.87414,"D. Wade",1299,13,7.85213816495737,0.500671835042631,0.0415293132017808,16
18.521345,9.02207,24.879565,"D. Wade",1299,14,6.44184052865593,2.58022947134407,0.0375584764107984,16
17.95757,9.65616,24.861265,"D. Wade",1299,15,8.03617426597943,1.61998573402057,0.0243164593941131,16
17.40536,10.2511,24.8366,"D. Wade",1299,16,10.5125767173863,-0.261476717386316,0.0230766493572169,16
"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
18.16269,5.08485,25.672555,"D. Wade",1573,1,6.77517223690904,-1.69032223690904,NA,17
18.440435,5.569915,25.577975,"D. Wade",1573,2,7.13453784982809,-1.56462284982809,NA,17
18.8365,5.938265,25.44976,"D. Wade",1573,3,6.99514021374267,-1.05687521374267,NA,17
19.137855,6.124835,25.238865,"D. Wade",1573,4,6.61311657900368,-0.488281579003679,NA,17
19.407855,6.231465,25.14266,"D. Wade",1573,5,6.89769911991643,-0.666234119916433,0.0232535087246532,17
19.67963,6.418065,25.046055,"D. Wade",1573,6,6.57122332089755,-0.15315832089755,0.0211863539269425,17
19.726265,6.4736,25.02471,"D. Wade",1573,7,6.57744256905853,-0.103842569058532,0.0161204335381706,17
19.62544,6.644515,25.02447,"D. Wade",1573,8,6.67079629280799,-0.026281292807985,0.0816684756548684,17
19.69738,6.840175,25.118525,"D. Wade",1573,9,6.56314182473213,0.277033175267868,0.106069010727794,17
19.541845,7.11469,25.103725,"D. Wade",1573,10,7.06513225736432,0.0495577426356757,0.116388047520631,17
19.41628,7.40203,25.12611,"D. Wade",1573,11,6.89483432510193,0.507195674898071,0.112720556020196,17
19.284975,7.74192,25.212735,"D. Wade",1573,12,7.09294030667126,0.648979693328736,0.0961368999886638,17
18.82669,8.293605,25.18112,"D. Wade",1573,13,6.97458791099012,1.31901708900988,0.038647569123054,17
18.315525,8.8748,25.203755,"D. Wade",1573,14,6.50898839456304,2.36581160543697,0.0425839038161243,17
17.68527,9.520635,25.22342,"D. Wade",1573,15,9.34955304089258,0.17108195910742,0.0360998814392765,17
"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
18.17166,5.077875,24.3088,"D. Wade",1103,1,6.78404410930997,-1.70616910930996,NA,2
18.465555,5.517225,24.394765,"D. Wade",1103,2,6.39913979780768,-0.88191479780768,NA,2
18.8439,6.05326,24.55388,"D. Wade",1103,3,7.08913051974817,-1.03587051974817,NA,2
19.0892,6.20906,24.49136,"D. Wade",1103,4,7.22860492975053,-1.01954492975053,NA,2
19.58576,6.247865,24.86219,"D. Wade",1103,5,6.75377823337866,-0.505913233378661,0.0235695241251605,2
19.474385,6.286305,24.85413,"D. Wade",1103,6,6.89326419497753,-0.606959194977534,0.00772347781265381,2
19.72318,6.396655,25.01038,"D. Wade",1103,7,6.591425062529,-0.194770062528997,0.0360515387923288,2
19.807435,6.56729,25.020875,"D. Wade",1103,8,6.55869161845988,0.00859838154011694,0.036953657186128,2
19.712675,6.819215,24.94236,"D. Wade",1103,9,6.59926395822751,0.219951041772491,0.134498921244745,2
19.57081,7.01767,24.96611,"D. Wade",1103,10,6.7783214357527,0.239348564247305,0.183021544125125,2
19.505595,7.42805,24.97474,"D. Wade",1103,11,6.80905463108506,0.61899536891494,0.0928539742213228,2
19.31581,7.607505,24.88178,"D. Wade",1103,12,7.29349421412046,0.314010785879544,0.0622184512631575,2
19.05059,8.082575,24.821055,"D. Wade",1103,13,6.97595081059516,1.10662418940484,0.0671511006410173,2
18.62009,8.59311,24.79227,"D. Wade",1103,14,6.93815334969834,1.65495665030166,0.0644108876716006,2
17.99444,9.242495,24.883525,"D. Wade",1103,15,7.3332303649353,1.9092646350647,0.0285654832460468,2
17.380975,9.84218,24.769725,"D. Wade",1103,16,10.028679023102,-0.186499023102048,0.0317597610535515,2
"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
18.223945,4.99873,24.31667,"D. Wade",1250,1,6.84149785835003,-1.84276785835003,NA,3
18.3767,5.42996,24.46659,"D. Wade",1250,2,6.31706437645381,-0.887104376453814,NA,3
18.73305,5.858005,24.51882,"D. Wade",1250,3,6.94757742982686,-1.08957242982686,NA,3
19.30067,6.167415,24.7374,"D. Wade",1250,4,6.80529978758919,-0.637884787589194,NA,3
19.55451,6.29592,24.955035,"D. Wade",1250,5,6.92213243853242,-0.626212438532419,0.0562433459456127,3
19.297745,6.364275,24.890775,"D. Wade",1250,6,6.81137026691481,-0.447095266914808,0.0447880265786818,3
19.80822,6.434825,25.038515,"D. Wade",1250,7,6.47026295310126,-0.0354379531012556,0.0561283582527315,3
19.752755,6.505065,25.035945,"D. Wade",1250,8,6.69292496822764,-0.187859968227642,0.0671292737839385,3
19.77105,6.75626,24.95785,"D. Wade",1250,9,6.63109736071127,0.125162639288732,0.0902564930830286,3
19.68582,7.09551,24.888135,"D. Wade",1250,10,6.8393740790512,0.256135920948796,0.0917614105853636,3
19.545845,7.476015,24.873665,"D. Wade",1250,11,6.92346754610873,0.552547453891268,0.0880727969269143,3
19.338455,7.80248,24.855435,"D. Wade",1250,12,6.75067762931223,1.05180237068777,0.0887235866354729,3
19.03711,8.243485,24.88545,"D. Wade",1250,13,7.82127577333508,0.422209226664923,0.0399204380301455,3
18.473,9.01458,24.894555,"D. Wade",1250,14,6.30369815644256,2.71088184355744,0.0326942548787276,3
17.907045,9.5365,24.915895,"D. Wade",1250,15,7.81002438250208,1.72647561749792,0.0143081441253612,3
17.267885,10.07523,24.994995,"D. Wade",1250,16,10.3307457231039,-0.255515723103871,0.0176658434789941,3
"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
18.259555,5.25012,24.48095,"D. Wade",1398,1,7.01612710597285,-1.76600710597285,NA,4
18.63477,5.63363,24.65339,"D. Wade",1398,2,6.75635446042162,-1.12272446042162,NA,4
18.902315,5.974595,24.776635,"D. Wade",1398,3,7.05683959461011,-1.08224459461011,NA,4
19.23429,6.129755,24.805475,"D. Wade",1398,4,7.06939183734417,-0.939636837344172,NA,4
19.569735,6.244805,25.030235,"D. Wade",1398,5,6.80978739055323,-0.564982390553229,0.0247255439605244,4
19.72185,6.373605,25.088965,"D. Wade",1398,6,6.64172935163089,-0.268124351630888,0.0399044407563947,4
19.73577,6.44904,25.108285,"D. Wade",1398,7,6.63833352699341,-0.18929352699341,0.0292054136353512,4
19.844585,6.711795,25.135015,"D. Wade",1398,8,6.7457382195731,-0.0339432195730973,0.0245762979109095,4
19.76401,6.94557,25.09054,"D. Wade",1398,9,6.64063148982436,0.304938510175644,0.138834599226735,4
19.61116,7.240295,24.9945,"D. Wade",1398,10,6.65198379201553,0.588311207984472,0.170783265817223,4
19.47294,7.570405,25.053305,"D. Wade",1398,11,7.33145541496977,0.23894958503023,0.153625107111802,4
19.24872,7.934625,24.98466,"D. Wade",1398,12,7.10536325624568,0.829261743754323,0.0171354755096354,4
18.785175,8.38998,24.952765,"D. Wade",1398,13,6.91459398023808,1.47538601976192,0.0158781877773384,4
18.285485,8.976855,25.024395,"D. Wade",1398,14,6.96111548165726,2.01573951834274,0.0542141500910459,4
17.63743,9.68605,25.019545,"D. Wade",1398,15,9.6780382084097,0.00801179159029886,0.0256014109248289,4
"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
18.390825,5.3277,25.45631,"D. Wade",2085,1,6.24193745022214,-0.914237450222137,NA,5
18.709945,5.737155,25.401575,"D. Wade",2085,2,6.66002683635342,-0.92287183635342,NA,5
