"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
18.20699,5.403385,25.114195,"E. Davis",2469,1,7.21723726951414,-1.81385226951414,NA,1
18.714755,5.76586,25.155115,"E. Davis",2469,2,5.76251821630202,0.00334178369798366,NA,1
18.78062,6.053505,25.2384,"E. Davis",2469,3,6.92155821835622,-0.868053218356225,NA,1
19.253865,6.28356,25.21041,"E. Davis",2469,4,7.25367776232629,-0.970117762326295,NA,1
19.624195,6.41105,25.193535,"E. Davis",2469,5,6.99189318841388,-0.580843188413879,0.0554589049936645,1
19.734625,6.53504,25.36129,"E. Davis",2469,6,6.76704187548173,-0.232001875481729,0.0654692585557324,1
19.736265,6.60769,25.299475,"E. Davis",2469,7,6.77222985444751,-0.164539854447511,0.033346723360799,1
19.99062,6.896965,25.37531,"E. Davis",2469,8,6.90053792190045,-0.00357292190045211,0.0231179860572141,1
19.756115,7.032385,25.415985,"E. Davis",2469,9,6.80748115963483,0.224903840365171,0.120397572155576,1
19.67554,7.28796,25.334095,"E. Davis",2469,10,6.70050898021784,0.587451019782163,0.175476484362904,1
19.57969,7.71188,25.392725,"E. Davis",2469,11,7.50171618314754,0.210163816852458,0.129509174269811,1
19.28739,8.196855,25.29155,"E. Davis",2469,12,7.72343095209958,0.473424047900416,0.0950771618583021,1
18.848035,8.709105,25.33087,"E. Davis",2469,13,7.89661947405945,0.812485525940555,0.049548522461925,1
18.18499,9.420735,25.365795,"E. Davis",2469,14,7.27987338870048,2.14086161129952,0.0768170065426498,1
17.570355,9.860515,25.33323,"E. Davis",2469,15,9.92312170060578,-0.062606700605782,0.0161165204098667,1
"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
18.407575,5.49794,25.20378,"E. Davis",2839,1,6.25772534950771,-0.759785349507708,NA,2
18.78312,5.84591,25.265785,"E. Davis",2839,2,6.99740934605776,-1.15149934605776,NA,2
19.09274,6.105925,25.339415,"E. Davis",2839,3,7.61784857790194,-1.51192357790194,NA,2
19.419655,6.31634,25.348865,"E. Davis",2839,4,6.35761447501669,-0.0412744750166931,NA,2
19.651395,6.43317,25.32483,"E. Davis",2839,5,7.09093023141769,-0.657760231417694,0.00408388932245263,2
19.81715,6.59386,25.26883,"E. Davis",2839,6,6.94780102741381,-0.353941027413807,0.0174138301865293,2
19.888085,6.87466,25.30579,"E. Davis",2839,7,6.7562587714482,0.118401228551796,0.0576140582171222,2
19.78145,7.135565,25.490425,"E. Davis",2839,8,7.03271505590438,0.102849944095615,0.160053407181436,2
19.706675,7.40847,25.40067,"E. Davis",2839,9,7.18204475477348,0.226425245226519,0.26736147644822,2
19.65315,7.782865,25.299505,"E. Davis",2839,10,7.10186504767249,0.680999952327511,0.116529759523066,2
19.1683,8.254615,25.410945,"E. Davis",2839,11,7.27061168337464,0.984003316625358,0.076987394859564,2
18.897525,8.92623,25.331925,"E. Davis",2839,12,7.31123045005889,1.61499954994111,0.127182766401348,2
18.159975,9.624375,25.369065,"E. Davis",2839,13,7.98112716100931,1.64324783899069,0.115629122503826,2
17.54751,10.084145,25.501525,"E. Davis",2839,14,10.2597435705726,-0.175598570572577,0.0812219306046098,2
"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
18.23123,5.54004,25.07551,"E. Davis",2518,1,7.43180099676733,-1.89176099676733,NA,3
18.60396,5.99693,24.92659,"E. Davis",2518,2,7.16629193694344,-1.16936193694344,NA,3
18.96293,6.16229,24.99682,"E. Davis",2518,3,7.25237268522658,-1.09008268522658,NA,3
19.30686,6.45311,24.7935,"E. Davis",2518,4,7.51558395061181,-1.06247395061181,NA,3
19.58002,6.57249,24.72761,"E. Davis",2518,5,7.113717916678,-0.541227916678004,0.0328843782838817,3
19.76388,6.57815,24.84203,"E. Davis",2518,6,7.16426556215914,-0.586115562159139,0.0362916068765976,3
19.87435,6.85538,24.69013,"E. Davis",2518,7,6.84886559756643,0.00651440243357193,0.056008838910549,3
19.8308,6.95054,24.69941,"E. Davis",2518,8,6.97596759586142,-0.0254275958614238,0.0730268256968873,3
19.77969,7.2814,24.71867,"E. Davis",2518,9,7.12752329284176,0.153876707158241,0.154622238185424,3
19.75827,7.62973,24.75524,"E. Davis",2518,10,7.17471089368741,0.455019106312585,0.242438052066976,3
19.5684,8.01392,24.82243,"E. Davis",2518,11,7.75247631736635,0.26144368263365,0.0904131515381611,3
19.19494,8.65979,24.72159,"E. Davis",2518,12,7.42569988746497,1.23409011253503,0.093622581317404,3
18.67663,9.20721,24.84254,"E. Davis",2518,13,7.41675602879632,1.79045397120368,0.0746342446854889,3
18.03991,9.79916,24.89072,"E. Davis",2518,14,7.99579238296368,1.80336761703632,0.0322825878270063,3
17.40536,10.38912,24.93809,"E. Davis",2518,15,10.5614534838797,-0.172333483879729,0.0434396191544213,3
"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
18.310445,5.493285,25.10065,"E. Davis",687,1,7.35789097890777,-1.86460597890777,NA,4
18.72978,5.87654,25.160265,"E. Davis",687,2,7.19992365310835,-1.32338365310835,NA,4
19.00454,6.10008,25.296325,"E. Davis",687,3,7.33438034108211,-1.23430034108211,NA,4
19.33212,6.282565,25.13882,"E. Davis",687,4,7.26945828346229,-0.986893283462293,NA,4
19.615585,6.403885,25.194435,"E. Davis",687,5,6.94525693265789,-0.541371932657886,0.00427794436222531,4
19.75795,6.544065,25.27019,"E. Davis",687,6,6.7635062213417,-0.219441221341704,0.0201816384803893,4
19.773645,6.74885,25.33344,"E. Davis",687,7,6.77027754389905,-0.0214275438990477,0.0613416243152873,4
19.730085,6.985445,25.41206,"E. Davis",687,8,6.75869742277296,0.226747577227041,0.123736833507051,4
19.66643,7.262035,25.364865,"E. Davis",687,9,6.81462576014272,0.447409239857284,0.152892455187314,4
19.520965,7.634345,25.43501,"E. Davis",687,10,7.33269937984983,0.301645620150166,0.0783676126643598,4
19.300605,8.071165,25.394855,"E. Davis",687,11,7.22099562418791,0.850169375812093,0.0280475226563905,4
18.891275,8.70023,25.35101,"E. Davis",687,12,6.99037218277814,1.70985781722186,0.0300873314086475,4
18.39364,9.32761,25.275545,"E. Davis",687,13,7.17833365762354,2.14927634237646,0.0228882099957,4
17.76823,9.915045,25.248465,"E. Davis",687,14,9.38990914561723,0.525135854382768,0.0115757188290047,4
17.172995,10.407975,25.236225,"E. Davis",687,15,10.4919430183571,-0.0839680183570763,0.0186556966809611,4
"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
18.27841,5.406075,24.76595,"E. Davis",2784,1,7.28979040585792,-1.88371540585792,NA,5
18.766005,5.85237,24.86245,"E. Davis",2784,2,6.29043048423161,-0.438060484231611,NA,5
18.943965,6.024625,24.714885,"E. Davis",2784,3,7.44779700250188,-1.42317200250188,NA,5
19.39349,6.1387,24.740945,"E. Davis",2784,4,7.2027772200052,-1.0640772200052,NA,5
19.63365,6.326455,24.78373,"E. Davis",2784,5,6.84045356380291,-0.51399856380291,0.0336507580375095,5
19.71168,6.486395,24.6743,"E. Davis",2784,6,6.76652054296238,-0.280125542962383,0.0505771892903201,5
19.793955,6.628315,24.635835,"E. Davis",2784,7,6.94826523210623,-0.319950232106224,0.0177182602237952,5
19.80049,6.873135,24.63488,"E. Davis",2784,8,6.95584572365789,-0.082710723657887,0.0480757936319776,5
19.861035,7.08746,24.53669,"E. Davis",2784,9,7.00066990290019,0.0867900970998141,0.0495617169541042,5
19.746855,7.394755,24.55959,"E. Davis",2784,10,6.88218922039058,0.512565779609419,0.258349698085771,5
19.5903,7.748895,24.58396,"E. Davis",2784,11,7.30314279604367,0.445752203956333,0.188711394016613,5
19.36763,8.12801,24.444735,"E. Davis",2784,12,7.28108424382903,0.846925756170966,0.112382477090297,5
18.90835,8.812695,24.59017,"E. Davis",2784,13,7.22298433774241,1.58971066225759,0.017459781222615,5
18.26135,9.448695,24.59823,"E. Davis",2784,14,7.33264430578105,2.11605069421895,0.0104200035604816,5
17.624115,9.89262,24.511985,"E. Davis",2784,15,9.94014846501989,-0.0475284650198908,0.0144795979108078,5
"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
18.4669,5.79999,25.138445,"E. Davis",414,1,7.03783810332009,-1.23784810332009,NA,6
