x_loc,radius,y_loc,abbrName,rounded_gameClock,frame_id,loess_coords,loess_residuals,quad_residuals,id
17.50213,4.99094,25.28626,E. Gordon,569,1,6.409566382,-1.418626382,NA,1
17.66726,5.13045,25.34769,E. Gordon,569,2,5.866450625,-0.736000625,NA,1
17.78462,5.40964,25.27582,E. Gordon,569,3,5.781789633,-0.372149633,NA,1
17.99211,5.79134,25.11242,E. Gordon,569,4,6.410952339,-0.619612339,NA,1
18.17445,5.9562,25.13244,E. Gordon,569,5,6.600276153,-0.644076153,0.04807834,1
18.922,6.04132,25.02812,E. Gordon,569,6,6.480074349,-0.438754349,0.018381384,1
18.50158,6.08179,25.01184,E. Gordon,569,7,6.61126256,-0.52947256,0.028344623,1
18.67342,6.10227,25.06965,E. Gordon,569,8,6.624486381,-0.522216381,0.005149215,1
19.07233,6.1585,24.9821,E. Gordon,569,9,6.276596612,-0.118096612,0.033129357,1
19.12486,6.20849,24.98023,E. Gordon,569,10,6.225334715,-0.016844715,0.025298047,1
19.05208,6.45607,24.89056,E. Gordon,569,11,6.297005195,0.159064805,0.087973367,1
18.98153,6.56026,24.92138,E. Gordon,569,12,6.385659358,0.174600642,0.068468235,1
18.87941,6.85212,24.82686,E. Gordon,569,13,6.549402839,0.302717161,0.059968651,1
18.71902,6.91198,25.03066,E. Gordon,569,14,6.587796986,0.324183014,0.02746166,1
18.52694,7.38905,24.9644,E. Gordon,569,15,6.619318907,0.769731093,0.055747362,1
18.04721,7.69931,25.03793,E. Gordon,569,16,6.528900701,1.170409299,0.062464639,1
17.53882,8.35999,24.95708,E. Gordon,569,17,6.238411091,2.121578909,0.073934591,1
x_loc,radius,y_loc,abbrName,rounded_gameClock,frame_id,loess_coords,loess_residuals,quad_residuals,id
17.720465,5.011105,25.119415,E. Gordon,2808,1,6.231385207,-1.220280207,NA,10
17.841785,5.347325,25.128605,E. Gordon,2808,2,5.899926705,-0.552601705,NA,10
17.93187,5.618785,25.14286,E. Gordon,2808,3,5.889169703,-0.270384703,NA,10
18.107885,5.84426,25.097775,E. Gordon,2808,4,6.558135263,-0.713875263,NA,10
18.327465,6.0195,25.019725,E. Gordon,2808,5,6.285527036,-0.266027036,0.019065218,10
18.646745,6.13022,25.033385,E. Gordon,2808,6,6.684506687,-0.554286687,0.029722465,10
18.989675,6.16894,25.038745,E. Gordon,2808,7,6.541591907,-0.372651907,0.015784783,10
18.85099,6.19129,25.0262,E. Gordon,2808,8,6.594239616,-0.402949616,0.010006299,10
18.77683,6.218815,24.971115,E. Gordon,2808,9,6.467887646,-0.249072646,0.016319812,10
