"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
17.93803,5.47628,24.08572,"G. Hayward",2580,1,6.21165458768693,-0.735374587686931,NA,1
18.137695,5.80153,24.19331,"G. Hayward",2580,2,6.27275529616773,-0.471225296167735,NA,1
18.42326,6.12585,24.2434,"G. Hayward",2580,3,7.09723690736995,-0.971386907369954,NA,1
18.6233,6.27203,24.344615,"G. Hayward",2580,4,6.86170879372676,-0.589678793726757,NA,1
18.992565,6.35859,24.555565,"G. Hayward",2580,5,6.73950647458103,-0.380916474581035,0.00245106594112698,1
19.107445,6.45767,24.52256,"G. Hayward",2580,6,6.72079701458588,-0.263127014585883,0.0240697430470417,1
19.092735,6.56379,24.543565,"G. Hayward",2580,7,6.70597479077661,-0.142184790776612,0.0472883997358725,1
19.16159,6.717805,24.532575,"G. Hayward",2580,8,6.77447704281241,-0.0566720428124086,0.038367794537022,1
19.237405,6.845365,24.656895,"G. Hayward",2580,9,6.87241770831897,-0.0270527083189664,0.0410758227866934,1
19.186985,6.920685,24.61439,"G. Hayward",2580,10,6.80057124161319,0.120113758386814,0.0705930556115938,1
19.07313,7.115945,24.58504,"G. Hayward",2580,11,6.68177351531595,0.434171484684047,0.144440337630839,1
18.923065,7.301,24.85505,"G. Hayward",2580,12,7.07257384108364,0.228426158916363,0.0765520471302969,1
18.67852,7.765185,24.716055,"G. Hayward",2580,13,7.03310280050778,0.732082199492215,0.0134656036856562,1
18.341615,8.418765,24.73236,"G. Hayward",2580,14,6.95533342467917,1.46343157532083,0.0143878552303992,1
17.69268,8.96794,24.85714,"G. Hayward",2580,15,7.51050458483481,1.45743541516519,0.0556869125012669,1
17.16201,9.71943,24.81245,"G. Hayward",2580,16,9.91447189042099,-0.195041890420994,0.0816526268406056,1
"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
18.453335,5.360165,23.91649,"G. Hayward",2513,1,6.40498922036722,-1.04482422036722,NA,11
18.558285,5.7333,24.123765,"G. Hayward",2513,2,6.35716407923488,-0.623864079234878,NA,11
18.85413,5.957585,24.156115,"G. Hayward",2513,3,6.37980397784904,-0.422218977849036,NA,11
19.13955,6.11044,24.267565,"G. Hayward",2513,4,6.41911174538853,-0.308671745388533,NA,11
19.23668,6.20024,24.37919,"G. Hayward",2513,5,6.65080484284739,-0.450564842847391,0.0610531564777785,11
19.498335,6.357085,24.470795,"G. Hayward",2513,6,6.36688419065693,-0.00979919065693124,0.00999079439603872,11
19.420105,6.51753,24.626055,"G. Hayward",2513,7,6.63486775908305,-0.117337759083048,0.0608830925787432,11
19.40646,6.62768,24.538875,"G. Hayward",2513,8,6.6785661044769,-0.0508861044769002,0.080482155048899,11
19.427565,6.773845,24.55869,"G. Hayward",2513,9,6.61057674140697,0.163268258593034,0.0621595326691819,11
19.355515,6.8572,24.57779,"G. Hayward",2513,10,6.81951196658084,0.0376880334191645,0.0720232909451004,11
19.23642,7.096,24.555675,"G. Hayward",2513,11,6.64981100816801,0.446188991831994,0.0760576874497689,11
19.015975,7.363355,24.529585,"G. Hayward",2513,12,6.80336230434656,0.559992695653444,0.0447895642920299,11
18.58787,8.030935,24.577495,"G. Hayward",2513,13,6.68656097936089,1.34437402063911,0.0174033228898322,11
18.034795,8.658495,24.520675,"G. Hayward",2513,14,8.07075140661616,0.587743593383836,0.0224157203342008,11
17.55355,9.280995,24.48565,"G. Hayward",2513,15,9.37050931128146,-0.0895143112814605,0.0280958253717415,11
"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
19.20983,7.22446,24.60155,"G. Hayward",2548,1,7.22446,3.5527136788005e-15,NA,12
19.05367,7.41264,24.55438,"G. Hayward",2548,2,7.41264,-8.88178419700125e-16,NA,12
18.78702,7.88552,24.47417,"G. Hayward",2548,3,7.88552,-1.77635683940025e-15,NA,12
18.08002,8.75428,24.53343,"G. Hayward",2548,4,8.75428,1.77635683940025e-15,NA,12
17.67376,9.37008,24.5738,"G. Hayward",2548,5,9.37008,-1.77635683940025e-15,0.0330466904151509,12
17.02444,9.96216,24.62363,"G. Hayward",2548,6,9.96216,0,0.0400131236642068,12
"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
18.1155,5.483415,25.94454,"G. Hayward",797,1,6.91223060926168,-1.42881560926168,NA,13
18.31631,5.853215,25.825565,"G. Hayward",797,2,6.51412466811367,-0.660909668113669,NA,13
18.607615,6.19038,25.66312,"G. Hayward",797,3,7.03482745975802,-0.84444745975802,NA,13
18.82545,6.416025,25.643135,"G. Hayward",797,4,6.55647507681183,-0.140450076811828,NA,13
18.83096,6.52514,25.60918,"G. Hayward",797,5,6.5504599600294,-0.0253199600294014,0.0357739212656222,13
19.03163,6.62154,25.524815,"G. Hayward",797,6,7.20951233809911,-0.587972338099113,0.0304622528829002,13
19.21736,6.665845,25.505415,"G. Hayward",797,7,6.85744516416654,-0.191600164166538,0.0210792998774707,13
19.33141,6.70712,25.43086,"G. Hayward",797,8,6.79737369058826,-0.0902536905882636,0.0278443330579538,13
19.347735,6.826845,25.4121,"G. Hayward",797,9,6.81601819715566,0.0108268028443375,0.03256831736725,13
19.293605,6.935495,25.40893,"G. Hayward",797,10,6.7775936171996,0.157901382800397,0.067598619890485,13
19.19254,7.052515,25.413935,"G. Hayward",797,11,6.89737204995703,0.155142950042972,0.115959731032114,13
19.109585,7.28582,25.36344,"G. Hayward",797,12,7.16942037995102,0.116399620048985,0.0483375971547177,13
19.03209,7.71829,25.23675,"G. Hayward",797,13,7.20993310166951,0.508356898330486,0.0311439787542993,13
18.62998,8.24891,25.234645,"G. Hayward",797,14,7.01166732865459,1.23724267134541,0.0880007695527118,13
18.096845,8.93789,25.198495,"G. Hayward",797,15,6.97203801899438,1.96585198100562,0.0826125728334523,13
17.59442,9.584195,25.213075,"G. Hayward",797,16,9.65278861911808,-0.0685936191180794,0.0761325095143556,13
"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
18.064425,5.49352,25.77935,"G. Hayward",1080,1,6.81628019898322,-1.32276019898322,NA,14
18.19773,5.847275,25.84456,"G. Hayward",1080,2,6.40047769707903,-0.553202697079031,NA,14
18.45387,6.198085,25.659785,"G. Hayward",1080,3,6.86686659110126,-0.668781591101261,NA,14
18.688245,6.36016,25.61738,"G. Hayward",1080,4,7.069959809083,-0.709799809082996,NA,14
18.93082,6.490365,25.5105,"G. Hayward",1080,5,7.00365553486182,-0.513290534861821,0.0302023390649278,14
19.11338,6.573495,25.440365,"G. Hayward",1080,6,6.74979552393642,-0.176300523936424,0.0175758705678675,14
19.17859,6.654015,25.393775,"G. Hayward",1080,7,6.73612772087358,-0.082112720873579,0.0126289166234924,14
19.090155,6.704265,25.400305,"G. Hayward",1080,8,6.76574130829761,-0.061476308297606,0.0377090402259809,14
19.26114,6.77119,25.422665,"G. Hayward",1080,9,6.83363254189176,-0.0624425418917545,0.0415688547646857,14
19.23447,6.865465,25.35549,"G. Hayward",1080,10,6.79332778991391,0.0721372100860922,0.0604256985075024,14
19.147555,7.05789,25.38518,"G. Hayward",1080,11,6.73051826780107,0.327371732198933,0.101697084724055,14
18.999645,7.28601,25.357615,"G. Hayward",1080,12,6.84559475058163,0.440415249418365,0.125448789540512,14
18.855085,7.600075,25.280965,"G. Hayward",1080,13,7.11334481883201,0.486730181167989,0.022412490185182,14
18.53113,8.14475,25.18648,"G. Hayward",1080,14,7.01709367263268,1.12765632736732,0.0154065194786547,14
18.053485,8.814255,25.22191,"G. Hayward",1080,15,6.84146816129787,1.97278683870213,0.0161633457398956,14
17.50961,9.458235,25.175895,"G. Hayward",1080,16,9.51442408990354,-0.0561890899035351,0.015959384944529,14
"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
18.05987,5.01595,25.92797,"G. Hayward",1143,1,6.63032626838391,-1.61437626838391,NA,15
18.18091,5.46071,25.93893,"G. Hayward",1143,2,6.32737947241687,-0.866669472416866,NA,15
18.44399,5.81013,25.77719,"G. Hayward",1143,3,6.64613466999098,-0.836004669990976,NA,15
18.68345,6.1216,25.59502,"G. Hayward",1143,4,6.74377994100117,-0.622179941001174,NA,15
18.85809,6.33187,25.61038,"G. Hayward",1143,5,7.14574648003531,-0.813876480035312,0.0523071714232978,15
19.31684,6.48128,25.45372,"G. Hayward",1143,6,6.89555160467495,-0.414271604674946,0.0246678422729927,15
19.1804,6.54802,25.39783,"G. Hayward",1143,7,7.0297530677007,-0.481733067700703,0.0234424184799165,15
19.41501,6.55331,25.35037,"G. Hayward",1143,8,6.70139226320044,-0.148082263200435,0.0243494013095585,15
19.45141,6.58113,25.3209,"G. Hayward",1143,9,6.60295730652935,-0.0218273065293548,0.026868850341579,15
19.41136,6.7651,25.34232,"G. Hayward",1143,10,6.71041110433743,0.0546888956625731,0.069626298489308,15
19.4008,6.90388,25.28012,"G. Hayward",1143,11,6.73572546303429,0.168154536965715,0.0708383163840178,15
19.33528,7.07133,25.34594,"G. Hayward",1143,12,6.86823087254843,0.203099127451574,0.0704675631486213,15
19.22687,7.28824,25.33974,"G. Hayward",1143,13,6.87016434430798,0.418075655692022,0.0245407780701823,15
19.09718,7.69056,25.19338,"G. Hayward",1143,14,7.28410789022593,0.406452109774073,0.0395059973710451,15
18.74928,8.23393,25.17318,"G. Hayward",1143,15,6.93912123410429,1.29480876589571,0.0262005489672005,15
18.1847,8.98224,25.16973,"G. Hayward",1143,16,6.32102244818706,2.66121755181294,0.0322145493296507,15
17.59692,9.53439,25.21988,"G. Hayward",1143,17,8.56526968428781,0.969120315712193,0.0371263305656413,15
17.05426,10.14583,25.10067,"G. Hayward",1143,18,10.333400994072,-0.187570994072029,0.036046574754327,15
"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
18.172255,5.55969,25.825,"G. Hayward",1197,1,7.00444279438706,-1.44475279438706,NA,16
18.421415,5.920355,25.69813,"G. Hayward",1197,2,6.6146426166139,-0.694287616613899,NA,16
18.69399,6.210145,25.54191,"G. Hayward",1197,3,7.04515256209234,-0.835007562092343,NA,16
18.834395,6.369525,25.529995,"G. Hayward",1197,4,6.81861948526733,-0.44909448526733,NA,16
19.02994,6.478995,25.501725,"G. Hayward",1197,5,6.85884939162651,-0.379854391626509,0.00865809696414494,16
19.2636,6.56731,25.36019,"G. Hayward",1197,6,6.92635108742671,-0.359041087426714,0.00866941517792643,16
19.32679,6.678655,25.333235,"G. Hayward",1197,7,6.6355747573759,0.0430802426240975,0.0255366830979822,16
19.321525,6.74811,25.302105,"G. Hayward",1197,8,6.66458131363207,0.0835286863679352,0.0344895902993756,16
19.283505,6.901285,25.30392,"G. Hayward",1197,9,6.84893724574742,0.0523477542525796,0.0792537749765618,16
19.247495,7.023645,25.28607,"G. Hayward",1197,10,6.97842002685112,0.0452249731488781,0.119973063311124,16
19.1391,7.240605,25.27986,"G. Hayward",1197,11,7.10012907526315,0.140475924736855,0.0104987384765183,16
18.877215,7.577195,25.27964,"G. Hayward",1197,12,6.78765862702161,0.78953637297839,0.0165192154073292,16
18.66165,8.116805,25.13195,"G. Hayward",1197,13,7.03941831230158,1.07738668769842,0.0448374729952636,16
18.183765,8.843765,25.170825,"G. Hayward",1197,14,6.97165835082366,1.87210664917634,0.0417144073173262,16
17.672795,9.465975,25.150925,"G. Hayward",1197,15,9.0682638987777,0.397711101222303,0.0492759239023638,16
17.185225,10.14504,25.07828,"G. Hayward",1197,16,10.2259408218504,-0.080900821850447,0.0561025775829005,16
"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
18.09557,5.312715,25.885035,"G. Hayward",1363,1,6.75063789348652,-1.43792289348652,NA,17
18.174215,5.741325,25.862505,"G. Hayward",1363,2,6.28854365013731,-0.547218650137311,NA,17
18.50857,6.12569,25.61315,"G. Hayward",1363,3,7.15427771834866,-1.02858771834866,NA,17
18.74425,6.311965,25.539925,"G. Hayward",1363,4,6.80377383327064,-0.491808833270643,NA,17
18.92736,6.45386,25.483455,"G. Hayward",1363,5,7.10045747008023,-0.646597470080234,0.0704516116188969,17
19.227215,6.539555,25.38964,"G. Hayward",1363,6,6.81460389542183,-0.275048895421833,0.00701686273418503,17
19.29451,6.58943,25.32331,"G. Hayward",1363,7,6.72879912964698,-0.139369129646977,0.0122872004346199,17
19.34498,6.69255,25.318495,"G. Hayward",1363,8,6.73309817898055,-0.0405481789805524,0.0331418694025313,17
19.377245,6.781755,25.32841,"G. Hayward",1363,9,6.76645537966585,0.0152996203341482,0.0136793916128251,17
19.29622,6.90947,25.28177,"G. Hayward",1363,10,6.72798247708548,0.181487522914523,0.0861748514257688,17
19.224045,7.07914,25.269745,"G. Hayward",1363,11,6.82120211968421,0.257937880315793,0.0696475936294513,17
19.07745,7.374125,25.28916,"G. Hayward",1363,12,7.28216978351223,0.0919552164877668,0.0411450860118446,17
18.824575,7.799165,25.2145,"G. Hayward",1363,13,6.89135641296779,0.907808587032215,0.0115580667682025,17
18.47714,8.371255,25.14384,"G. Hayward",1363,14,7.15505240171221,1.21620259828779,0.0118871144744777,17
17.998505,9.08554,25.05522,"G. Hayward",1363,15,7.02915576403554,2.05638423596446,0.00686008292779334,17
17.46572,9.703335,25.05073,"G. Hayward",1363,16,9.84115789602786,-0.137822896027858,0.0109828882429541,17
"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
18.081015,5.50037,25.73224,"G. Hayward",458,1,6.69461955977384,-1.19424955977384,NA,18
18.17095,5.83552,25.785695,"G. Hayward",458,2,6.5500105041457,-0.714490504145696,NA,18
18.493795,6.12858,25.59509,"G. Hayward",458,3,7.04082611074441,-0.912246110744414,NA,18
18.749665,6.348165,25.47058,"G. Hayward",458,4,6.4667323715223,-0.118567371522295,NA,18
18.87852,6.49322,25.511235,"G. Hayward",458,5,7.01188544298396,-0.518665442983965,0.0558120402675716,18
19.0897,6.55392,25.44775,"G. Hayward",458,6,6.81018093039632,-0.256260930396318,0.0210398136518428,18
19.256775,6.65748,25.30487,"G. Hayward",458,7,6.81318385437373,-0.155703854373733,0.0175588265577401,18
19.171295,6.75424,25.38239,"G. Hayward",458,8,6.71633256925085,0.0379074307491454,0.0428395913508274,18
19.25124,6.812125,25.293965,"G. Hayward",458,9,6.80280082708265,0.00932417291735099,0.060908128536988,18
19.225925,6.97344,25.27368,"G. Hayward",458,10,6.76019910976217,0.213240890237831,0.0757516987268176,18
19.07601,7.12969,25.30662,"G. Hayward",458,11,6.93699306755177,0.192696932448228,0.0915984403776182,18
19.03049,7.3078,25.320905,"G. Hayward",458,12,7.18972983506013,0.118070164939873,0.0681178187825449,18
18.93311,7.599035,25.12238,"G. Hayward",458,13,7.17308334123133,0.425951658768671,0.0390026593657996,18
18.33547,8.48268,25.160585,"G. Hayward",458,14,6.97618023301195,1.50649976698805,0.0527622430777004,18
17.80262,9.18428,25.09027,"G. Hayward",458,15,7.80039956743498,1.38388043256503,0.0475624333112361,18
17.31455,9.865695,25.11924,"G. Hayward",458,16,10.0904294730003,-0.224734473000343,0.0400795100421984,18
"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
18.17488,5.4718,25.89191,"G. Hayward",1333,1,6.7771426656584,-1.3053426656584,NA,19
18.27883,5.720575,25.78348,"G. Hayward",1333,2,6.51872013343426,-0.798145133434256,NA,19
18.57454,6.15369,25.63426,"G. Hayward",1333,3,6.36975587708969,-0.216065877089693,NA,19
18.77709,6.36011,25.61826,"G. Hayward",1333,4,7.1178207251617,-0.757710725161699,NA,19
18.985175,6.456705,25.49014,"G. Hayward",1333,5,6.92900609548211,-0.472301095482111,0.00953426605075194,19
19.098405,6.52085,25.505935,"G. Hayward",1333,6,6.98537027602886,-0.464520276028862,0.00840257812399088,19
19.319355,6.60098,25.386555,"G. Hayward",1333,7,6.82533720977887,-0.224357209778872,0.0115955446736155,19
19.323975,6.732235,25.443245,"G. Hayward",1333,8,6.80614471459213,-0.0739097145921299,0.0261302956686391,19
19.34599,6.79904,25.35492,"G. Hayward",1333,9,6.71569620159034,0.0833437984096568,0.0442994458659431,19
19.284395,6.87849,25.213805,"G. Hayward",1333,10,6.96368171512549,-0.0851917151254939,0.0701576723443514,19
19.327845,6.993835,25.39916,"G. Hayward",1333,11,6.78998174909465,0.203853250905347,0.094756392749002,19
19.15847,7.246585,25.33555,"G. Hayward",1333,12,6.98730382750268,0.259281172497316,0.0615844367469933,19
19.016715,7.600105,25.20221,"G. Hayward",1333,13,6.9125465452822,0.687558454717796,0.0548038047980191,19
18.7818,8.09934,25.13168,"G. Hayward",1333,14,7.12048632663669,0.978853673363309,0.0515362549761031,19
18.303415,8.715305,25.2038,"G. Hayward",1333,15,6.49748899629851,2.21781600370149,0.0410096305815486,19
17.78174,9.39083,25.174835,"G. Hayward",1333,16,8.61307275454922,0.777757245450784,0.0438633063339706,19
17.27143,10.02536,25.1204,"G. Hayward",1333,17,10.1367229189048,-0.111362918904817,0.0363886470783216,19
"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
17.98712,5.240125,24.056,"G. Hayward",2769,1,6.74746210681691,-1.50733710681691,NA,2
18.17973,5.570765,24.151575,"G. Hayward",2769,2,6.55571288553003,-0.984947885530028,NA,2
18.34418,5.953615,24.34882,"G. Hayward",2769,3,6.57498731564476,-0.621372315644759,NA,2
18.560535,6.203325,24.323295,"G. Hayward",2769,4,7.09041396886999,-0.887088968869992,NA,2
18.851825,6.345315,24.426815,"G. Hayward",2769,5,6.86312211058269,-0.517807110582689,0.0299023338281293,2
19.28503,6.432955,24.5417,"G. Hayward",2769,6,6.83003506111839,-0.397080061118388,0.0411423997714468,2
19.545505,6.557005,24.57926,"G. Hayward",2769,7,6.63690882491327,-0.0799038249132664,0.0365657333112317,2
19.052385,6.629695,24.51176,"G. Hayward",2769,8,7.0038688719413,-0.374173871941302,0.0679118457932045,2
19.563545,6.707225,24.64007,"G. Hayward",2769,9,6.64448660090788,0.0627383990921162,0.0950168372760652,2
19.354425,6.7816,24.725655,"G. Hayward",2769,10,6.70531016808632,0.0762898319136784,0.100901993120409,2
19.30724,6.859495,24.621145,"G. Hayward",2769,11,6.76843880446268,0.0910561955373161,0.0504459679174422,2
19.29017,7.027905,24.775875,"G. Hayward",2769,12,6.80853040751757,0.219374592482429,0.0616409726776071,2
19.14267,7.31904,24.75159,"G. Hayward",2769,13,7.02258711578864,0.296452884211363,0.0389356200224052,2
18.884185,7.622235,24.73357,"G. Hayward",2769,14,6.9192349998102,0.703000000189797,0.0265045091069211,2
18.482925,8.170795,24.64436,"G. Hayward",2769,15,6.82712697638708,1.34366802361292,0.0521351473273389,2
18.073935,8.8669,24.761475,"G. Hayward",2769,16,6.52767332377235,2.33922667622765,0.0302976804896041,2
17.55927,9.441145,24.80389,"G. Hayward",2769,17,9.36686868208897,0.074276317911032,0.046410056249114,2
"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
17.67233,5.19508,24.44343,"G. Hayward",2408,1,5.19508,8.88178419700125e-16,NA,20
18.46697,5.754885,24.21113,"G. Hayward",2408,2,5.754885,-3.5527136788005e-15,NA,20
19.113725,6.191125,24.47887,"G. Hayward",2408,3,6.19112499999999,6.21724893790088e-15,NA,20
19.50345,6.574385,24.62316,"G. Hayward",2408,4,6.574385,0,NA,20
19.501405,6.75017,24.66496,"G. Hayward",2408,5,6.75017,8.88178419700125e-16,0.0600875255757327,20
19.413285,6.99468,24.713625,"G. Hayward",2408,6,6.99468,8.88178419700125e-16,0.138758346349491,20
19.360525,7.427385,24.804625,"G. Hayward",2408,7,7.427385,-8.88178419700125e-16,0.0928491568976334,20
18.6127,8.46243,24.853505,"G. Hayward",2408,8,8.46243000000001,-7.105427357601e-15,0.0704837035205785,20
17.531145,9.71581,24.817875,"G. Hayward",2408,9,9.71581,-3.5527136788005e-15,0.10321815505121,20
"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
18.05259,5.0812,24.03197,"G. Hayward",2846,1,6.83087001286978,-1.74967001286978,NA,21
18.27753,5.53715,24.17589,"G. Hayward",2846,2,6.49585229263461,-0.95870229263461,NA,21
18.5684,5.77291,24.33734,"G. Hayward",2846,3,6.64108536826484,-0.868175368264837,NA,21
18.67285,6.12708,24.29898,"G. Hayward",2846,4,6.91634484737616,-0.789264847376164,NA,21
18.89823,6.27108,24.41429,"G. Hayward",2846,5,7.02980537414749,-0.758725374147488,0.0616116561277918,21
19.18778,6.51974,24.44048,"G. Hayward",2846,6,6.82076089860391,-0.301020898603907,0.0537479723293801,21
19.32543,6.52844,24.54479,"G. Hayward",2846,7,6.53979868395722,-0.0113586839572237,0.0462695989221341,21
19.28089,6.72887,24.55555,"G. Hayward",2846,8,6.8781916539397,-0.149321653939698,0.0570178345697286,21
19.38544,6.76652,24.57698,"G. Hayward",2846,9,6.76158148576866,0.00493851423134206,0.0602488541421797,21
19.45866,6.86054,24.62153,"G. Hayward",2846,10,7.08797620607205,-0.227436206072049,0.0605888036163723,21
19.41654,7.01563,24.65229,"G. Hayward",2846,11,6.88602963405624,0.129600365943762,0.101884034504758,21
19.26369,7.03811,24.66326,"G. Hayward",2846,12,6.91164403980187,0.126465960198127,0.113764245045399,21
19.43255,7.2113,24.73894,"G. Hayward",2846,13,6.96026697313462,0.251033026865381,0.126975780295021,21
19.22865,7.48531,24.71703,"G. Hayward",2846,14,6.9175483064358,0.567761693564201,0.142820423575408,21
18.88555,7.88808,24.75236,"G. Hayward",2846,15,6.98357986057424,0.904500139425761,0.123882631997193,21
18.5652,8.43542,24.83538,"G. Hayward",2846,16,6.63085889247201,1.80456110752799,0.113063449963559,21
18.0633,9.1489,24.83662,"G. Hayward",2846,17,6.80209344211302,2.34680655788698,0.0228819836377625,21
17.46555,9.80788,24.80203,"G. Hayward",2846,18,9.83933201938673,-0.0314520193867249,0.0384303522227526,21
"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
18.21029,5.64662,25.90364,"G. Hayward",40,1,6.86585072573639,-1.21923072573639,NA,3
18.40731,6.00562,25.81575,"G. Hayward",40,2,6.8007885321263,-0.795168532126301,NA,3
18.58469,6.36348,25.73826,"G. Hayward",40,3,6.17711414637251,0.186365853627486,NA,3
18.78733,6.42927,25.63363,"G. Hayward",40,4,7.16291662985346,-0.733646629853459,NA,3
19.00486,6.55792,25.57829,"G. Hayward",40,5,7.06642350944175,-0.508503509441752,0.0337908820246993,3
