"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
18.11894,5.39663,24.55026,"I. Mahinmi",1716,1,6.23247115042113,-0.835841150421132,NA,1
18.1172,5.68028,24.55205,"I. Mahinmi",1716,2,6.23451594451081,-0.554235944510813,NA,1
18.21145,6.04352,24.60638,"I. Mahinmi",1716,3,6.28481365390167,-0.241293653901666,NA,1
18.42804,6.59068,24.61144,"I. Mahinmi",1716,4,7.66097403171339,-1.07029403171339,NA,1
18.52879,7.02044,24.6226,"I. Mahinmi",1716,5,7.98016628866524,-0.959726288665241,0.107206727359992,1
19.23482,7.14886,24.57736,"I. Mahinmi",1716,6,7.70761482730409,-0.558754827304095,0.0449020039146347,1
18.91758,7.15361,24.6728,"I. Mahinmi",1716,7,7.8028821650895,-0.649272165089498,0.0781917525860793,1
19.87327,7.28591,24.74871,"I. Mahinmi",1716,8,7.67030855283675,-0.38439855283675,0.0997497197022787,1
19.68609,7.33026,24.64157,"I. Mahinmi",1716,9,7.79353890139767,-0.463278901397667,0.0310165183827591,1
20.00126,7.35971,24.77336,"I. Mahinmi",1716,10,7.60410687696041,-0.244396876960411,0.0289022610027537,1
20.03105,7.70282,24.84041,"I. Mahinmi",1716,11,7.592159697947,0.110660302053,0.0988748975234522,1
20.11752,7.70837,25.06554,"I. Mahinmi",1716,12,7.56900670567792,0.139363294322076,0.070855792293724,1
19.8353,8.09677,24.9353,"I. Mahinmi",1716,13,7.69330275403793,0.403467245962073,0.207021127318045,1
19.46167,8.49607,24.99673,"I. Mahinmi",1716,14,8.01677588700412,0.479294112995879,0.145143384829114,1
18.87379,9.09983,24.91762,"I. Mahinmi",1716,15,7.82028471594421,1.27954528405579,0.0375007460185715,1
18.3594,9.75894,24.96904,"I. Mahinmi",1716,16,7.362207754079,2.396732245921,0.0315456041588014,1
17.68801,10.31925,24.93857,"I. Mahinmi",1716,17,8.35185111434982,1.96739888565018,0.0356087482141795,1
17.17318,10.78497,24.95311,"I. Mahinmi",1716,18,11.1766126362028,-0.39164263620285,0.0315746664844347,1
"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
17.99642,5.460345,24.268875,"I. Mahinmi",2665,1,7.11867948376295,-1.65833448376295,NA,10
18.074085,6.037265,24.411165,"I. Mahinmi",2665,2,7.20234734061584,-1.16508234061584,NA,10
18.351805,6.392805,24.326705,"I. Mahinmi",2665,3,7.14551494035088,-0.752709940350876,NA,10
18.61111,6.764235,24.342885,"I. Mahinmi",2665,4,7.71630043189891,-0.952065431898909,NA,10
19.14505,7.106,24.44645,"I. Mahinmi",2665,5,7.67390620322118,-0.567906203221177,0.089536447927736,10
19.194065,7.160865,24.46641,"I. Mahinmi",2665,6,7.65163263087701,-0.490767630877012,0.0230911807824551,10
