"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
18.222025,5.436115,23.36233,"J. Parker",1037,1,7.1470369636885,-1.7109219636885,NA,10
18.30867,5.82727,23.43264,"J. Parker",1037,2,6.91569596588497,-1.08842596588497,NA,10
18.55832,6.1397,23.4676,"J. Parker",1037,3,7.02830985935356,-0.888609859353559,NA,10
18.64,6.37822,23.530175,"J. Parker",1037,4,7.17008100768755,-0.791861007687548,NA,10
18.860395,6.63726,23.49278,"J. Parker",1037,5,7.22245131798142,-0.585191317981423,0.0591599633811276,10
19.20125,6.825225,23.758465,"J. Parker",1037,6,7.49686846907275,-0.671643469072754,0.0395877948048732,10
19.27621,6.90939,23.788785,"J. Parker",1037,7,7.40285986462017,-0.493469864620165,0.0339943591800061,10
19.62447,7.00798,24.104465,"J. Parker",1037,8,7.67918339720987,-0.671203397209874,0.0175010705841911,10
19.831825,7.097995,24.101825,"J. Parker",1037,9,7.3869347721967,-0.288939772196703,0.0149290390703881,10
19.881475,7.189565,24.16761,"J. Parker",1037,10,7.36435810052658,-0.174793100526581,0.0258047554816018,10
19.964155,7.380965,24.26211,"J. Parker",1037,11,7.36875983608471,0.0122051639152945,0.0356795795227258,10
19.87376,7.695655,24.235525,"J. Parker",1037,12,7.36666057466485,0.328994425335152,0.150465973153637,10
19.69305,7.989075,24.21183,"J. Parker",1037,13,7.54538998759134,0.443685012408661,0.167098665174328,10
19.48666,8.30678,24.29491,"J. Parker",1037,14,7.75577543704455,0.551004562955448,0.131586721439865,10
19.017535,8.962105,24.23514,"J. Parker",1037,15,7.53512825902717,1.42697674097283,0.0335520599276091,10
18.479545,9.60011,24.236675,"J. Parker",1037,16,6.6396857139558,2.9604242860442,0.000157461837121886,10
17.9862,10.307915,24.316175,"J. Parker",1037,17,8.30695459081034,2.00096040918966,0.0260741536155809,10
17.418945,10.81658,24.343765,"J. Parker",1037,18,11.0485424190893,-0.231962419089342,0.0319557498297002,10
"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
18.31968,5.757575,23.253155,"J. Parker",2724,1,5.757575,2.66453525910038e-15,NA,11
18.71753,6.49779,23.678395,"J. Parker",2724,2,6.49779,3.5527136788005e-15,NA,11
19.162015,6.79155,23.765475,"J. Parker",2724,3,6.79155,2.66453525910038e-15,NA,11
19.669355,6.96782,23.904815,"J. Parker",2724,4,6.96782,2.66453525910038e-15,NA,11
19.87916,7.12298,24.224245,"J. Parker",2724,5,7.12298,-3.5527136788005e-15,0.0689632431126142,11
19.71423,7.80009,24.17777,"J. Parker",2724,6,7.80009,2.66453525910038e-15,0.232402587914927,11
19.275485,8.622835,24.21397,"J. Parker",2724,7,8.622835,-3.5527136788005e-15,0.53095183682195,11
18.24465,9.931495,24.31346,"J. Parker",2724,8,9.931495,1.77635683940025e-15,0.245514777306339,11
