"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
18.148515,5.63525,25.7711,"J. Sampson",2654,1,5.36271668655732,0.272533313442678,NA,1
18.3886,5.795535,25.772575,"J. Sampson",2654,2,6.31700110254031,-0.521466102540306,NA,1
18.599835,5.9949,25.72347,"J. Sampson",2654,3,6.96358450063698,-0.96868450063698,NA,1
18.916095,6.195345,25.86899,"J. Sampson",2654,4,7.53964545653218,-1.34430045653218,NA,1
19.155155,6.419405,25.78646,"J. Sampson",2654,5,7.35021631045932,-0.930811310459318,0.014147614203503,1
19.44575,6.55804,25.929975,"J. Sampson",2654,6,7.26253685697956,-0.704496856979562,0.0168976823794589,1
19.59244,6.6444,25.964055,"J. Sampson",2654,7,6.64488725715447,-0.000487257154468956,0.015646967242745,1
19.676915,6.753765,25.9633,"J. Sampson",2654,8,7.22349797587797,-0.469732975877969,0.0259999393521454,1
19.81598,6.888265,25.996735,"J. Sampson",2654,9,7.33080000027366,-0.442535000273656,0.0082698165683265,1
19.85898,6.971875,26.035575,"J. Sampson",2654,10,7.05566498295699,-0.0837899829569944,0.0109292767208792,1
19.84867,7.0975,25.990685,"J. Sampson",2654,11,7.12780019202918,-0.0303001920291814,0.0448691722700019,1
19.86363,7.28119,26.0275,"J. Sampson",2654,12,7.02244991902657,0.258740080973432,0.0638002161503332,1
19.813175,7.415275,26.020935,"J. Sampson",2654,13,7.34570002252087,0.0695749774791343,0.160616945594652,1
19.75927,7.495295,26.038095,"J. Sampson",2654,14,7.53393769787375,-0.0386426978737493,0.100399275962397,1
19.723155,7.874915,26.064555,"J. Sampson",2654,15,7.58097478066786,0.293940219332137,0.0807269730825604,1
19.419435,8.28848,25.969545,"J. Sampson",2654,16,7.29101968375899,0.997460316241005,0.0672849707021507,1
19.13125,8.733025,26.022275,"J. Sampson",2654,17,7.27900600844126,1.45401899155874,0.0783586755374847,1
18.731465,9.354295,26.00656,"J. Sampson",2654,18,7.34568110832087,2.00861389167913,0.0712827006726217,1
"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
18.07715,5.307865,25.894565,"J. Sampson",2064,1,7.08539438409393,-1.77752938409393,NA,2
18.21242,5.56071,25.811085,"J. Sampson",2064,2,6.83636029258981,-1.27565029258981,NA,2
18.481175,5.814975,25.82108,"J. Sampson",2064,3,6.67311458401849,-0.858139584018485,NA,2
18.7504,6.027465,25.84331,"J. Sampson",2064,4,6.76283582611747,-0.735370826117466,NA,2
18.987165,6.17126,25.855365,"J. Sampson",2064,5,6.73754079824431,-0.566280798244311,0.0200179379146817,2
19.240415,6.372555,25.929845,"J. Sampson",2064,6,7.18407637231711,-0.811521372317107,0.0116689351422782,2
19.44278,6.47526,25.8899,"J. Sampson",2064,7,6.95880497681039,-0.483544976810387,0.00953983073680433,2
19.637825,6.56548,25.940935,"J. Sampson",2064,8,7.26209368626414,-0.696613686264138,0.0105540856083238,2
19.75818,6.689785,26.001385,"J. Sampson",2064,9,7.15319218240702,-0.463407182407017,0.0177655985205313,2
19.7942,6.829875,26.013225,"J. Sampson",2064,10,7.0538539729078,-0.223978972907803,0.0327622921308784,2
19.798175,6.951535,26.032695,"J. Sampson",2064,11,7.04305119060211,-0.0915161906021087,0.0440246593958747,2
19.831035,7.02831,26.06204,"J. Sampson",2064,12,6.96751060925531,0.060799390744692,0.0308342552591411,2
19.797865,7.1849,26.04308,"J. Sampson",2064,13,7.04386211064167,0.141037889358327,0.0792123509022474,2
19.792425,7.302505,26.020905,"J. Sampson",2064,14,7.05855203770928,0.243952962290718,0.13219720955774,2
19.71136,7.459265,26.01872,"J. Sampson",2064,15,7.17185466342109,0.287410336578908,0.0777638162369829,2
19.66303,7.64091,25.98804,"J. Sampson",2064,16,7.1905443836722,0.450365616327796,0.0382299636640944,2
19.543705,7.946155,26.025115,"J. Sampson",2064,17,7.21881886795716,0.727336132042836,0.0295397028581711,2
19.212695,8.526015,26.016315,"J. Sampson",2064,18,7.15726704479933,1.36874795520067,0.0202866357439452,2
18.60615,9.14659,26.01672,"J. Sampson",2064,19,6.75481243112505,2.39177756887495,0.0245503292162629,2
18.037715,9.741865,25.941775,"J. Sampson",2064,20,7.18188674998567,2.55997825001433,0.0553749437072556,2
17.36999,10.36284,25.9455,"J. Sampson",2064,21,10.4556560733878,-0.0928160733877643,0.0400203468882195,2
"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
18.14104,5.37448,25.845805,"J. Sampson",1194,1,7.12746954206694,-1.75298954206694,NA,3
18.272645,5.46262,25.81661,"J. Sampson",1194,2,6.75945554910892,-1.29683554910892,NA,3
18.454645,5.81089,25.75886,"J. Sampson",1194,3,6.43490941342103,-0.62401941342103,NA,3
18.76748,6.01785,25.836215,"J. Sampson",1194,4,6.73703927515181,-0.719189275151814,NA,3
18.972395,6.27009,25.88666,"J. Sampson",1194,5,6.93502706852386,-0.664937068523856,0.0435323598573849,3
19.199565,6.392935,25.913885,"J. Sampson",1194,6,7.05982561845303,-0.666890618453031,0.0381697780922973,3
19.47673,6.466955,25.95075,"J. Sampson",1194,7,7.20941105072222,-0.742456050722224,0.0319179191277248,3
19.77934,6.70539,25.944345,"J. Sampson",1194,8,7.2306593813657,-0.525269381365698,0.0418488715190096,3
19.78877,6.817495,25.844125,"J. Sampson",1194,9,7.20916951413716,-0.391674514137156,0.0389845796535015,3
19.88195,6.862705,26.05833,"J. Sampson",1194,10,7.0953422237787,-0.232637223778703,0.0255650363664321,3
19.943625,7.019175,26.01535,"J. Sampson",1194,11,7.08127515436808,-0.0621001543680775,0.0302947095442819,3
19.989435,7.136535,25.96804,"J. Sampson",1194,12,7.09507960222967,0.0414553977703296,0.0261570019661201,3
19.837175,7.31345,26.05254,"J. Sampson",1194,13,7.13060335260711,0.182846647392891,0.146261678519194,3
19.83606,7.46193,26.024395,"J. Sampson",1194,14,7.13205100933733,0.329878990662671,0.0828505968303755,3
19.82508,7.523515,26.018705,"J. Sampson",1194,15,7.14727089862891,0.376244101371092,0.035317755791683,3
19.72762,7.69249,26.03283,"J. Sampson",1194,16,7.32898892483447,0.363501075165527,0.0455201163428915,3
19.551495,8.160105,26.10632,"J. Sampson",1194,17,7.3834269215428,0.776678078457204,0.0469396737344491,3
19.10042,8.743815,26.01979,"J. Sampson",1194,18,7.03281707144065,1.71099792855935,0.0225118795138728,3
18.526755,9.463365,25.962445,"J. Sampson",1194,19,6.48536005907992,2.97800494092008,0.0417878093946817,3
17.924245,9.95857,25.88826,"J. Sampson",1194,20,7.75877080558717,2.19979919441283,0.0389588112997169,3
17.27634,10.63121,25.93956,"J. Sampson",1194,21,10.8851783028738,-0.253968302873758,0.0322490943223123,3
"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
18.08221,5.399845,24.25376,"J. Sampson",2238,1,7.50469766753091,-2.10485266753091,NA,4
18.35064,5.715315,24.21986,"J. Sampson",2238,2,6.95316607699342,-1.23785107699342,NA,4
18.53135,5.960685,24.169345,"J. Sampson",2238,3,6.81101135054188,-0.850326350541879,NA,4
18.788445,6.24708,24.122605,"J. Sampson",2238,4,7.450922036952,-1.203842036952,NA,4
19.19387,6.39276,24.151335,"J. Sampson",2238,5,7.19552790235397,-0.802767902353973,0.0274180651649349,4
19.347675,6.56481,24.141345,"J. Sampson",2238,6,6.62810908615184,-0.0632990861518365,0.0357634288839725,4
19.481205,6.639385,24.067,"J. Sampson",2238,7,7.13289231618631,-0.49350731618631,0.0371554370973282,4
19.683975,6.82086,24.015795,"J. Sampson",2238,8,7.3786029727738,-0.5577429727738,0.0161884175750934,4
19.803445,6.891475,23.94281,"J. Sampson",2238,9,7.19099709618281,-0.299522096182815,0.0110469051283662,4
19.817985,6.977665,24.00727,"J. Sampson",2238,10,7.1420843221448,-0.164419322144797,0.0176922911109182,4
19.81565,7.09801,23.97297,"J. Sampson",2238,11,7.15067807472604,-0.0526680747260393,0.0448474513651478,4
19.74696,7.238,23.97618,"J. Sampson",2238,12,7.31415656447646,-0.0761565644764577,0.0738662460794913,4
19.78289,7.492635,24.011605,"J. Sampson",2238,13,7.24377153156704,0.248863468432962,0.119191251734279,4
19.735295,7.64047,23.98497,"J. Sampson",2238,14,7.33185542022039,0.308614579779607,0.125123664339688,4
19.76845,7.84797,23.9751,"J. Sampson",2238,15,7.27390506881537,0.574064931184627,0.160797953879313,4
19.55846,8.20693,24.03083,"J. Sampson",2238,16,7.5198825343525,0.687047465647495,0.16343685869842,4
19.13414,8.73588,24.094955,"J. Sampson",2238,17,7.2892957670471,1.4465842329529,0.0856218374800346,4
18.543175,9.419335,24.05178,"J. Sampson",2238,18,6.81142845894662,2.60790654105338,0.0787421133614789,4
18.00359,10.09879,24.014695,"J. Sampson",2238,19,7.73627996198621,2.36251003801379,0.0279992899312976,4
17.39849,10.595255,24.08748,"J. Sampson",2238,20,10.74020045265,-0.144945452649996,0.0293976859373018,4
"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
17.994965,5.380315,24.01924,"J. Sampson",1825,1,7.4205696834395,-2.0402546834395,NA,5
18.22969,5.758875,24.002655,"J. Sampson",1825,2,6.67802075724659,-0.919145757246593,NA,5
18.300675,5.948,24.094655,"J. Sampson",1825,3,6.55184504835535,-0.603845048355353,NA,5
18.6989,6.26584,24.009505,"J. Sampson",1825,4,7.16039254263713,-0.894552542637132,NA,5
18.805125,6.454845,23.949805,"J. Sampson",1825,5,7.28005424354965,-0.825209243549646,0.0407644952305983,5
19.28825,6.562625,23.90078,"J. Sampson",1825,6,7.2270429217416,-0.664417921741602,0.0404225251308727,5
19.61135,6.72027,23.83693,"J. Sampson",1825,7,7.3672443232143,-0.6469743232143,0.0409796273190342,5
19.26767,6.777325,23.88894,"J. Sampson",1825,8,7.26528027337148,-0.487955273371478,0.0641451070754892,5
19.76734,6.931735,23.79334,"J. Sampson",1825,9,7.47875847132456,-0.54702347132456,0.0733405175139469,5
19.750255,7.042545,23.834925,"J. Sampson",1825,10,7.48373208143677,-0.441187081436773,0.0701200533653873,5
19.897765,7.30646,23.793455,"J. Sampson",1825,11,7.34933696669141,-0.0428769666914093,0.0363919185273767,5
19.89208,7.424605,23.623195,"J. Sampson",1825,12,7.35990659253293,0.0646984074670671,0.0570595066472789,5
19.81566,7.525025,23.756925,"J. Sampson",1825,13,7.45795919776693,0.067065802233075,0.09119636894221,5
19.78982,7.608985,23.770065,"J. Sampson",1825,14,7.47402077815294,0.134964221847064,0.0626060036498416,5
19.765005,7.856235,23.702915,"J. Sampson",1825,15,7.47837897678147,0.377856023218534,0.0410349143138422,5
19.66119,8.12879,23.66056,"J. Sampson",1825,16,7.4455919193177,0.683198080682296,0.0539487129738205,5
19.409805,8.56156,23.762675,"J. Sampson",1825,17,7.25049983122079,1.31106016877921,0.0354044607533325,5
18.983225,9.13073,23.767955,"J. Sampson",1825,18,7.71033178022729,1.42039821977271,0.0594900952753898,5
18.35557,9.8224,23.79856,"J. Sampson",1825,19,6.57132312973224,3.25107687026776,0.0284856891480988,5
17.736145,10.38291,23.870365,"J. Sampson",1825,20,8.34706131802025,2.03584868197975,0.0160630025719243,5
17.222915,10.917985,23.907535,"J. Sampson",1825,21,11.2979081995827,-0.379923199582745,0.0272725504130104,5
"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
18.00518,5.12891,24.24045,"J. Sampson",829,1,7.14066805941292,-2.01175805941292,NA,6
18.26921,5.22863,24.17284,"J. Sampson",829,2,6.48620075765098,-1.25757075765098,NA,6
18.44007,5.69107,24.31168,"J. Sampson",829,3,6.38858224458697,-0.697512244586973,NA,6
18.70809,5.9885,24.22568,"J. Sampson",829,4,6.99140826189126,-1.00290826189126,NA,6
18.94879,6.11151,24.15252,"J. Sampson",829,5,6.99201284368727,-0.880502843687274,0.0890389624491268,6
19.24047,6.32291,24.09166,"J. Sampson",829,6,6.95299029184051,-0.630080291840512,0.0541077014010114,6
19.47847,6.39979,24.08204,"J. Sampson",829,7,7.25329063556663,-0.853500635566632,0.0170495008762899,6
19.643,6.52539,24.00993,"J. Sampson",829,8,7.21791145868408,-0.692521458684082,0.017036222912191,6
19.78182,6.69679,24.01468,"J. Sampson",829,9,7.20689485681411,-0.510104856814113,0.0296293183694743,6
19.8328,6.78496,24.02688,"J. Sampson",829,10,7.04127655599708,-0.256316555997081,0.00497075375935925,6
19.84634,7.12766,23.98255,"J. Sampson",829,11,6.98243049070186,0.14522950929814,0.0855823513359539,6
19.83386,7.25946,24.0532,"J. Sampson",829,12,7.03688094667593,0.222579053324072,0.094976945395435,6
19.77372,7.39399,23.98392,"J. Sampson",829,13,7.22462566315044,0.169364336849555,0.214949232821392,6
19.72492,7.56894,23.97195,"J. Sampson",829,14,7.28167868353061,0.287261316469392,0.128578512409546,6
19.65093,7.78933,24.03729,"J. Sampson",829,15,7.23666947049058,0.552660529509418,0.0217829743059097,6
19.41769,8.23033,24.00863,"J. Sampson",829,16,7.17954321267044,1.05078678732956,0.0164921483463925,6
18.95157,8.85596,23.99004,"J. Sampson",829,17,6.99387192225395,1.86208807774605,0.02225517193986,6
18.38451,9.47659,24.07368,"J. Sampson",829,18,6.35776112078934,3.11882887921066,0.0319788741074955,6
17.73318,10.05926,24.10068,"J. Sampson",829,19,7.99704244780668,2.06221755219332,0.0222662877876349,6
17.14201,10.50831,24.19691,"J. Sampson",829,20,10.8575843090038,-0.349274309003849,0.0101702133702005,6
"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
18.201155,5.387535,25.938145,"J. Sampson",2668,1,6.81258059078982,-1.42504559078982,NA,8
18.35005,5.65789,25.948915,"J. Sampson",2668,2,6.62145385566078,-0.963563855660782,NA,8
18.65883,5.95971,25.949785,"J. Sampson",2668,3,7.16691617089956,-1.20720617089956,NA,8
18.96808,6.174155,25.93524,"J. Sampson",2668,4,7.41988219748313,-1.24572719748313,NA,8
19.319535,6.265,26.10066,"J. Sampson",2668,5,7.07665496820985,-0.811654968209854,0.0155322278444327,8
19.49392,6.432795,26.12342,"J. Sampson",2668,6,6.88793723269587,-0.455142232695867,0.0316480665448232,8
19.559305,6.5323,26.164735,"J. Sampson",2668,7,6.90259305933698,-0.370293059336983,0.0371843383287674,8
19.764125,6.674865,26.06445,"J. Sampson",2668,8,7.08846849423984,-0.413603494239839,0.0237716803680529,8
