"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
18.26514,4.76758,24.81316,"J. Grant",1334,1,5.96703063688125,-1.19945063688125,NA,1
18.39775,4.9917,24.84713,"J. Grant",1334,2,6.62681467637403,-1.63511467637403,NA,1
18.63239,5.44069,24.79514,"J. Grant",1334,3,7.05803129329523,-1.61734129329523,NA,1
18.63239,5.44069,24.79514,"J. Grant",1334,4,7.05803129329523,-1.61734129329523,NA,1
18.9396,5.87159,24.9667,"J. Grant",1334,5,6.76642220450226,-0.894832204502255,0.0119836653921801,1
18.9396,5.87159,24.9667,"J. Grant",1334,6,6.76642220450226,-0.894832204502255,1.49924517245381e-13,1
19.01423,5.99598,25.0039,"J. Grant",1334,7,7.05081110525757,-1.05483110525757,1.75326420048805e-13,1
19.01423,5.99598,25.0039,"J. Grant",1334,8,7.05081110525757,-1.05483110525757,3.05533376376843e-14,1
19.45233,6.23496,24.88415,"J. Grant",1334,9,7.31923694871563,-1.08427694871563,1.61470836701483e-13,1
19.45233,6.23496,24.88415,"J. Grant",1334,10,7.31923694871563,-1.08427694871563,5.61861668302299e-13,1
19.63165,6.51333,24.83062,"J. Grant",1334,11,7.312050521562,-0.798720521561998,1.47082346302341e-13,1
19.63165,6.51333,24.83062,"J. Grant",1334,12,7.312050521562,-0.798720521561998,3.00737212910462e-13,1
19.80703,6.54998,24.82127,"J. Grant",1334,13,6.92380339399556,-0.373823393995556,5.45696821063757e-13,1
19.80703,6.54998,24.82127,"J. Grant",1334,14,6.92380339399556,-0.373823393995556,8.19433410015336e-13,1
19.86239,6.6839,24.84769,"J. Grant",1334,15,6.92407228320698,-0.240172283206976,4.54800641591646e-12,1
19.86239,6.6839,24.84769,"J. Grant",1334,16,6.92407228320698,-0.240172283206976,2.13837836327002e-12,1
19.97026,6.87627,24.81387,"J. Grant",1334,17,7.09373210798449,-0.217462107984488,1.4139800441626e-13,1
19.97026,6.87627,24.81387,"J. Grant",1334,18,7.09373210798449,-0.217462107984488,2.38031816479634e-13,1
19.93093,7.33784,24.87019,"J. Grant",1334,19,6.99958783534901,0.338252164650988,6.43179731696364e-11,1
19.93093,7.33784,24.87019,"J. Grant",1334,20,6.99958783534901,0.338252164650988,3.01506375421923e-11,1
19.85826,7.38024,24.70236,"J. Grant",1334,21,6.92444121122606,0.455798788773943,2.91430879428844e-11,1
19.85826,7.38024,24.70236,"J. Grant",1334,22,6.92444121122606,0.455798788773943,3.89164256375807e-11,1
19.74041,7.71666,24.81966,"J. Grant",1334,23,7.36698475838788,0.349675241612116,3.04272163020869e-12,1
19.74041,7.71666,24.81966,"J. Grant",1334,24,7.36698475838788,0.349675241612116,1.97033500626276e-12,1
19.65078,8.04518,24.75225,"J. Grant",1334,25,7.42283770947565,0.62234229052435,1.02922115274851e-12,1
19.65078,8.04518,24.75225,"J. Grant",1334,26,7.42283770947565,0.62234229052435,1.76036962784565e-13,1
19.43909,8.3955,24.63454,"J. Grant",1334,27,7.39843701036358,0.997062989636419,7.01305680195219e-13,1
19.43909,8.3955,24.63454,"J. Grant",1334,28,7.39843701036358,0.997062989636419,8.90487683591346e-13,1
18.98044,9.0638,24.62458,"J. Grant",1334,29,6.86813224546517,2.19566775453483,2.1316282072803e-14,1
18.98044,9.0638,24.62458,"J. Grant",1334,30,6.86813224546517,2.19566775453483,6.78568312650896e-14,1
18.45416,9.72243,24.72275,"J. Grant",1334,31,6.81068808468287,2.91174191531713,8.5265128291212e-15,1
18.45416,9.72243,24.72275,"J. Grant",1334,32,6.81068808468287,2.91174191531713,8.17124146124115e-15,1
"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
18.360385,4.972775,25.15224,"J. Grant",2288,1,7.03231115133279,-2.05953615133279,NA,10
18.441125,5.151565,25.18563,"J. Grant",2288,2,6.66456181943731,-1.51299681943731,NA,10
