x_loc,radius,y_loc,abbrName,rounded_gameClock,frame_id,loess_coords,loess_residuals,quad_residuals,id
18.18607,5.11594,24.44968,J. Johnson,2617,1,4.748573248,0.367366752,NA,1
18.33883,5.243595,24.38659,J. Johnson,2617,2,5.671911076,-0.428316076,NA,1
18.385735,5.3932,24.41709,J. Johnson,2617,3,5.901019229,-0.507819229,NA,1
18.3707,5.496045,24.539055,J. Johnson,2617,4,5.830142762,-0.334097762,NA,1
18.45235,5.627495,24.619615,J. Johnson,2617,5,6.183582335,-0.556087335,0.045074622,1
18.654825,5.779345,24.69032,J. Johnson,2617,6,6.827229102,-1.047884102,0.039494031,1
18.766235,5.90563,24.67497,J. Johnson,2617,7,6.816810979,-0.911180979,0.044166641,1
18.9311,5.93699,24.66176,J. Johnson,2617,8,6.67645316,-0.73946316,0.016977135,1
19.09821,5.98648,24.67922,J. Johnson,2617,9,6.600955293,-0.614475293,0.014502224,1
19.21277,6.04254,24.69417,J. Johnson,2617,10,6.671454038,-0.628914038,0.020307269,1
19.30721,6.12458,24.72827,J. Johnson,2617,11,6.887671543,-0.763091543,0.005775286,1
19.38312,6.224175,24.736195,J. Johnson,2617,12,6.546790805,-0.322615805,0.006062036,1
19.440635,6.254795,24.76277,J. Johnson,2617,13,6.413541551,-0.158746551,0.010111979,1
19.421,6.300235,24.741745,J. Johnson,2617,14,6.437859557,-0.137624557,0.017734188,1
19.53964,6.397345,24.70388,J. Johnson,2617,15,6.633048997,-0.235703997,0.015091368,1
19.55733,6.520455,24.724815,J. Johnson,2617,16,6.685210177,-0.164755177,0.031372434,1
19.509045,6.604875,24.74428,J. Johnson,2617,17,6.550038143,0.054836857,0.076543924,1
19.56589,6.68811,24.72786,J. Johnson,2617,18,6.711888116,-0.023778116,0.08477359,1
19.59489,6.766805,24.75561,J. Johnson,2617,19,6.801334707,-0.034529707,0.059060101,1
19.545135,6.854155,24.820895,J. Johnson,2617,20,6.648896936,0.205258064,0.08289325,1
19.54163,6.976805,24.827305,J. Johnson,2617,21,6.638621504,0.338183496,0.079867565,1
19.39389,7.116025,24.78933,J. Johnson,2617,22,6.500609843,0.615415157,0.057829216,1
19.31599,7.343875,24.72613,J. Johnson,2617,23,6.907116899,0.436758101,0.043676395,1
19.28522,7.56563,24.698945,J. Johnson,2617,24,6.815853811,0.749776189,0.04235527,1
19.03913,7.884575,24.736485,J. Johnson,2617,25,6.574395157,1.310179843,0.06563845,1
18.76737,8.233565,24.858205,J. Johnson,2617,26,6.817142181,1.416422819,0.05208101,1
18.50595,8.58205,24.835025,J. Johnson,2617,27,6.376919925,2.205130075,0.04255169,1
"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
18.08272,5.08561,24.34264,"J. Johnson",958,1,6.83320757620299,-1.74759757620299,NA,2
18.25498,5.33664,24.56432,"J. Johnson",958,2,6.30699916599578,-0.970359165995778,NA,2
18.11915,5.36462,24.44303,"J. Johnson",958,3,6.70283399751181,-1.33821399751181,NA,2
18.40423,5.60764,24.53862,"J. Johnson",958,4,6.33768395967456,-0.730043959674555,NA,2
18.47634,5.66778,24.5922,"J. Johnson",958,5,6.27694551405526,-0.609165514055259,0.064598561109503,2
18.69206,5.89289,24.70435,"J. Johnson",958,6,6.21033787300673,-0.31744787300673,0.0425608285967678,2
18.65578,5.95252,24.45251,"J. Johnson",958,7,6.13422398906228,-0.181703989062278,0.0246148292036473,2
18.91708,6.0177,24.68309,"J. Johnson",958,8,6.71122229474495,-0.693522294744946,0.0274472474856928,2
18.91934,6.13119,24.59294,"J. Johnson",958,9,6.71402647512819,-0.58283647512819,0.0426043574684989,2
19.04144,6.24087,24.68749,"J. Johnson",958,10,6.90392575971653,-0.663055759716528,0.0353832093965231,2
19.17348,6.24889,24.68587,"J. Johnson",958,11,7.0645285444912,-0.815638544491198,0.0408864781215946,2
19.3638,6.26368,24.76882,"J. Johnson",958,12,6.77093886271159,-0.507258862711586,0.0358342476060917,2
19.23715,6.35178,24.69564,"J. Johnson",958,13,6.85112926698014,-0.499349266980143,0.0226973219021575,2
19.51388,6.3932,24.86127,"J. Johnson",958,14,6.6215217758235,-0.228321775823503,0.0336778995538593,2
19.40453,6.44273,24.70545,"J. Johnson",958,15,6.73665724417004,-0.293927244170035,0.0481060966056051,2
19.41357,6.50336,24.75254,"J. Johnson",958,16,6.72739326615241,-0.224033266152407,0.0619893312553154,2
19.49372,6.50776,24.86094,"J. Johnson",958,17,6.64160207043485,-0.133842070434851,0.0323445072156334,2
19.40145,6.63774,24.7605,"J. Johnson",958,18,6.73954558387946,-0.101805583879459,0.0589649257034196,2
19.51099,6.88117,24.86258,"J. Johnson",958,19,6.6243119636512,0.256858036348797,0.0570555846602948,2
19.40173,6.93046,24.70711,"J. Johnson",958,20,6.73930035712416,0.191159642875841,0.0656707561235503,2
19.31225,7.09846,24.67956,"J. Johnson",958,21,6.77850243504493,0.319957564955071,0.131318432007284,2
19.44858,7.2307,24.9761,"J. Johnson",958,22,6.69168114876348,0.539018851236524,0.150529040041867,2
19.08929,7.61287,24.88525,"J. Johnson",958,23,7.00433095682964,0.608539043170356,0.095491511345579,2
19.25574,7.70217,24.89533,"J. Johnson",958,24,6.80390721828139,0.898262781718608,0.189829051051204,2
18.74453,7.85957,24.81947,"J. Johnson",958,25,6.35668973033864,1.50288026966136,0.122301049638739,2
19.05818,8.07813,24.88946,"J. Johnson",958,26,6.94079476674891,1.13733523325109,0.101969473872886,2
18.15336,8.60152,24.99236,"J. Johnson",958,27,6.58952577217897,2.01199422782103,0.121360811909612,2
18.26098,8.68231,24.91861,"J. Johnson",958,28,6.29553806550978,2.38677193449022,0.145297427154802,2
17.60586,9.16694,24.87077,"J. Johnson",958,29,8.67998555006008,0.486954449939915,0.123702211662608,2
17.76405,9.35362,25.01119,"J. Johnson",958,30,8.1585052370853,1.1951147629147,0.109850786679745,2
17.16589,9.87768,24.95723,"J. Johnson",958,31,9.96477268933835,-0.0870926893383466,0.115563317756105,2
17.07815,9.98301,24.75628,"J. Johnson",958,32,10.1381349323455,-0.155124932345521,0.081008307634167,2
"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
18.22197,5.203985,24.470475,"J. Johnson",1348,1,6.71235667826907,-1.50837167826907,NA,3
