"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
17.52505,5.19614,25.10422,"K. Leonard",1009,1,6.38816152615042,-1.19202152615042,NA,1
17.61307,5.53742,25.20712,"K. Leonard",1009,2,6.01354866849477,-0.476128668494774,NA,1
17.76767,5.77848,25.19649,"K. Leonard",1009,3,6.62658670759054,-0.848106707590541,NA,1
18.03847,6.1691,25.15201,"K. Leonard",1009,4,7.44818610133573,-1.27908610133573,NA,1
18.27191,6.47185,25.17516,"K. Leonard",1009,5,7.26977675056238,-0.797926750562381,0.0392778156206896,1
18.64374,6.83888,24.90164,"K. Leonard",1009,6,7.37700246970459,-0.538122469704586,0.00427496352918784,1
18.82552,7.01411,24.87229,"K. Leonard",1009,7,7.38675030764559,-0.37264030764559,0.00622081955639242,1
18.94063,7.14779,24.6847,"K. Leonard",1009,8,7.37816928456658,-0.230379284566584,0.0134209705675264,1
19.08238,7.30427,24.74951,"K. Leonard",1009,9,7.47101817108696,-0.166748171086956,0.00353122257994141,1
19.06045,7.39016,24.78666,"K. Leonard",1009,10,7.46585031539257,-0.0756903153925679,0.0269375169265588,1
19.10366,7.61375,24.64491,"K. Leonard",1009,11,7.47045215251591,0.143297847484087,0.0594445127425017,1
18.94928,7.91524,24.63454,"K. Leonard",1009,12,7.38454286564686,0.530697134353137,0.215771646706112,1
18.71291,8.03661,24.9563,"K. Leonard",1009,13,7.37345010394691,0.663159896053091,0.12642195356236,1
18.33426,8.72371,24.80788,"K. Leonard",1009,14,7.41298189289224,1.31072810710776,0.105520959297681,1
17.88045,9.38147,24.85226,"K. Leonard",1009,15,7.25319773600243,2.12827226399757,0.0549412435735446,1
17.29324,9.91637,24.828,"K. Leonard",1009,16,9.44396438892126,0.472405611078745,0.0699418436627679,1
"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
17.5753433333333,6.00249333333333,24.4412133333333,"K. Leonard",1401,1,6.00249333333333,0,NA,11
18.55836,7.17068333333333,24.7814966666667,"K. Leonard",1401,2,7.17068333333333,0,NA,11
18.9711266666667,7.57145666666667,24.9992566666667,"K. Leonard",1401,3,7.57145666666667,0,NA,11
18.8779,8.05171,24.87323,"K. Leonard",1401,4,8.05171,0,NA,11
17.74246,9.33984333333333,24.79965,"K. Leonard",1401,5,9.33984333333333,0,0.882247418654938,11
"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
17.51551,5.23398,24.6925,"K. Leonard",362,1,7.36640445796441,-2.13242445796441,NA,12
17.69392,5.74629,24.69818,"K. Leonard",362,2,6.6805108540785,-0.9342208540785,NA,12
17.85673,6.00413,24.78416,"K. Leonard",362,3,7.32589867003474,-1.32176867003474,NA,12
18.15934,6.54767,24.89673,"K. Leonard",362,4,6.42703490650984,0.120635093490163,NA,12
18.39264,6.65908,24.81198,"K. Leonard",362,5,7.47705448048569,-0.817974480485694,0.0300250359427984,12
18.5982,6.8843,24.94142,"K. Leonard",362,6,6.98847355241342,-0.104173552413423,0.0391103926264401,12
18.67907,7.05586,24.93256,"K. Leonard",362,7,7.49041505577552,-0.434555055775519,0.0583271451542224,12
18.80742,7.25222,25.02579,"K. Leonard",362,8,7.66500487640195,-0.412784876401951,0.0132043891014066,12
18.86702,7.39042,24.99634,"K. Leonard",362,9,7.44735913393539,-0.0569391339353871,0.0126517835792242,12
18.84516,7.85652,24.97577,"K. Leonard",362,10,7.54797205399059,0.308547946009415,0.138016318377707,12
18.70077,8.14527,25.14477,"K. Leonard",362,11,7.57734066004298,0.567929339957018,0.353253542588242,12
18.39581,8.52303,24.9647,"K. Leonard",362,12,7.48049314656849,1.04253685343151,0.18753632352856,12
17.77528,9.30652,24.99828,"K. Leonard",362,13,6.71965911958603,2.58686088041397,0.127024700469918,12
17.34187,9.93399,24.95867,"K. Leonard",362,14,8.93395891116123,1.00003108883877,0.0315917590251157,12
"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
17.61468,5.302935,25.269565,"K. Leonard",1684,1,7.46261720048851,-2.15968220048851,NA,13
