"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
18.11432,5.20011,24.507145,"K. Anderson",2232,1,6.17510401508032,-0.97499401508032,NA,1
18.056255,5.2948,24.33501,"K. Anderson",2232,2,6.47674244756651,-1.18194244756651,NA,1
18.11091,5.38757,24.265965,"K. Anderson",2232,3,6.19664684663578,-0.809076846635783,NA,1
18.3288,5.76644,24.4336,"K. Anderson",2232,4,6.46295615824269,-0.696516158242694,NA,1
18.728405,6.04494,24.628545,"K. Anderson",2232,5,7.02744594580219,-0.982505945802188,0.0617241973468957,1
18.78154,6.15792,24.49778,"K. Anderson",2232,6,6.91154957255213,-0.753629572552132,0.0252136154691225,1
18.929535,6.413355,24.600775,"K. Anderson",2232,7,6.87681921912953,-0.463464219129531,0.0602589915052029,1
19.15217,6.54819,24.612755,"K. Anderson",2232,8,7.29201393397644,-0.74382393397644,0.0415155245757843,1
19.261525,6.716005,24.5991,"K. Anderson",2232,9,7.15531534306384,-0.43931034306384,0.0311367696368208,1
19.386605,6.827905,24.609065,"K. Anderson",2232,10,7.09288599083627,-0.264980990836269,0.0298086426577873,1
19.415865,6.967275,24.53375,"K. Anderson",2232,11,7.07203093985062,-0.10475593985062,0.0256659100856893,1
19.4305,7.10701,24.628925,"K. Anderson",2232,12,7.0601315344545,0.0468784655454959,0.0501405008871405,1
19.39184,7.289805,24.599935,"K. Anderson",2232,13,7.08970107046712,0.200103929532883,0.116432578660491,1
19.31063,7.522635,24.56477,"K. Anderson",2232,14,7.12374380073677,0.398891199263227,0.113750636438585,1
19.2282,7.728555,24.56471,"K. Anderson",2232,15,7.19992219942675,0.528632800573248,0.0581536956857303,1
19.093485,7.93185,24.531135,"K. Anderson",2232,16,7.20098210215954,0.730867897840464,0.00971818694830766,1
18.85119,8.342875,24.585705,"K. Anderson",2232,17,6.78249005169523,1.56038494830477,0.0209686379733734,1
18.515995,8.91176,24.532565,"K. Anderson",2232,18,7.39995075388723,1.51180924611277,0.0147533330396955,1
17.97462,9.561905,24.546425,"K. Anderson",2232,19,6.5751832702641,2.9867217297359,0.0207862702511962,1
17.31763,10.101545,24.548535,"K. Anderson",2232,20,10.2522537321507,-0.150708732150738,0.0111087835189105,1
"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
18.2017,5.323895,25.217945,"K. Anderson",903,1,6.45972450417206,-1.13582950417206,NA,2
18.249315,5.49388,25.08657,"K. Anderson",903,2,6.29185639571577,-0.797976395715772,NA,2
18.35985,5.658815,25.282375,"K. Anderson",903,3,6.14909553778534,-0.490280537785338,NA,2
18.54819,5.853205,25.009605,"K. Anderson",903,4,6.84031155107033,-0.987106551070331,NA,2
18.69001,5.992165,25.081615,"K. Anderson",903,5,6.73478106499926,-0.742616064999259,0.0253570287193957,2
18.966095,6.238395,24.923275,"K. Anderson",903,6,7.35789077128148,-1.11949577128148,0.00783474130666786,2
19.135005,6.37444,25.043245,"K. Anderson",903,7,7.20329637377651,-0.828856373776515,0.000291119366945303,2
19.350155,6.53246,24.974755,"K. Anderson",903,8,7.01264213035332,-0.480182130353322,0.000237494482932554,2
19.34276,6.68231,24.98379,"K. Anderson",903,9,7.03753208415832,-0.355222084158316,0.0364891590339644,2
19.33929,6.80618,24.994125,"K. Anderson",903,10,7.04982107280357,-0.243641072803567,0.0655318998226955,2
19.44272,6.969595,25.02301,"K. Anderson",903,11,7.00851474554167,-0.0389197455416745,0.0645400015787279,2
19.44772,7.18269,25.063325,"K. Anderson",903,12,7.0292727487205,0.1534172512795,0.0162045578536251,2
19.337035,7.37154,25.0505,"K. Anderson",903,13,7.05768430022801,0.313855699771991,0.121703347321212,2
19.303235,7.5027,25.02336,"K. Anderson",903,14,7.39328376390467,0.109416236095335,0.145972787335153,2
19.26787,7.730135,25.08432,"K. Anderson",903,15,7.77532973207074,-0.0451947320707413,0.0501751902315037,2
19.099785,7.96749,25.0894,"K. Anderson",903,16,7.18255691056015,0.784933089439852,0.0529951827265878,2
