"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
17.503645,5.44489,26.58166,"L. James",2275,1,7.74149763103585,-2.29660763103585,NA,1
17.772865,5.747855,26.44122,"L. James",2275,2,7.00574724242579,-1.25789224242579,NA,1
17.93912,6.1044,26.46858,"L. James",2275,3,7.02517461261281,-0.920774612612808,NA,1
18.21098,6.420125,26.330665,"L. James",2275,4,7.63667226603606,-1.21654726603606,NA,1
18.514245,6.76592,26.26074,"L. James",2275,5,7.89372884959883,-1.12780884959883,0.032984152742196,1
18.78509,7.01032,26.18071,"L. James",2275,6,7.54490806771151,-0.534588067711512,0.0245617714036406,1
19.015945,7.07618,26.13063,"L. James",2275,7,7.46236444464988,-0.386184444649881,0.0202293314157762,1
19.56278,7.118845,26.083375,"L. James",2275,8,7.51784295256419,-0.398997952564191,0.0116543275134235,1
19.265605,7.145715,26.0588,"L. James",2275,9,7.80104334743231,-0.655328347432307,0.0119151312219937,1
19.61547,7.203585,25.95897,"L. James",2275,10,7.47567548764416,-0.272090487644165,0.019977692742798,1
19.546575,7.245115,25.926065,"L. James",2275,11,7.52734168006021,-0.282226680060206,0.0283112490817715,1
19.69031,7.32587,25.9944,"L. James",2275,12,7.40658682701868,-0.0807168270186835,0.0355625767770986,1
19.689335,7.42923,26.05242,"L. James",2275,13,7.40751007309353,0.0217199269064743,0.0430647774083054,1
19.690465,7.55852,26.06211,"L. James",2275,14,7.406443263234,0.152076736766003,0.0475812974619213,1
19.608915,7.890965,26.034985,"L. James",2275,15,7.48113417695722,0.409830823042775,0.0510848745447078,1
19.475715,8.04852,26.024905,"L. James",2275,16,7.55510247995619,0.493417520043806,0.0496825196632098,1
19.14038,8.55143,26.054145,"L. James",2275,17,7.65800139911852,0.893428600881479,0.063523958423194,1
18.52407,9.12712,26.150665,"L. James",2275,18,7.86209993808386,1.26502006191614,0.0390565224490349,1
18.196325,10.03719,25.97063,"L. James",2275,19,7.61689858709539,2.42029141290461,0.0977852070096027,1
17.568275,10.54548,25.99293,"L. James",2275,20,7.44899483899624,3.09648516100377,0.114314836845618,1
17.08816,11.075415,25.804895,"L. James",2275,21,10.9992589271939,0.0761560728061337,0.113896144531889,1
"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
17.79274,5.73211,26.58756,"L. James",2708,1,5.73211,0,NA,10
18.18517,6.46662,26.42181,"L. James",2708,2,6.46662000000001,-1.50990331349021e-14,NA,10
18.788295,6.993565,26.274005,"L. James",2708,3,6.99356500000001,-6.21724893790088e-15,NA,10
19.35026,7.11494,26.15693,"L. James",2708,4,7.11494000000001,-8.88178419700125e-15,NA,10
