x_loc,radius,y_loc,abbrName,rounded_gameClock,frame_id,loess_coords,loess_residuals,quad_residuals,id
,,,,,,,,,
18.47699,5.00499,25.8381,M. Belinelli,469,2,6.033385058,-1.028395058,NA,1
18.5181,5.12759,25.46009,M. Belinelli,469,3,5.942024909,-0.814434909,NA,1
18.74777,5.42155,25.31529,M. Belinelli,469,4,6.035639625,-0.614089625,NA,1
18.50955,5.53965,25.84297,M. Belinelli,469,5,5.957787792,-0.418137792,0.125590099,1
19.00636,5.69784,25.22998,M. Belinelli,469,6,6.825116996,-1.127276996,0.131365712,1
18.76744,5.92594,25.78102,M. Belinelli,469,7,6.085816141,-0.159876141,0.186214385,1
19.2276,5.93039,25.23762,M. Belinelli,469,8,6.706718279,-0.776328279,0.120046584,1
19.42597,5.98799,25.0573,M. Belinelli,469,9,6.69200367,-0.70401367,0.085571943,1
19.55894,6.18674,25.0106,M. Belinelli,469,10,6.602819716,-0.416079716,0.047797119,1
19.64296,6.34568,25.01492,M. Belinelli,469,11,6.795960023,-0.450280023,0.026906829,1
19.08547,6.42394,25.78222,M. Belinelli,469,12,6.862646098,-0.438706098,0.054531054,1
19.30684,6.56237,25.71621,M. Belinelli,469,13,6.701675173,-0.139305173,0.144531826,1
19.42022,6.65098,25.58745,M. Belinelli,469,14,6.697435996,-0.046455996,0.08803709,1
19.69628,6.69339,25.70543,M. Belinelli,469,15,6.891252959,-0.197862959,0.090057571,1
19.55873,6.69845,25.0316,M. Belinelli,469,16,6.602691875,0.095758125,0.011785757,1
19.47353,6.74754,25.02961,M. Belinelli,469,17,6.678254642,0.069285358,0.019576596,1
19.86986,6.80843,25.67368,M. Belinelli,469,18,6.982299611,-0.173869611,0.028634008,1
19.96017,6.88369,25.57052,M. Belinelli,469,19,6.950657139,-0.066967139,0.007071905,1
19.47102,6.95687,25.04603,M. Belinelli,469,20,6.677530359,0.279339641,0.060250553,1
19.83439,7.07283,25.735,M. Belinelli,469,21,6.979659914,0.093170086,0.096480109,1
19.21816,7.23085,24.98526,M. Belinelli,469,22,6.711015994,0.519834006,0.075275404,1
19.72647,7.2337,25.70921,M. Belinelli,469,23,6.918868231,0.314831769,0.107904767,1
19.73933,7.27596,25.5712,M. Belinelli,469,24,6.927483768,0.348476232,0.105888682,1
19.68878,7.46153,25.5634,M. Belinelli,469,25,6.884823114,0.576706886,0.03910968,1
18.84624,7.73008,25.04971,M. Belinelli,469,26,6.461031892,1.269048108,0.072174548,1
19.40538,7.7993,25.61066,M. Belinelli,469,27,6.723507315,1.075792685,0.032926298,1
