"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
18.539175,5.0735,24.498185,"M. Chalmers",977,1,6.46723264806272,-1.39373264806272,NA,1
18.79155,5.357605,24.603095,"M. Chalmers",977,2,6.29383375031991,-0.93622875031991,NA,1
18.98264,5.598695,24.757935,"M. Chalmers",977,3,5.62300192512274,-0.0243069251227386,NA,1
19.149565,5.753065,24.679745,"M. Chalmers",977,4,6.46966523616971,-0.716600236169707,NA,1
19.353255,5.87183,25.019125,"M. Chalmers",977,5,6.10567104658913,-0.233841046589128,0.01493607353855,1
19.46321,5.934555,24.968885,"M. Chalmers",977,6,6.2354869318712,-0.300931931871204,0.00563628967617387,1
19.5306,5.990435,25.074275,"M. Chalmers",977,7,6.18353982219842,-0.193104822198418,0.00948826381071815,1
19.53733,6.14052,24.931265,"M. Chalmers",977,8,6.19928385674731,-0.0587638567473068,0.0389998588218768,1
19.63757,6.2909,25.07627,"M. Chalmers",977,9,6.40607984068486,-0.115179840684863,0.0324424657163442,1
19.584705,6.450425,25.077615,"M. Chalmers",977,10,6.29746248882483,0.152962511175168,0.0887296312493634,1
19.560225,6.59941,24.96854,"M. Chalmers",977,11,6.24482095473974,0.354589045260263,0.0722228710599374,1
19.41594,6.84086,24.98793,"M. Chalmers",977,12,6.2545271459935,0.586332854006494,0.135807072933098,1
19.158175,7.383765,24.98375,"M. Chalmers",977,13,6.49684931012184,0.886915689878158,0.0310862763835232,1
18.70223,8.10981,25.04353,"M. Chalmers",977,14,6.11083541755758,1.99897458244242,0.0248052295117724,1
18.165205,8.80539,25.03617,"M. Chalmers",977,15,8.09407305413778,0.711316945862219,0.0151525240069981,1
17.574995,9.50038,25.077395,"M. Chalmers",977,16,9.62913674883817,-0.128756748838171,0.0266923907410209,1
17.02658,10.027055,25.06237,"M. Chalmers",977,17,9.99598544220972,0.0310695577902855,0.00870065253708248,1
"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
18.457005,4.945935,24.385545,"M. Chalmers",2013,1,6.31691655303261,-1.37098155303261,NA,10
18.57412,5.23897,24.482805,"M. Chalmers",2013,2,5.88122796679326,-0.642257966793265,NA,10
18.79404,5.517225,24.64027,"M. Chalmers",2013,3,6.01833771853933,-0.501112718539328,NA,10
19.12465,5.685965,24.676895,"M. Chalmers",2013,4,6.43445619350983,-0.74849119350983,NA,10
19.12712,5.77001,24.708645,"M. Chalmers",2013,5,6.42446436412886,-0.654454364128855,0.0307273742191379,10
19.40818,5.896955,24.92399,"M. Chalmers",2013,6,6.15748667237946,-0.260531672379457,0.0286963515308978,10
19.55853,6.05004,24.919205,"M. Chalmers",2013,7,6.42075981911032,-0.370719819110316,0.0243183734483019,10
19.54099,6.1272,25.046025,"M. Chalmers",2013,8,6.41956354406511,-0.292363544065113,0.0393322982248371,10
19.64332,6.2138,24.94221,"M. Chalmers",2013,9,6.24117891581082,-0.0273789158108233,0.0252994935570156,10
19.60019,6.436425,25.029305,"M. Chalmers",2013,10,6.36689635989371,0.069528640106288,0.0852540221308228,10
19.59182,6.569285,24.908485,"M. Chalmers",2013,11,6.38347578298922,0.18580921701078,0.0907706512733069,10
19.51996,6.869075,24.92456,"M. Chalmers",2013,12,6.39823635063532,0.470838649364678,0.197093292942084,10
19.295775,7.192475,24.97424,"M. Chalmers",2013,13,6.74704228948985,0.445432710510154,0.0183428328272541,10
19.013085,7.716795,25.00908,"M. Chalmers",2013,14,6.39405141935459,1.32274358064541,0.0615519559422996,10
18.499405,8.4538,25.064335,"M. Chalmers",2013,15,6.18099202056692,2.27280797943309,0.0360267834441025,10
17.9848,9.049425,24.930345,"M. Chalmers",2013,16,8.57190607707987,0.477518922920133,0.0206675796090101,10
17.506365,9.6989,25.06146,"M. Chalmers",2013,17,9.79239049174514,-0.0934904917451433,0.0373403287665459,10
"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
18.62425,4.92342,24.11732,"M. Chalmers",669,1,6.10684757928193,-1.18342757928193,NA,11
18.631435,5.166185,24.24144,"M. Chalmers",669,2,6.08603637082156,-0.919851370821559,NA,11
18.933075,5.474935,24.4198,"M. Chalmers",669,3,6.46907728555066,-0.994142285550659,NA,11
19.03961,5.577255,24.44788,"M. Chalmers",669,4,6.04261320337627,-0.465358203376269,NA,11
19.232635,5.686105,24.623355,"M. Chalmers",669,5,6.39901154496055,-0.712906544960546,0.0473793418568746,11
19.65781,5.90965,24.884395,"M. Chalmers",669,6,6.17937186594871,-0.26972186594871,0.00797386209578992,11
19.4137,6.00989,24.751885,"M. Chalmers",669,7,6.29750053247566,-0.287610532475658,0.0564265182431379,11
19.5206,6.158405,24.754005,"M. Chalmers",669,8,6.56277784068772,-0.404372840687716,0.0896039988325503,11
