"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
18.0952,5.29874,24.07348,"M. Morris",312,1,7.22941129299367,-1.93067129299367,NA,1
18.13481,5.51312,24.03526,"M. Morris",312,2,7.08538596897401,-1.57226596897401,NA,1
18.24962,5.79393,23.93915,"M. Morris",312,3,6.80351526162841,-1.00958526162841,NA,1
18.43367,5.86519,24.01995,"M. Morris",312,4,6.802018910008,-0.936828910008003,NA,1
18.57944,6.15653,24.00528,"M. Morris",312,5,6.83760930582949,-0.681079305829493,0.074800311570371,1
18.6367,6.24316,24.03835,"M. Morris",312,6,6.82321098966425,-0.580050989664251,0.047786469890716,1
18.82087,6.38977,24.12119,"M. Morris",312,7,6.80316452196982,-0.413394521969824,0.0474997188529002,1
18.7299,6.40363,24.12192,"M. Morris",312,8,6.78053702018208,-0.376907020182076,0.0201322060591252,1
18.98766,6.6901,24.0955,"M. Morris",312,9,7.43045615173703,-0.740356151737026,0.0328458088874678,1
19.00069,6.72314,24.12746,"M. Morris",312,10,7.46578404518191,-0.74264404518191,0.0291425726653745,1
19.41627,6.81763,24.32361,"M. Morris",312,11,7.13628178385216,-0.318651783852161,0.0404466041446222,1
19.13679,6.83072,24.2556,"M. Morris",312,12,7.46627457153818,-0.635554571538179,0.0107610146639963,1
19.25827,6.86126,24.05937,"M. Morris",312,13,7.37964898293106,-0.518388982931065,0.00480183014263851,1
19.3856,6.88385,24.28046,"M. Morris",312,14,7.15459448814529,-0.270744488145286,0.012661692140793,1
19.43798,6.9357,24.26221,"M. Morris",312,15,7.12805898657578,-0.192358986575779,0.0276431976401252,1
19.48815,6.96212,24.41775,"M. Morris",312,16,7.13302256675559,-0.170902566755595,0.00749882294816118,1
19.51665,6.99782,24.38475,"M. Morris",312,17,7.14864283027197,-0.150822830271972,0.00514518372759021,1
19.55386,7.03424,24.24246,"M. Morris",312,18,7.17923392825449,-0.144993928254486,0.00442264296908004,1
19.52114,7.0629,24.35224,"M. Morris",312,19,7.15171471948181,-0.0888147194818147,0.0203294329695419,1
19.54143,7.06624,24.24269,"M. Morris",312,20,7.16755255582795,-0.101312555827954,0.0176404053767945,1
19.58313,7.28916,24.3741,"M. Morris",312,21,7.21071408936138,0.0784459106386164,0.0308997949731205,1
19.56398,7.33529,24.24587,"M. Morris",312,22,7.18951677058078,0.145773229419224,0.0649813571052592,1
19.47808,7.42284,24.38653,"M. Morris",312,23,7.1296462444901,0.293193755509902,0.0622296794410646,1
19.40156,7.59194,24.36609,"M. Morris",312,24,7.14356776947811,0.448372230521889,0.0808729390206134,1
19.4562,7.66366,24.38711,"M. Morris",312,25,7.12584115548528,0.537818844514725,0.0472400922692966,1
19.20823,7.86306,24.35977,"M. Morris",312,26,7.41041243175054,0.452647568249458,0.0493816410965856,1
19.2248,8.00388,24.3859,"M. Morris",312,27,7.4054759590937,0.598404040906305,0.082492947556049,1
18.97859,8.4662,24.33825,"M. Morris",312,28,7.40652399133961,1.05967600866039,0.0583744111903961,1
18.96711,8.47399,24.3584,"M. Morris",312,29,7.37971370775639,1.09427629224361,0.0388851864633073,1
18.42434,9.10467,24.34634,"M. Morris",312,30,6.79759804145488,2.30707195854512,0.039232684831059,1
