x_loc,radius,y_loc,abbrName,rounded_gameClock,frame_id,loess_coords,loess_residuals,quad_residuals,id
18.11684,5.39843,25.6843,N. Batum,1502,1,5.498693458,-0.100263458,NA,1
18.07442,5.60837,25.5183,N. Batum,1502,2,5.25911963,0.34925037,NA,1
18.211305,5.733825,25.49538,N. Batum,1502,3,5.996051266,-0.262226266,NA,1
18.29585,6.155815,25.46301,N. Batum,1502,4,6.390371551,-0.234556551,NA,1
18.584315,6.569375,25.40601,N. Batum,1502,5,7.344540857,-0.775165857,0.112757378,1
18.81145,6.79752,25.27582,N. Batum,1502,6,7.575733069,-0.778213069,0.063691958,1
19.041095,7.012125,25.24463,N. Batum,1502,7,7.405825401,-0.393700401,0.060609825,1
19.28115,7.052595,25.17767,N. Batum,1502,8,7.679793233,-0.627198233,0.014511026,1
19.51804,7.10629,25.10309,N. Batum,1502,9,7.477151861,-0.370861861,0.016295773,1
19.664195,7.13942,25.061235,N. Batum,1502,10,7.357585061,-0.218165061,0.022960034,1
19.58755,7.163225,25.15163,N. Batum,1502,11,7.394119725,-0.230894725,0.012576279,1
19.67543,7.216535,25.08471,N. Batum,1502,12,7.355754232,-0.139219232,0.020075972,1
19.60776,7.285355,24.98483,N. Batum,1502,13,7.384938151,-0.099583151,0.041608508,1
19.75205,7.3943,25.03884,N. Batum,1502,14,7.368825791,0.025474209,0.043948482,1
19.60718,7.5955,25.116815,N. Batum,1502,15,7.385241649,0.210258351,0.120481811,1
19.658845,7.68733,25.060525,N. Batum,1502,16,7.358905092,0.328424908,0.158110263,1
19.53325,7.86358,25.08487,N. Batum,1502,17,7.445433485,0.418146515,0.127931407,1
19.375505,8.05493,25.09221,N. Batum,1502,18,7.647681865,0.407248135,0.04847384,1
19.11651,8.408395,25.01853,N. Batum,1502,19,7.493628941,0.914766059,0.045084723,1
18.63647,9.01924,25.009395,N. Batum,1502,20,7.434411535,1.584828465,0.004848607,1
"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
18.04732,5.17218,24.24343,"N. Batum",2482,1,5.99843011173025,-0.826250111730249,NA,10
18.04177,5.35619,24.11806,"N. Batum",2482,2,5.98643071732517,-0.630240717325173,NA,10
18.12027,5.61977,24.10145,"N. Batum",2482,3,6.07025467979072,-0.450484679790717,NA,10
18.16812,5.63953,24.50907,"N. Batum",2482,4,6.05745873169397,-0.417928731693972,NA,10
18.07281,5.68325,24.32063,"N. Batum",2482,5,6.04196994992829,-0.358719949928288,0.0997782176793166,10
18.1935,5.80503,24.66753,"N. Batum",2482,6,6.02981171982867,-0.224781719828672,0.0830308695033848,10
18.24777,5.86007,24.48525,"N. Batum",2482,7,5.96912224812,-0.109052248119998,0.0367962911293661,10
18.14867,5.90443,24.64351,"N. Batum",2482,8,6.06619518207911,-0.161765182079113,0.0628841199163407,10
18.19453,5.94783,24.36069,"N. Batum",2482,9,6.02902921951428,-0.0811992195142786,0.039262393830761,10
18.20405,5.99268,24.29676,"N. Batum",2482,10,6.01231201847018,-0.0196320184701788,0.0480151335902036,10
18.20677,6.01771,24.38515,"N. Batum",2482,11,6.00879383304942,0.00891616695058506,0.0188288127857613,10
