"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
17.95663,5.097995,25.58982,"R. Hibbert",465,1,6.61588780223502,-1.51789280223502,NA,1
17.95628,5.445125,25.6195,"R. Hibbert",465,2,6.61670857914991,-1.17158357914991,NA,1
17.952525,5.854215,25.606685,"R. Hibbert",465,3,6.62679371613327,-0.772578716133271,NA,1
18.0043,6.19978,25.58037,"R. Hibbert",465,4,6.55205120375195,-0.352271203751952,NA,1
18.151685,6.54295,25.524405,"R. Hibbert",465,5,6.51387450569637,0.0290754943036333,0.185823782045024,1
18.316825,6.848825,25.428175,"R. Hibbert",465,6,6.88819287423171,-0.0393678742317149,0.144438259320388,1
18.53845,7.14666,25.369685,"R. Hibbert",465,7,8.3215339151134,-1.1748739151134,0.044812374614809,1
18.959855,7.311905,25.243785,"R. Hibbert",465,8,8.00084194228003,-0.68893694228003,0.00133684970283152,1
19.15204,7.403065,25.23577,"R. Hibbert",465,9,7.96356552191576,-0.560500521915765,0.0315712459727793,1
19.327585,7.46253,25.23878,"R. Hibbert",465,10,7.7322485430698,-0.269718543069796,0.032166314446275,1
19.556465,7.529065,25.103775,"R. Hibbert",465,11,7.8003782231108,-0.271313223110804,0.00571858722136369,1
19.575635,7.597555,25.12394,"R. Hibbert",465,12,7.77496651269164,-0.177411512691637,0.0153329755773216,1
19.58831,7.83212,25.115935,"R. Hibbert",465,13,7.75394559924925,0.0781744007507488,0.0746160482145649,1
19.499,8.080095,25.12229,"R. Hibbert",465,14,7.84100147778679,0.239093522213213,0.140632713249116,1
19.454515,8.409645,24.750695,"R. Hibbert",465,15,7.84471620492929,0.56492879507071,0.106175090397735,1
19.07459,9.13229,24.97845,"R. Hibbert",465,16,7.95893979737456,1.17335020262544,0.0879428760072862,1
18.539465,9.814805,25.02044,"R. Hibbert",465,17,8.32344197481837,1.49136302518163,0.0571724481711094,1
17.959425,10.40446,24.969415,"R. Hibbert",465,18,6.61012336945336,3.79433663054664,0.0743780895654282,1
17.389405,10.9659,24.992435,"R. Hibbert",465,19,10.9637747828348,0.00212521716521152,0.0391266660717953,1
"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
