"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
17.651715,4.93579,24.923785,"T. Parker",324,1,6.28091377648035,-1.34512377648035,NA,1
17.736305,5.356625,25.037805,"T. Parker",324,2,6.16394591785249,-0.807320917852489,NA,1
17.88398,5.776465,25.104685,"T. Parker",324,3,6.37834429677565,-0.601879296775653,NA,1
18.47517,6.07714,25.05328,"T. Parker",324,4,6.17987125673991,-0.102731256739915,NA,1
18.41859,6.263715,24.98857,"T. Parker",324,5,6.43152543710805,-0.167810437108052,0.0388933350259007,1
19.10803,6.30854,25.062505,"T. Parker",324,6,6.54626433909787,-0.237724339097868,0.0889976094127649,1
18.975975,6.33437,24.851135,"T. Parker",324,7,6.64097638664224,-0.30660638664224,0.0489298232330235,1
19.17663,6.388565,25.08968,"T. Parker",324,8,6.48227565825944,-0.093710658259444,0.0555295557462177,1
18.872135,6.48223,24.79695,"T. Parker",324,9,6.69830145922942,-0.216071459229421,0.0505909368605167,1
19.16305,6.71896,24.851995,"T. Parker",324,10,6.49422097802063,0.224739021979367,0.0929461900781616,1
18.991005,6.97226,24.997565,"T. Parker",324,11,6.61768067125561,0.354579328744393,0.191486269682356,1
18.76012,7.428925,24.976525,"T. Parker",324,12,7.13824561012225,0.290679389877752,0.246118980078826,1
18.261955,7.973,25.09007,"T. Parker",324,13,7.59567110082066,0.37732889917934,0.198512846821244,1
17.71779,8.67907,25.00845,"T. Parker",324,14,6.17567874347723,2.50339125652277,0.0383792439837471,1
17.145535,9.280675,25.016905,"T. Parker",324,15,9.24425213194624,0.0364228680537586,0.0356655415244861,1
"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
17.993445,5.783245,24.982925,"T. Parker",1407,1,5.783245,-8.88178419700125e-16,NA,10
18.615315,6.213015,24.94313,"T. Parker",1407,2,6.213015,-1.77635683940025e-15,NA,10
18.888735,6.345055,24.9683,"T. Parker",1407,3,6.345055,1.77635683940025e-15,NA,10
19.272335,6.465435,25.159235,"T. Parker",1407,4,6.465435,0,NA,10
19.101565,6.74204,24.963015,"T. Parker",1407,5,6.74204,-1.77635683940025e-15,0.0946194725333644,10
18.511035,7.82775,24.97544,"T. Parker",1407,6,7.82775,-2.66453525910038e-15,0.374861505635246,10
17.428175,9.054815,24.990045,"T. Parker",1407,7,9.054815,1.77635683940025e-15,0.243752597353557,10
"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
17.899585,5.563005,24.945175,"T. Parker",257,1,5.563005,0,NA,11
18.49701,6.143885,24.84985,"T. Parker",257,2,6.143885,8.88178419700125e-16,NA,11
19.26369,6.360425,24.86243,"T. Parker",257,3,6.360425,-2.66453525910038e-15,NA,11
19.1017,6.4287,24.848345,"T. Parker",257,4,6.4287,-8.88178419700125e-16,NA,11
19.13293,6.76729,24.88577,"T. Parker",257,5,6.76729000000001,-5.32907051820075e-15,0.11334104728621,11
18.63152,7.68002,24.959725,"T. Parker",257,6,7.68002,8.88178419700125e-16,0.352499932949837,11
17.56056,9.00116,24.877535,"T. Parker",257,7,9.00116,-1.77635683940025e-15,0.103261871704285,11
"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
17.894585,5.461125,25.015705,"T. Parker",1072,1,6.74594923099921,-1.28482423099921,NA,12
18.090305,5.931045,24.988375,"T. Parker",1072,2,6.16053166649993,-0.229486666499933,NA,12
18.3682,6.088315,25.026935,"T. Parker",1072,3,6.96180084026655,-0.87348584026655,NA,12
18.70532,6.29266,24.999695,"T. Parker",1072,4,6.79671693494304,-0.504056934943042,NA,12
19.210805,6.365175,24.999935,"T. Parker",1072,5,6.42272236851282,-0.0575473685128225,0.0539814851047788,12
19.12484,6.3937,25.01787,"T. Parker",1072,6,6.66645755614335,-0.27275755614335,0.0169142568474451,12
19.203565,6.435235,24.891835,"T. Parker",1072,7,6.42710760991607,0.00812739008393137,0.0147195881050106,12
19.301505,6.51881,25.05616,"T. Parker",1072,8,6.59988745860627,-0.0810774586062655,0.0243017019726388,12
19.268795,6.62943,24.87067,"T. Parker",1072,9,6.48689306160566,0.142536938394345,0.0522995699871407,12
19.11887,6.95752,24.89145,"T. Parker",1072,10,6.70253067885663,0.254989321143367,0.154226680048697,12
18.836535,7.40835,25.01895,"T. Parker",1072,11,7.3546178370391,0.0537321629608956,0.0958876063967496,12
18.380475,7.99675,25.0501,"T. Parker",1072,12,6.96132043216442,1.03542956783558,0.0182095190688232,12
17.81084,8.664785,24.997285,"T. Parker",1072,13,6.96860459161329,1.69618040838671,0.0255398375975078,12
17.27149,9.2796,24.95203,"T. Parker",1072,14,9.39804703503831,-0.118447035038313,0.0162905077218795,12
"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
17.82838,5.29618,25.01117,"T. Parker",1756,1,6.24528918932006,-0.949109189320064,NA,13
18.10384,5.65864,24.97668,"T. Parker",1756,2,6.71656574811777,-1.05792574811777,NA,13
18.382735,5.897425,24.94225,"T. Parker",1756,3,6.34020616920244,-0.442781169202441,NA,13
18.8833,5.98148,24.97669,"T. Parker",1756,4,6.20249753344023,-0.221017533440228,NA,13
19.02619,6.076255,24.93185,"T. Parker",1756,5,6.55849482543023,-0.482239825430229,0.0305457439834765,13
19.135395,6.12542,24.94008,"T. Parker",1756,6,6.27059720439742,-0.145177204397422,0.0336246585187332,13
18.833295,6.140755,24.849795,"T. Parker",1756,7,6.10210378872819,0.038651211271806,0.0419015944667173,13
19.32595,6.32318,24.891245,"T. Parker",1756,8,6.31981130901571,0.00336869098429116,0.0349960539705945,13
19.102115,6.611475,24.868835,"T. Parker",1756,9,6.28739517193651,0.324079828063493,0.139918705356764,13
18.99807,6.948005,24.87847,"T. Parker",1756,10,6.53454338044287,0.413461619557131,0.219900100581569,13
18.62044,7.4939,24.931745,"T. Parker",1756,11,7.41731923068818,0.0765807693118159,0.308229337154703,13
18.14887,8.05743,24.975845,"T. Parker",1756,12,6.61291957256548,1.44451042743452,0.0415160471823375,13
17.523415,8.86869,25.03717,"T. Parker",1756,13,8.64848217792387,0.220207822076135,0.0550513609051812,13
"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
17.89048,5.226925,24.94477,"T. Parker",1569,1,6.50759033066469,-1.28066533066469,NA,2
18.131285,5.55989,24.96842,"T. Parker",1569,2,6.41330097338288,-0.853410973382881,NA,2
18.268185,5.80509,25.11575,"T. Parker",1569,3,6.76916982242008,-0.964079822420079,NA,2
18.72989,6.084805,25.090275,"T. Parker",1569,4,6.59917579447317,-0.514370794473172,NA,2
18.942625,6.22712,25.04156,"T. Parker",1569,5,6.54696902808064,-0.319849028080641,0.0297398207325417,2
19.25816,6.292075,25.09765,"T. Parker",1569,6,6.48598099858228,-0.193905998582284,0.0281455737408313,2
19.45867,6.328845,25.095885,"T. Parker",1569,7,6.32301093626801,0.00583406373199402,0.0109755493122988,2
19.001,6.376815,25.01774,"T. Parker",1569,8,6.59902832845627,-0.222213328456273,0.0421085178869511,2
19.309405,6.47143,25.127345,"T. Parker",1569,9,6.44881767322919,0.0226123267708109,0.0594845410103298,2
19.220665,6.68157,25.01499,"T. Parker",1569,10,6.51782622223367,0.163743777766332,0.0835738339161503,2
18.961405,7.088785,25.04843,"T. Parker",1569,11,6.56229943178545,0.52648556821455,0.16664607175106,2
18.63193,7.81609,24.90878,"T. Parker",1569,12,7.01939244050987,0.796697559490132,0.173685794376808,2
18.11724,8.38993,24.83897,"T. Parker",1569,13,6.33587981953497,2.05405018046503,0.0425880714328571,2
17.59492,9.00903,24.76614,"T. Parker",1569,14,8.73461239420566,0.274417605794341,0.0510718435346693,2
"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
17.548955,5.037345,25.065795,"T. Parker",490,1,5.55702696419715,-0.519681964197151,NA,4
