"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
18.24348,5.54555,23.74442,"V. Oladipo",1294,1,5.54555,-1.77635683940025e-15,NA,1
18.69538,6.195795,23.838735,"V. Oladipo",1294,2,6.195795,1.77635683940025e-15,NA,1
19.31486,6.54912,24.09267,"V. Oladipo",1294,3,6.54912,-1.77635683940025e-15,NA,1
19.208125,6.70859,24.193975,"V. Oladipo",1294,4,6.70859,2.66453525910038e-15,NA,1
19.28289,7.121435,24.268175,"V. Oladipo",1294,5,7.121435,0,0.132624810305457,1
18.946365,7.6666,24.34618,"V. Oladipo",1294,6,7.6666,4.44089209850063e-15,0.216011500617588,1
18.1753,8.93394,24.39699,"V. Oladipo",1294,7,8.93394,-1.77635683940025e-15,0.162521468097419,1
"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
18.43878,4.85572,24.13214,"V. Oladipo",1286,1,5.26209353548937,-0.406373535489366,NA,10
18.33581,4.91667,23.85177,"V. Oladipo",1286,2,5.45262370315809,-0.535953703158088,NA,10
18.27119,5.017,23.78541,"V. Oladipo",1286,3,4.99797819494565,0.0190218050543489,NA,10
18.36084,5.05236,24.05363,"V. Oladipo",1286,4,6.01978290669882,-0.967422906698822,NA,10
18.27898,5.12917,23.78034,"V. Oladipo",1286,5,4.99799210947265,0.131177890527345,0.0579520200581248,10
18.29618,5.15265,23.98723,"V. Oladipo",1286,6,5.01378074759703,0.138869252402975,0.073365311797,10
18.21759,5.18241,23.84159,"V. Oladipo",1286,7,5.29636103602918,-0.113951036029182,0.041300341332664,10
18.34129,5.19012,23.95735,"V. Oladipo",1286,8,5.57075387477251,-0.380633874772509,0.0322610943823218,10
18.29283,5.19958,23.85968,"V. Oladipo",1286,9,5.00807199677601,0.191508003223993,0.0165636862604602,10
18.22532,5.29444,23.83653,"V. Oladipo",1286,10,5.23406765564252,0.0603723443574831,0.0346491904755196,10
18.30059,5.31161,23.85461,"V. Oladipo",1286,11,5.02328834086397,0.288321659136029,0.0439052629140345,10
18.41363,5.72152,23.77995,"V. Oladipo",1286,12,5.80433363765824,-0.0828136376582389,0.0509438052503439,10
18.71741,6.0437,23.84346,"V. Oladipo",1286,13,6.20918364852434,-0.165483648524339,0.0880648508359272,10
18.95914,6.41786,23.96779,"V. Oladipo",1286,14,7.10538714912015,-0.68752714912015,0.059895008454016,10
19.48535,6.55253,24.13267,"V. Oladipo",1286,15,6.77593927631391,-0.223409276313914,0.0561872853207783,10
19.36466,6.59006,24.11146,"V. Oladipo",1286,16,6.94971347786074,-0.359653477860744,0.0421187807013627,10
19.15734,6.62996,24.0238,"V. Oladipo",1286,17,7.13550136093231,-0.505541360932315,0.0168271950779248,10
19.57764,6.76131,24.36314,"V. Oladipo",1286,18,6.6140384565622,0.147271543437804,0.0670657633235244,10
19.44417,6.96628,24.43078,"V. Oladipo",1286,19,6.84140741499561,0.124872585004394,0.109268453002392,10
19.33797,7.28375,24.34496,"V. Oladipo",1286,20,6.98154824404762,0.302201755952379,0.153354843799335,10
19.12917,7.47148,24.39549,"V. Oladipo",1286,21,7.13926470126965,0.332215298730345,0.21669024259276,10
18.90328,8.06216,24.45633,"V. Oladipo",1286,22,6.96731929457061,1.09484070542939,0.0549592447371317,10
18.37865,8.75286,24.47167,"V. Oladipo",1286,23,6.08339488626411,2.66946511373589,0.0625233103924771,10
17.87945,9.31574,24.53871,"V. Oladipo",1286,24,9.31566740647102,7.25935289800361e-05,0.0551689842301025,10
17.20222,10.03337,24.54723,"V. Oladipo",1286,25,10.0366640013153,-0.00329400131528423,0.0572047310629351,10
"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
18.25388,5.256415,23.75,"V. Oladipo",1438,1,6.75850169561842,-1.50208669561841,NA,11
18.49917,5.663725,23.767345,"V. Oladipo",1438,2,6.16788905050295,-0.504164050502947,NA,11
18.665545,5.971485,23.833665,"V. Oladipo",1438,3,7.00794738523127,-1.03646238523127,NA,11
19.00176,6.31965,23.88521,"V. Oladipo",1438,4,7.08531071566276,-0.765660715662757,NA,11
19.159975,6.4711,24.092815,"V. Oladipo",1438,5,6.79160766228574,-0.320507662285737,0.016488809064233,11
19.390035,6.617355,24.16326,"V. Oladipo",1438,6,6.83304423158943,-0.215689231589434,0.0161720601137171,11
19.59818,6.652745,24.12972,"V. Oladipo",1438,7,6.75571810549709,-0.102973105497088,0.0115991959817551,11
19.56235,6.777105,24.15007,"V. Oladipo",1438,8,6.82032784744802,-0.043222847448015,0.0309556304316784,11
19.563035,6.860665,24.170825,"V. Oladipo",1438,9,6.81941765057715,0.0412473494228545,0.0598379911964438,11
19.53457,6.9376,24.267085,"V. Oladipo",1438,10,6.84987543593137,0.0877245640686324,0.0221612862814675,11
19.48014,7.162435,24.191305,"V. Oladipo",1438,11,6.8787028135973,0.283732186402696,0.0182178953753619,11
19.245845,7.452395,24.250035,"V. Oladipo",1438,12,6.9967831713128,0.455611828687199,0.0201135387108945,11
18.94589,7.964185,24.37405,"V. Oladipo",1438,13,7.22597267904717,0.738212320952827,0.0418268493256182,11
18.70883,8.53827,24.35423,"V. Oladipo",1438,14,7.26650461471489,1.27176538528511,0.0430587917413893,11
18.13265,9.32943,24.39364,"V. Oladipo",1438,15,7.29874183189934,2.03068816810066,0.0645008455846446,11
17.62518,9.85475,24.349175,"V. Oladipo",1438,16,9.63677732397881,0.217972676021189,0.0346439729574412,11
17.129065,10.520995,24.369675,"V. Oladipo",1438,17,10.5862613325218,-0.0652663325217997,0.0686781591693713,11
"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
18.10205,4.832185,23.720215,"V. Oladipo",1837,1,6.46669849365929,-1.63451349365929,NA,13
18.167005,5.366245,23.79446,"V. Oladipo",1837,2,6.29622660045051,-0.929981600450515,NA,13
18.30836,5.810265,23.77925,"V. Oladipo",1837,3,7.22472849452821,-1.41446349452821,NA,13
18.64733,6.08475,23.80173,"V. Oladipo",1837,4,6.38649890481523,-0.301748904815228,NA,13
18.871345,6.314125,24.01302,"V. Oladipo",1837,5,7.41790992180151,-1.10378492180151,0.131172280753952,13
