"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
18.307285,5.83263,25.684275,"W. Barton",2374,1,5.83263,0,NA,1
18.811025,6.609115,25.54616,"W. Barton",2374,2,6.609115,-1.77635683940025e-15,NA,1
19.16813,6.79498,25.475265,"W. Barton",2374,3,6.79498,1.77635683940025e-15,NA,1
19.151915,6.963885,25.487625,"W. Barton",2374,4,6.963885,0,NA,1
18.923155,7.378965,25.489485,"W. Barton",2374,5,7.378965,2.66453525910038e-15,0.176144922408296,1
18.09567,8.47743,25.339055,"W. Barton",2374,6,8.47743,1.77635683940025e-15,0.205324703092711,1
"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
18.2918,4.87871,24.22878,"W. Barton",990,1,6.43059515244326,-1.55188515244326,NA,10
18.38383,5.68342,24.04319,"W. Barton",990,2,5.7943387126323,-0.110918712632305,NA,10
18.57283,6.04356,24.15383,"W. Barton",990,3,6.41975886022694,-0.376198860226938,NA,10
18.78501,6.45516,24.10602,"W. Barton",990,4,7.11202085268288,-0.656860852682883,NA,10
19.11786,6.52557,24.26987,"W. Barton",990,5,6.96334779279874,-0.437777792798741,0.103794497284282,10
19.26617,6.60321,24.40108,"W. Barton",990,6,6.8215370958149,-0.218327095814899,0.0413011877950664,10
19.32873,6.67016,24.60973,"W. Barton",990,7,6.77896029590248,-0.108800295902484,0.0554691239783388,10
19.18423,6.85839,24.36885,"W. Barton",990,8,6.92377942793239,-0.0653894279323897,0.079050658443372,10
19.37102,6.92113,24.43319,"W. Barton",990,9,6.82263331989129,0.098496680108707,0.121650389557174,10
19.18099,7.26548,24.24127,"W. Barton",990,10,6.90114570273862,0.364334297261376,0.0788426721045017,10
19.01952,7.47325,24.51227,"W. Barton",990,11,7.18773294384175,0.285517056158248,0.137907415553042,10
18.67429,7.83509,24.58191,"W. Barton",990,12,6.87406809435476,0.961021905645241,0.116374012062836,10
18.21949,8.46419,24.5292,"W. Barton",990,13,7.5716204330534,0.892569566946598,0.0370513715225956,10
17.53522,9.11318,24.47932,"W. Barton",990,14,9.14615115850665,-0.032971158506653,0.0270798521683691,10
"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
18.096465,5.296175,25.81676,"W. Barton",2745,1,6.09803112566436,-0.801856125664361,NA,11
18.233015,5.832815,25.875645,"W. Barton",2745,2,6.91435324052992,-1.08153824052992,NA,11
18.548255,6.18717,25.84015,"W. Barton",2745,3,6.67401439089415,-0.48684439089415,NA,11
18.77151,6.41467,25.7672,"W. Barton",2745,4,6.73074115376436,-0.316071153764363,NA,11
18.930085,6.59299,25.700985,"W. Barton",2745,5,6.67370265257505,-0.0807126525750501,0.0724751436985381,11
19.026875,6.721525,25.689755,"W. Barton",2745,6,6.89591134132949,-0.174386341329493,0.0081692592134063,11
18.985855,6.86254,25.64114,"W. Barton",2745,7,6.73244177456513,0.130098225434868,0.0542488789367944,11
19.02435,7.00684,25.570205,"W. Barton",2745,8,6.88319414938331,0.123645850616687,0.0877377015933334,11
18.836155,7.17285,25.64754,"W. Barton",2745,9,7.00868644548249,0.164163554517515,0.110583429265719,11
18.602055,7.47474,25.51668,"W. Barton",2745,10,6.90194464127832,0.572795358721677,0.0698988432227083,11
18.206995,8.18295,25.423575,"W. Barton",2745,11,6.74740269941467,1.43554730058533,0.0430253597920636,11
17.6679,8.76092,25.604825,"W. Barton",2745,12,8.7329896388722,0.0279303611277975,0.0601527080950518,11
"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
18.11546,5.409595,25.959295,"W. Barton",2878,1,6.10626353016418,-0.696668530164184,NA,12
18.27145,5.81272,25.88838,"W. Barton",2878,2,6.79529770859311,-0.982577708593112,NA,12
18.59519,6.28271,25.801435,"W. Barton",2878,3,6.84626998274196,-0.56355998274196,NA,12
18.81548,6.44484,25.84357,"W. Barton",2878,4,6.51136256391365,-0.0665225639136464,NA,12
18.95231,6.55885,25.6996,"W. Barton",2878,5,6.91451171397418,-0.35566171397418,0.0243496309617537,12
19.095185,6.73065,25.68293,"W. Barton",2878,6,6.84792948480588,-0.117279484805879,0.0283316126368758,12
19.140475,6.915065,25.636545,"W. Barton",2878,7,6.87008718874108,0.0449778112589252,0.0296556681478737,12
19.02415,7.02041,25.62141,"W. Barton",2878,8,6.84177992220861,0.178630077791392,0.109885874621337,12
18.930925,7.189545,25.638945,"W. Barton",2878,9,6.88137920362268,0.308165796377319,0.18166221490672,12
18.65555,7.67189,25.43127,"W. Barton",2878,10,6.97203909671859,0.699850903281406,0.0637988169709468,12
18.21737,8.08076,25.53726,"W. Barton",2878,11,6.56660462814945,1.51415537185055,0.0386051031692691,12
17.60734,8.76398,25.62696,"W. Barton",2878,12,8.48286055360192,0.281119446398082,0.0383599968820526,12
17.13011,9.36962,25.52597,"W. Barton",2878,13,9.41314593021911,-0.0435259302191131,0.0465064135105926,12
"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
18.1538,5.367625,25.816605,"W. Barton",605,1,5.99166673135937,-0.62404173135937,NA,2
18.344355,5.870785,25.8474,"W. Barton",605,2,6.3382084865919,-0.467423486591898,NA,2
18.625415,6.320475,25.690155,"W. Barton",605,3,7.00640773702078,-0.685932737020783,NA,2
18.828565,6.47596,25.725905,"W. Barton",605,4,7.0414834968702,-0.5655234968702,NA,2
19.080935,6.616165,25.61292,"W. Barton",605,5,6.77407640092416,-0.157911400924159,0.0231338336715671,2
19.206695,6.71032,25.599065,"W. Barton",605,6,6.7985070028451,-0.0881870028450962,0.0239320485358482,2
19.20598,6.832045,25.556055,"W. Barton",605,7,6.79720945096794,0.0348355490320644,0.0372572904931385,2
19.136685,6.9162,25.61673,"W. Barton",605,8,6.73078977903408,0.18541022096592,0.078066344009234,2
18.980245,7.153035,25.642025,"W. Barton",605,9,7.03377615294344,0.119258847056556,0.101522076898346,2
18.816785,7.550275,25.45165,"W. Barton",605,10,7.01902718246549,0.531247817534514,0.0351986997058736,2
18.502185,7.98707,25.44529,"W. Barton",605,11,7.47846786654081,0.508602133459188,0.0342868247356071,2
17.921975,8.628985,25.420785,"W. Barton",605,12,7.73067093422677,0.898314065773232,0.0260780772427104,2
17.35014,9.272375,25.379615,"W. Barton",605,13,9.32785553685777,-0.05548053685777,0.0500383437763951,2
"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
18.37251,5.34739,25.71522,"W. Barton",860,1,6.17914003923832,-0.831750039238316,NA,3
18.55006,5.87473,25.68467,"W. Barton",860,2,6.94095328361882,-1.06622328361882,NA,3
18.81222,6.28334,25.55058,"W. Barton",860,3,6.90319922678577,-0.619859226785771,NA,3
19.00854,6.48854,25.63814,"W. Barton",860,4,6.99593600413494,-0.507396004134935,NA,3
19.22737,6.72862,25.52075,"W. Barton",860,5,6.75050431414188,-0.0218843141418814,0.0372223323791319,3
19.42585,6.88081,25.29776,"W. Barton",860,6,6.94569236020663,-0.0648823602066289,0.00896674115252019,3
19.46737,6.96811,25.34895,"W. Barton",860,7,6.99514653379679,-0.0270365337967924,0.0132049301025118,3
19.39415,7.05638,25.42778,"W. Barton",860,8,6.90332212945821,0.153057870541793,0.0536317129909564,3
19.07461,7.22366,25.47599,"W. Barton",860,9,6.85809938082575,0.36556061917425,0.0866366419566727,3
18.85963,7.72318,25.33661,"W. Barton",860,10,6.95154123554711,0.771638764452887,0.040745455053802,3
18.48803,8.21536,25.31371,"W. Barton",860,11,6.68155926910274,1.53380073089726,0.0551257553185831,3
17.9373,8.93722,25.36569,"W. Barton",860,12,8.57373104127874,0.363488958721257,0.0727738123742808,3
17.32281,9.63874,25.28279,"W. Barton",860,13,9.66826318468387,-0.0295231846838657,0.036784809793728,3
"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
18.4161333333333,5.42294,25.62953,"W. Barton",1440,1,6.74233743523456,-1.31939743523456,NA,4
18.5965933333333,6.00086333333333,25.6185933333333,"W. Barton",1440,2,5.86792827602734,0.132935057305999,NA,4
18.8193933333333,6.34401333333333,25.58868,"W. Barton",1440,3,6.68897093004562,-0.344957596712288,NA,4
19.1523266666667,6.56834666666667,25.59707,"W. Barton",1440,4,6.95684147851431,-0.388494811847643,NA,4
19.2888233333333,6.68731333333333,25.5038766666667,"W. Barton",1440,5,6.81393166734533,-0.126618334012,0.0464284956826917,4
19.23144,6.74329333333333,25.62442,"W. Barton",1440,6,6.68799854071693,0.0552947926164009,0.0354172965700407,4
19.3537766666667,6.79448666666667,25.5483166666667,"W. Barton",1440,7,6.82438525058299,-0.0298985839163208,0.0297635612632416,4
19.3114766666667,6.97446333333333,25.48816,"W. Barton",1440,8,6.83247159385589,0.141991739477445,0.064154906091607,4
19.14464,7.36136666666667,25.4603533333333,"W. Barton",1440,9,7.03862683338579,0.32273983328088,0.0944771790380679,4
18.9747666666667,7.64297666666667,25.3420333333333,"W. Barton",1440,10,7.58743210331818,0.0555445633484846,0.11660849391346,4
18.40075,8.26009666666667,25.2628233333333,"W. Barton",1440,11,6.79578956595548,1.46430710071119,0.0241552040395652,4
17.9466566666667,8.88856,25.2565433333333,"W. Barton",1440,12,8.89296858894327,-0.00440858894326546,0.0626351882534475,4
17.3806433333333,9.52637666666667,25.2840866666667,"W. Barton",1440,13,9.5256055910422,0.000771075624461659,0.0309209710059378,4
"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
18.19385,4.91334,23.97876,"W. Barton",2265,1,5.8702687589045,-0.956928758904501,NA,5
18.37238,5.46724,24.12619,"W. Barton",2265,2,6.27224373872419,-0.80500373872419,NA,5
18.53845,5.86194,24.11414,"W. Barton",2265,3,6.70380073117798,-0.841860731177977,NA,5
18.85261,6.30894,24.1561,"W. Barton",2265,4,6.97211060976108,-0.663170609761083,NA,5
19.11965,6.51705,24.1905,"W. Barton",2265,5,6.88456105400289,-0.367511054002893,0.0180379507637028,5
19.27282,6.62192,24.2797,"W. Barton",2265,6,6.80855252468809,-0.186632524688094,0.0196250603939463,5
19.32132,6.71032,24.33245,"W. Barton",2265,7,6.81204191564802,-0.101721915648016,0.0233413547339129,5
19.37828,6.79682,24.36526,"W. Barton",2265,8,6.83048667456857,-0.0336666745685745,0.0139412069898567,5
19.30798,7.11386,24.17467,"W. Barton",2265,9,6.80991062209388,0.303949377906124,0.123848300338956,5
19.12163,7.25153,24.35374,"W. Barton",2265,10,6.87436673100359,0.377163268996412,0.131887106976919,5
18.83449,7.61101,24.40799,"W. Barton",2265,11,6.94788951652734,0.663120483472664,0.0811578727292938,5
18.3826,8.04744,24.5231,"W. Barton",2265,12,6.29790414458658,1.74953585541342,0.0493592077940566,5
17.80499,9.10785,24.46229,"W. Barton",2265,13,8.12691096570784,0.980939034292156,0.0357283702069211,5
17.28512,9.39055,24.44826,"W. Barton",2265,14,9.53747053671903,-0.146920536719033,0.0976004234421213,5
"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
18.22415,5.277615,24.30692,"W. Barton",2779,1,6.37989707308666,-1.10228207308666,NA,6
18.523565,5.746385,24.29372,"W. Barton",2779,2,6.69564377012465,-0.949258770124653,NA,6
18.695495,6.265285,24.265395,"W. Barton",2779,3,6.15736420025338,0.107920799746622,NA,6
19.12465,6.44669,24.38996,"W. Barton",2779,4,6.46417870390855,-0.0174887039085538,NA,6
19.32845,6.622285,24.496655,"W. Barton",2779,5,6.64233070187994,-0.0200457018799387,0.0772367489983166,6
19.256275,6.695665,24.440385,"W. Barton",2779,6,6.84828742454864,-0.152622424548639,0.0837705258946851,6
19.275385,6.923065,24.46948,"W. Barton",2779,7,6.77248693407289,0.150578065927109,0.0954456633946259,6
19.22538,7.024125,24.45508,"W. Barton",2779,8,6.94183980045642,0.082285199543584,0.0830950465813084,6
19.193785,7.245455,24.569525,"W. Barton",2779,9,7.1169693211785,0.128485678821498,0.0708181599234246,6
18.86046,7.606135,24.68862,"W. Barton",2779,10,7.54267743325233,0.0634575667476689,0.0826798803411146,6
18.42689,8.14005,24.65169,"W. Barton",2779,11,6.6224016847227,1.5176483152773,0.0521217851342454,6
17.84647,8.814195,24.567465,"W. Barton",2779,12,8.12443413357287,0.689760866427127,0.0384690738840142,6
17.27792,9.46409,24.654415,"W. Barton",2779,13,9.52876522761173,-0.0646752276117315,0.00924208377366078,6
"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
18.18248,5.19256,24.20423,"W. Barton",553,1,6.05131786523948,-0.858757865239476,NA,7
18.52039,5.75968,24.34534,"W. Barton",553,2,6.95429935247248,-1.19461935247248,NA,7
18.747375,6.12213,24.20375,"W. Barton",553,3,6.76967788573413,-0.647547885734134,NA,7
19.11835,6.33877,24.424045,"W. Barton",553,4,6.49040888380878,-0.151638883808777,NA,7
19.22662,6.483075,24.32988,"W. Barton",553,5,6.48799131111253,-0.00491631111252744,0.031870742983708,7
19.298345,6.61536,24.341265,"W. Barton",553,6,6.63100226223113,-0.0156422622311254,0.050513435830713,7
19.34092,6.789165,24.3765,"W. Barton",553,7,6.92065537032019,-0.131490370320191,0.0224138255173303,7
19.319175,6.970345,24.451015,"W. Barton",553,8,6.75676670928414,0.213578290715858,0.0751282904526308,7
19.16428,7.216865,24.49168,"W. Barton",553,9,6.80955909056054,0.407305909439462,0.111174975167241,7
18.72659,7.53626,24.59524,"W. Barton",553,10,6.66485387482878,0.87140612517122,0.100736720280956,7
18.387195,7.871305,24.788535,"W. Barton",553,11,6.72163511032945,1.14966988967055,0.0652517407735436,7
17.842185,8.61552,24.68183,"W. Barton",553,12,7.80317478715701,0.812345212842994,0.0344065478169627,7
17.310485,9.333375,24.613465,"W. Barton",553,13,9.42672841151771,-0.0933534115177128,0.0273266313324667,7
"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
18.025575,5.289085,25.76421,"W. Barton",867,1,6.57422997726311,-1.28514497726311,NA,8
18.21775,5.90595,25.84137,"W. Barton",867,2,6.83402204871087,-0.928072048710866,NA,8
18.46578,6.1797,25.693735,"W. Barton",867,3,6.22663122440496,-0.0469312244049558,NA,8
18.769245,6.42875,25.64543,"W. Barton",867,4,7.0515908833391,-0.622840883339096,NA,8
19.03814,6.661525,25.5662,"W. Barton",867,5,6.78096045081339,-0.11943545081339,0.0678166639818762,8
19.17723,6.793355,25.516805,"W. Barton",867,6,6.94817907650144,-0.154824076501437,0.0117871238245442,8
19.189745,6.88582,25.41796,"W. Barton",867,7,6.91556045729363,-0.0297404572936273,0.0216336132657339,8
19.208245,6.946475,25.4307,"W. Barton",867,8,6.85675334514115,0.0897216548588453,0.0250064202785836,8
19.134445,7.102625,25.37071,"W. Barton",867,9,7.00804466908386,0.0945803309161395,0.0819792132720098,8
18.985455,7.383775,25.343985,"W. Barton",867,10,7.36226507939963,0.0215099206003693,0.0641588697760291,8
18.691775,7.6779,25.399105,"W. Barton",867,11,7.022084679916,0.655815320083996,0.0254409804655593,8
18.158605,8.24699,25.39586,"W. Barton",867,12,6.82500268614327,1.42198731385673,0.0284120309824944,8
17.593735,8.92399,25.313535,"W. Barton",867,13,8.82420223670484,0.0997877632951578,0.0319109548292522,8
"x_loc","radius","y_loc","abbrName","rounded_gameClock","frame_id","loess_coords","loess_residuals","quad_residuals","id"
18.16472,5.285655,24.211595,"W. Barton",2861,1,6.00416764422052,-0.718512644220524,NA,9
18.387855,5.81157,24.228815,"W. Barton",2861,2,6.40179123657311,-0.590221236573113,NA,9
18.67167,6.16334,24.26377,"W. Barton",2861,3,6.8098820319389,-0.646542031938895,NA,9
18.808235,6.505865,24.30308,"W. Barton",2861,4,6.93466033283238,-0.428795332832379,NA,9
19.080275,6.63749,24.481115,"W. Barton",2861,5,6.74655295023528,-0.10906295023528,0.0448199711260472,9
19.13197,6.816785,24.46785,"W. Barton",2861,6,6.74870220837985,0.0680827916201459,0.0608008011165492,9
19.17058,6.97368,24.587925,"W. Barton",2861,7,6.99655995544101,-0.022879955441006,0.0776736144459335,9
19.032095,7.102745,24.51146,"W. Barton",2861,8,7.02180552076491,0.0809394792350915,0.135119787131168,9
18.816635,7.38709,24.558045,"W. Barton",2861,9,6.96789734454146,0.419192655458537,0.117038165355739,9
18.53307,7.80608,24.53473,"W. Barton",2861,10,7.04707585561215,0.759004144387851,0.0497249627837402,9
17.9976,8.39027,24.56023,"W. Barton",2861,11,7.31058001259022,1.07968998740978,0.0255030748312112,9
17.41565,9.08496,24.54839,"W. Barton",2861,12,9.14429921517769,-0.0593392151776904,0.0196452140022169,9

