playerName,ft_percentage
AlecBurks,0.752
AlHorford,0.798
AlJefferson,0.649
AndreDrummond,0.355
AndrewWiggins,0.761
AnthonyDavis,0.758
BlakeGriffin,0.727
BradleyBeal,0.767
BrandonKnight,0.852
BrookLopez,0.787
CJMiles,0.75
CarmeloAnthony,0.829
ChrisBosh,0.795
ChrisPaul,0.896
ClintCapela,0.379
CoryJoseph,0.764
DamianLillard,0.892
DaniloGallinari,0.868
DarrenCollison,0.858
DavidLee,0.763
DeandreJordan,0.43
DemarDerozan,0.85
DemarcusCousins,0.718
DeronWilliams,0.869
DerrickFavors,0.709
DerrickWilliams,0.758
DionWaiters,0.713
DirkNowitzki,0.893
DraymondGreen,0.696
DwayneWade,0.793
DwightHoward,0.489
DwightPowell,0.739
EdDavis,0.559
ElfridPayton,0.589
EmmanuelMudiay,0.67
EnesKanter,0.797
EricBledsoe,0.802
EricGordon,0.888
FestusEzeli,0.53
GarrettTemple,0.728
GiannisAntetokounmpo,0.724
GordonHayward,0.824
GorguiDieng,0.827
GregMonroe,0.74
HassanWhiteside,0.65
IanMahinmi,0.587
IsaiahCanaan,0.833
IsaiahThomas,0.871
JJHickson,0.447
JabariParker,0.768
JaeCrowder,0.82
JahlilOkafor,0.686
JakarrSampson,0.656
JamalCrawford,0.904
JamesHarden,0.86
JamychalGreen,0.752
JaredSullinger,0.64
JarrettJack,0.893
JasonSmith,0.806
JeffTeague,0.837
JeramiGrant,0.658
JimmyButler,0.832
JoeJohnson,0.831
JohnHenson,0.59
JohnWall,0.791
JoshSmith,0.552
JrueHoliday,0.843
JuliusRandle,0.715
KawhiLeonard,0.874
KembaWalker,0.847
KevinDurant,0.898
KevinLove,0.822
KobeBryant,0.826
KostaKoufos,0.548
KyleAnderson,0.747
KyleLowry,0.811
LamarcusAldridge,0.858
LanceThomas,0.857
LebronJames,0.731
LouWilliams,0.83
MarcGasol,0.829
MarcoBelinelli,0.833
MarcusMorris,0.749
MarioChalmers,0.832
MarkieffMorris,0.735
MarvinWilliams,0.833
MasonPlumlee,0.642
MattBarnes,0.804
MikeConley,0.834
NerlensNoel,0.59
NicolasBatum,0.849
PauGasol,0.792
PaulGeorge,0.86
PaulMillsap,0.757
RamonSessions,0.756
RobertCovington,0.791
RodneyHood,0.86
RodneyStuckey,0.829
RoyHibbert,0.807
RudyGobert,0.569
RussellWestbrook,0.812
RyanAnderson,0.873
StephCurry,0.833
TerrenceJones,0.664
TobiasHarris,0.831
TonyParker,0.76
TrevorAriza,0.783
TyLawson,0.686
VictorOladipo,0.83
WillBarton,0.806
ZachLavine,0.793
ZazaPachulia,0.768
