"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180"
"AllPlayers",5.10098,-0.950529860185557,5.14829,-0.95196064973189,5.16545,-0.95198918029719,5.25534,-0.947788587955833,5.297675,-0.943232347087901,5.541215,-0.883476120875185,5.60178,-0.860378671524138,5.62225,-0.852111325784314,5.65283,-0.839252154075999,5.83129,-0.748368364856446,5.88823,-0.712145148085449,5.96479,-0.656558361428658,6.04774,-0.581559784958225,6.058935,-0.570021275556534,6.113475,-0.509715283223542,6.28462,-0.288855279980808,6.34497,-0.204982753873032,6.37107,-0.168534170575786,6.40255,-0.121167772101133,6.42796,-0.0791095973310361,6.476735,0.00566680073744238,6.492485,0.0328563187605144,6.534605,0.101364019028472,6.571445,0.159873059728013,6.57391,0.163917387991551,6.64359,0.277238071476767,6.654085,0.293158454948983,6.66411,0.307823868962705,6.70135,0.35623173126035,6.74598,0.404090610697801,6.75849,0.4162250071037,6.770565,0.427360155329942,6.78633,0.441005403116031,6.790585,0.444508969916767,6.8034,0.454584684134036,6.80618,0.456693363101333,6.83229,0.475985555592443,6.834,0.47719288969439,6.85073,0.488415969236292,6.86111,0.494709260679937,6.881715,0.505184771172545,6.88283,0.505665037381559,6.89589,0.510705326638491,6.9176,0.517123395919189,6.924835,0.518856402754102,6.94796,0.523339063349754,6.96194,0.523741529127972,6.97629,0.522351565197845,6.99488,0.519123881824061,7.018705,0.515205653501424,7.02035,0.515026986862628,7.050245,0.511534246713291,7.06031,0.509752482074842,7.08965,0.50291086566981,7.093515,0.501837724252258,7.16258,0.476937081028798,7.21848,0.450629102837924,7.222795,0.448393517589955,7.2399,0.438556865806403,7.305225,0.389717576594645,7.41128,0.294755889429977,7.41399,0.292410405689463,7.47136,0.247445454500253,7.47775,0.243059703817815,7.498005,0.228903805262124,7.53551,0.201768905846369,7.64758,0.115511289304477,7.73394,0.046548627881337,7.740185,0.0415505316480819,7.959405,-0.140328628257549,7.986605,-0.163451223940556,8.064585,-0.229924902792393,8.16514,-0.315354002954421,8.22885,-0.36883894608603,8.27242,-0.405331765078051,8.580035,-0.669882015302592,8.607555,-0.693879006469457,8.69217,-0.767705079933852,8.892425,-0.941361536439538,8.9058,-0.952857109202382,9.126765,-1.14375315053584,9.16825,-1.17977070004743,9.245825,-1.24724303948778,9.269265,-1.26765831781271,9.363985,-1.35026670512834,9.50242,-1.47134283140818,9.60692,-1.5630398413352,9.729255,-1.67071560069288,9.868345,-1.79356977356188,9.954095,-1.86953900378895
"AlecBurks",5.35653,-1.16778505755213,5.370795,-1.16423405174584,5.49845,-1.12543826885267,5.503815,-1.12353151123544,5.510445,-1.12114439758935,5.72143,-1.02743633852447,5.738775,-1.01821326696514,5.82693,-0.967984098528383,5.831755,-0.965070209305664,6.005395,-0.848341966018463,6.08316,-0.788283502467527,6.10004,-0.774585726014669,6.1012,-0.773634488045702,6.21031,-0.67187112238299,6.213055,-0.669075251936319,6.25879,-0.621575356314468,6.27967,-0.599530800840157,6.35329,-0.522201114885313,6.40745,-0.460414108808454,6.451815,-0.405555180892874,6.45426,-0.40254549020625,6.477935,-0.373947087191135,6.501315,-0.347261967448007,6.57823,-0.25455689104806,6.62622,-0.193428760650894,6.6341,-0.183556175881662,6.675655,-0.133652043045725,6.69223,-0.115201104845934,6.71108,-0.0955826341867813,6.73641,-0.0694080275343211,6.772525,-0.030643265998695,6.78779,-0.0144913091926731,6.806325,0.00439290274748346,6.82626,0.0233030725295169,6.85976,0.0503521678311388,6.86456,0.0538993495356442,6.8694,0.0574833795353238,6.891585,0.073714067493964,6.90104,0.080366492597282,6.939085,0.103613601834262,6.94998,0.10910514215686,6.96717,0.117451110583977,7.0181,0.138210979674277,7.022355,0.139572819831363,7.0529,0.147104451823043,7.10525,0.149665781658401,7.12933,0.147224541804309,7.13721,0.146056110522847,7.17488,0.138660071457102,7.18381,0.136601951726211,7.21581,0.128876989820321,7.227625,0.125537020294122,7.2913,0.095293345797461,7.317055,0.0799124348110034,7.32876,0.0728398728766337,7.354995,0.0575400118227253,7.37754,0.0457777106914857,7.39267,0.0381362416008075,7.404085,0.0319194450867641,7.40932,0.0289523016116528,7.48311,-0.0180037204151723,7.48833,-0.021514999898669,7.54925,-0.0615302959725412,7.564585,-0.0714389212471733,7.56592,-0.0723319119811495,7.57403,-0.077838822724563,7.615495,-0.106955755040014,7.639085,-0.122906210256562,7.71112,-0.170491763353981,7.72021,-0.176614095524146,7.73576,-0.187144654208999,7.84211,-0.260927560395125,7.8742,-0.283723899315193,7.888155,-0.293704349231394,7.91411,-0.312414271106418,7.98017,-0.360983633847112,8.028735,-0.397484273108952,8.04713,-0.411469601415336,8.101525,-0.453292921909611,8.19852,-0.529382842365868,8.23424,-0.558049182056839,8.297705,-0.610138668775146,8.502735,-0.786776897448107,8.57473,-0.851116657687836,8.64434,-0.914109724505583,8.741045,-1.00291477023288,8.86738,-1.1215374415579,9.191795,-1.44001940021096,9.210495,-1.45899870780775,9.366615,-1.62015063567758
"AlHorford",5.58909,-1.07195256659879,5.67337,-1.00385410841765,5.73327,-0.951426712367837,5.76329,-0.923921250294617,5.898025,-0.790655440554043,6.00062,-0.678806349405478,6.07009,-0.59806486688332,6.094055,-0.568762419275603,6.171175,-0.469819242358658,6.171585,-0.469280381362212,6.21613,-0.410389034028274,6.26407,-0.347022871443,6.31035,-0.278413897126374,6.31234,-0.27519495767292,6.343605,-0.223182871739337,6.3717,-0.175955301771354,6.40991,-0.115377123450099,6.424595,-0.0943340604802156,6.430235,-0.0864437837732051,6.44174,-0.0696490234755564,6.533045,0.074218176462212,6.54038,0.0848141520299344,6.56798,0.120688448760181,6.571445,0.124751284212375,6.593295,0.151456776745147,6.595085,0.153703674554602,6.6459,0.217072715146619,6.65018,0.222093565838685,6.69159,0.264323047078634,6.69196,0.26463402095666,6.70753,0.277128837176857,6.71987,0.286255374018282,6.789505,0.327425375016521,6.79065,0.327986307625939,6.85201,0.351969650330371,6.863185,0.354085373036422,6.89074,0.356555228396495,6.922765,0.35570585622129,6.934095,0.354755122184864,7.01178,0.346469735204801,7.04032,0.341572785594029,7.04431,0.34048355349067,7.08497,0.326177819619678,7.087595,0.325152785062045,7.137225,0.307906565045218,7.216795,0.276071885979918,7.22958,0.269471710465571,7.27131,0.246779009933081,7.295605,0.23346593540102,7.336275,0.21259422860091,7.33675,0.212368098839401,7.369065,0.197209058715173,7.37111,0.196198641474,7.50566,0.122664932379915,7.520375,0.114912888883766,7.52873,0.110640381436853,7.54208,0.104043489257709,7.5747,0.0881812227315658,7.58111,0.0850369480308295,7.66385,0.0437541631572339,7.71219,0.019140480795935,7.73874,0.00550391719150773,7.747375,0.00105383484816715,7.749415,1.64625763360684e-06,7.76646,-0.00879652702825786,7.856385,-0.055609687202378,7.874745,-0.0652963513334603,7.93425,-0.0971375304776979,8.00195,-0.133650379677032,8.025985,-0.146617025963238,8.033565,-0.150716319228752,8.060055,-0.16510075195214,8.11056,-0.192909811726406,8.206705,-0.248221347209104,8.24792,-0.27289189231188,8.340365,-0.32907894051988,8.36685,-0.345519775273475,8.450305,-0.398791915102111,8.46309,-0.407187578516287,8.610775,-0.508512794481486,8.69297,-0.567773962549379,8.81845,-0.661440797919009,8.86469,-0.696769850133459,9.03538,-0.829952343156034,9.08147,-0.866450456981938,9.29769,-1.0408069140439,9.346455,-1.08090209264862,9.72613,-1.40295201804315,9.864385,-1.5246330470454,10.29238,-1.9165949095936
"AlJefferson",5.21318,-0.646211809930547,5.218205,-0.649384722804624,5.23226,-0.658021182909184,5.246315,-0.666258937609583,5.255495,-0.671395158897596,5.26275,-0.675306232627645,5.271795,-0.680065993793652,5.283765,-0.686201680391384,5.29673,-0.692607916077473,5.3049,-0.696501539827012,5.31582,-0.701514712920817,5.324665,-0.705406193060961,5.340055,-0.711849037694393,5.35241,-0.716741539595123,5.36876,-0.722866449541027,5.373715,-0.724649766103968,5.38056,-0.727061207541024,5.38511,-0.728621443842232,5.407805,-0.735773324725114,5.415515,-0.737994390064673,5.43351,-0.742849860988266,5.43687,-0.743713261113213,5.46181,-0.749747454514352,5.476875,-0.752831290644621,5.492015,-0.755486736053159,5.510675,-0.758250445911208,5.541835,-0.761949055099084,5.55091,-0.762882466492042,5.57846,-0.764717101934728,5.61344,-0.763830331053054,5.64701,-0.760339375364889,5.674845,-0.756071064284479,5.721635,-0.747435938202048,5.78216,-0.736616978929251,5.82826,-0.727207800173797,5.89338,-0.709778252218772,5.95263,-0.691692637730269,6.02407,-0.669950613061819,6.061765,-0.659600610826202,6.1033,-0.650039552590781,6.166765,-0.64112036607275,6.23972,-0.635121045496923,6.31138,-0.627581873182635,6.406435,-0.604362996766487,6.46612,-0.576189112118218,6.53331,-0.527727262532007,6.598095,-0.466909613104773,6.68385,-0.372934257609672,6.78021,-0.261052591958687,6.80948,-0.227908751029991,6.853645,-0.179652350125359,6.90942,-0.105830596680094,6.97915,0.00269850313386632,7.025665,0.0748110178947201,7.06414,0.128675656204286,7.0978,0.168309687652837,7.130245,0.202561009382035,7.149345,0.225274429343449,7.17231,0.253318190690094,7.19115,0.275496565760884,7.21672,0.302127975277456,7.22762,0.311611947139637,7.247305,0.328380178113065,7.26876,0.348057315067927,7.28799,0.366145739686508,7.31408,0.390049207353503,7.34057,0.411894870422693,7.36841,0.430380761321237,7.39935,0.449303791293523,7.47152,0.492866415562362,7.507105,0.512685277753457,7.56641,0.540867546133823,7.62351,0.559686795261758,7.684585,0.569218512254814,7.78317,0.568380539999766,7.85284,0.557452601530735,8.03475,0.49775775174654,8.25692,0.388112698566782,8.38456,0.32042802796434,8.669555,0.133180143657513,8.879925,-0.0416870854910021,9.08913,-0.23357966088277,9.39111,-0.519023007796436,9.60572,-0.711198310323416,9.770475,-0.848338294650798,10.026785,-1.06644983215173,10.219335,-1.23552287252167,10.36305,-1.36477406264566,10.64305,-1.62446249128064,11.27889,-2.25582614534905
"AndreDrummond",5.2181,-1.0330894870424,5.28681,-1.04144740759691,5.44534,-1.04833626608544,5.47711,-1.04765752689684,5.58528,-1.04025084397626,5.670175,-1.02896949938299,5.73829,-1.01725248198629,5.810005,-1.00272832017724,5.92459,-0.972677961395293,5.9767,-0.955393324253092,6.056205,-0.923625682190929,6.108705,-0.898882617295025,6.178105,-0.864147353972916,6.235225,-0.833154151158736,6.344685,-0.763827275788665,6.36826,-0.746651124003903,6.402775,-0.719767280818436,6.448555,-0.679556382351568,6.476275,-0.651275664460839,6.506855,-0.617159397913245,6.5447,-0.571666992515569,6.66139,-0.421583535976599,6.7013,-0.371570207112236,6.733575,-0.327906615903702,6.756095,-0.293921499597233,6.76477,-0.280412300956242,6.82424,-0.18911944365398,6.862215,-0.140119339335859,6.87364,-0.127548880704863,6.87908,-0.12119874820734,6.892555,-0.104599903495632,6.90196,-0.0926848695873068,6.92523,-0.0643675058597135,6.93908,-0.0498866533578071,6.96088,-0.0281499949557939,6.96954,-0.01923702019827,6.983335,-0.00526163492707855,6.9864,-0.00224652391950576,7.00094,0.01128914080908,7.02483,0.0293713791324435,7.03699,0.0365340773885356,7.047035,0.0416496930501551,7.060705,0.0476786734793678,7.076135,0.0535423650692886,7.117605,0.067673408455536,7.122725,0.0693637325146815,7.14831,0.0740665060068248,7.155265,0.0745174706351761,7.171985,0.0747288860067958,7.2086,0.0743554968780403,7.21538,0.074681483360518,7.24161,0.0737820101634143,7.273685,0.0669629160299258,7.277025,0.0659861266839829,7.293625,0.0606094595805395,7.32178,0.0502929463662621,7.396185,0.026724077281599,7.433755,0.0142441030610778,7.48279,-0.00578726221107282,7.507135,-0.0163983510046048,7.544825,-0.0325069838123579,7.56983,-0.0423545932894655,7.59484,-0.0517095782683465,7.6591,-0.0787421861055454,7.73735,-0.115666831514437,7.77695,-0.135102408455703,7.84444,-0.167924219923359,7.885105,-0.186808321534428,7.96169,-0.222200995525423,8.006005,-0.24337301779258,8.089755,-0.284888011873569,8.261235,-0.376715714543484,8.36264,-0.435855595265306,8.44247,-0.485233168018251,8.519465,-0.536167606077265,8.640965,-0.622706046895024,8.73283,-0.691614656514727,8.816335,-0.755681266944658,9.01069,-0.904692749027407,9.16272,-1.02170139470822,9.23967,-1.08250087895987,9.30792,-1.13695363118949,9.35263,-1.17277704663875,9.5207,-1.30729241876821,9.59356,-1.36499759896964,9.734805,-1.4766211679708,9.83189,-1.55338323841524,9.90426,-1.61067883359751,9.996565,-1.68390738956078,10.526915,-2.11123490062163
"AndrewWiggins",5.35693,-0.37653017279268,5.46264,-0.367973830769459,5.525275,-0.358750054728093,5.557435,-0.352799247083412,5.64792,-0.331587300892956,5.74221,-0.302335500736139,5.85887,-0.255541014935873,5.93002,-0.221607174628772,5.94146,-0.215794498598043,5.98745,-0.191475050644345,6.10003333333333,-0.125907837999532,6.15921,-0.0872802783451519,6.219465,-0.0430461780380947,6.28012,0.00534353947330601,6.30496,0.0259888935523153,6.4046,0.111489571761388,6.47301,0.170604484421792,6.51485,0.207214763554714,6.542335,0.233472455171145,6.59642,0.288351399964174,6.62888,0.321783120889775,6.68889,0.380637330382014,6.709955,0.399630834012232,6.74647,0.434876897933638,6.767635,0.456543704133795,6.798445,0.488569620481495,6.839305,0.529747415515587,6.87681,0.563668725615731,6.90149,0.584221564484391,6.916465,0.597284916748598,6.95401,0.630915245662651,6.983015,0.656441979866211,7.00149,0.671872524231731,7.03671,0.698195991529066,7.05854,0.712871091534445,7.10321,0.742141439088581,7.13576,0.762175516531363,7.16431,0.778365664686602,7.18648,0.789801601763729,7.2147,0.802771819328267,7.24669,0.815773988978269,7.26614,0.82287697141389,7.28462,0.829101350570661,7.34617,0.846525081540691,7.39602,0.857463876690245,7.41019,0.859949110288074,7.43151,0.862704480546396,7.48014,0.865373579690719,7.52718,0.864657502550537,7.582095,0.862097711190619,7.605745,0.861081576967162,7.62894,0.859695627676959,7.72129,0.845908791772227,7.7501,0.839677574764856,7.81356,0.824376200232157,7.856365,0.813775620249265,7.86846,0.810856269447814,7.913695,0.798475617540444,8.00206,0.76773255619171,8.02705,0.757915528297172,8.08715,0.733169162382901,8.17666,0.695682568303869,8.22744,0.674742341185759,8.31009,0.63683722899789,8.37282,0.605485085519737,8.40613,0.588207219682973,8.47357,0.552425670077492,8.565225,0.503229702960366,8.64581,0.457557431749284,8.82246,0.347230716017092,8.891,0.301198373544824,8.98533,0.235420024729761,9.20132,0.0767757247342204,9.2458,0.0428889014345797,9.423575,-0.101791271744474,9.49039,-0.159258322955933,9.645705,-0.297115295871784,9.86618,-0.497080010289569,9.91049,-0.537068238197305,10.05522,-0.669669777273815,10.19904,-0.805654251668673,10.23053,-0.83591771720676,10.40729,-1.00852711903459,10.545925,-1.14653778752407,10.60403,-1.20490864539223,10.7118,-1.31407336065756,10.851745,-1.45774575246326,10.97134,-1.58240101718702,11.12391,-1.74417347749246,11.4657,-2.11920428346781
"AnthonyDavis",5.301255,-0.818609429985201,5.44233,-0.796783145530775,5.51231,-0.788895181383906,5.559995,-0.784632512107992,5.60218,-0.781611278473941,5.63781,-0.779618243239894,5.666225,-0.77939559275997,5.681515,-0.779762653273503,5.6973,-0.780194766857255,5.716835,-0.780440292353851,5.73183,-0.780140111014426,5.744965,-0.779826974864358,5.757455,-0.779980364272276,5.77224,-0.780349807585135,5.78875,-0.780459115427187,5.79469,-0.780300788786624,5.80768,-0.779380541033868,5.82119,-0.777629277771567,5.82695,-0.776706337537211,5.83698,-0.774867132528856,5.844265,-0.773358651214171,5.85457,-0.770997760149314,5.865545,-0.768116848253595,5.87536,-0.764624676615139,5.88631,-0.759900384527205,5.893645,-0.756465118400694,5.903495,-0.751785808863087,5.914725,-0.746747359764432,5.92162,-0.743760257610634,5.92954,-0.739711721423642,5.935545,-0.736315955167623,5.94371,-0.731462568926326,5.95729,-0.723477310411521,5.969975,-0.717081734303718,5.98759,-0.709850811420176,5.99692,-0.706178691715213,6.005295,-0.702819943618905,6.012385,-0.699849554374334,6.02348,-0.694808386456563,6.030485,-0.691344880327078,6.04005,-0.686648299989987,6.047165,-0.683132384191721,6.05821,-0.677462347909907,6.06594,-0.673222825238456,6.077105,-0.666507027702684,6.08668,-0.660196303030072,6.09687,-0.653283071994712,6.10366,-0.64857894671447,6.12575,-0.632800811768274,6.14515,-0.618448306082678,6.1595,-0.607612204371633,6.21204,-0.568649951242881,6.240075,-0.548611882853829,6.34457,-0.479868371780444,6.41145,-0.441980372677653,6.520765,-0.393135407723856,6.59808,-0.36838498719652,6.692335,-0.344529551232277,6.78968,-0.325054978759082,6.88785,-0.3084365511739,7.03989,-0.283238542200512,7.10616,-0.270573902752833,7.247835,-0.236174582290266,7.322285,-0.214944080460288,7.394335,-0.194094560813653,7.4943,-0.167220686176329,7.572065,-0.150040918104545,7.6318,-0.140118300086071,7.734425,-0.120022184521135,7.804525,-0.105203207022263,7.86753,-0.0944398831703281,7.95019,-0.0883409325384065,7.98162,-0.0894749216180936,8.021045,-0.0930532236664346,8.069745,-0.0981913525101471,8.11206,-0.10363119463944,8.144855,-0.108712705546277,8.20265,-0.120059047007395,8.24172,-0.129841221028081,8.272735,-0.138585088912496,8.33079,-0.156519881316919,8.365495,-0.168225871523077,8.462765,-0.205014560174047,8.58914,-0.261731501384998,8.73498,-0.339962644394259,9.039355,-0.54541727919224,9.33761,-0.801804709642443,9.667575,-1.14940047523275,9.83298,-1.34907066503289,10.3758,-2.12456101400859
"BlakeGriffin",4.85462,-0.741543370590845,4.86964,-0.743439253449812,4.95811,-0.750196495901849,5.00276,-0.750947649924294,5.03979,-0.750336456330679,5.05704,-0.749691101291857,5.10901,-0.746391176120144,5.13593,-0.743840095957423,5.17639,-0.738850652407069,5.239795,-0.728043269999464,5.26609,-0.722420486798304,5.4065,-0.68024236616103,5.46447,-0.658631739534905,5.495805,-0.646032421166273,5.50792,-0.640944901933219,5.60389,-0.595201226509365,5.64934,-0.569359502816013,5.76514,-0.486226623800631,5.88134,-0.372391134593721,5.88854,-0.364692994746884,5.91359,-0.33759252166279,5.98551,-0.258674086039774,6.0384,-0.201126594833505,6.11447,-0.101746314181977,6.12245,-0.0905373704549647,6.153315,-0.0472524684968871,6.19207,0.00470855627205917,6.19928,0.0138103836313359,6.22369,0.0428762468222277,6.247715,0.0727661928384858,6.25875,0.0872023646390671,6.2798,0.114986684093989,6.293485,0.132655714423335,6.32934,0.174206030182821,6.332475,0.177423955409696,6.36853,0.217110917357845,6.38068,0.230680950046937,6.39903,0.250230736010639,6.41448,0.265079886433531,6.41807,0.26824171214369,6.4231,0.272653171570329,6.42795,0.277016373848493,6.44882,0.296346619189033,6.480205,0.323294025091999,6.48401,0.32608178591194,6.52968,0.356417826272893,6.56392,0.376077460678086,6.59773,0.392743236427045,6.626535,0.404685974172942,6.65878,0.415483095642787,6.693655,0.423970855544662,6.745555,0.428334783286003,6.772965,0.426722855769104,6.78664,0.425120706828162,6.8622,0.409918250958129,6.91735,0.396302924179053,6.95525,0.38791768472771,6.99013,0.37809480417586,7.0562,0.352026141937341,7.07901,0.341357607634767,7.13073,0.315290079263471,7.16546,0.297107344745461,7.26343,0.247521639887332,7.27983,0.238657332017533,7.32288,0.213623420274056,7.3621,0.189316833259439,7.3818,0.176837924013633,7.48574,0.111968515035618,7.53587,0.0793645420840136,7.59644,0.0377518888590143,7.72727,-0.0568582419790705,7.76188,-0.0822062884916812,7.827675,-0.129864152706072,7.838185,-0.137380737680439,7.988955,-0.252939062148095,8.17638,-0.410598288628845,8.286155,-0.505812229511749,8.390755,-0.595838808566855,8.48377,-0.673645188757074,8.56065,-0.737057551989523,8.67537,-0.832896018147637,8.88686,-1.01165948122638,8.94771,-1.06319432648671,8.99119,-1.09995670472066,9.166085,-1.24664877323024,9.20236,-1.27676682617293,9.316555,-1.37129094707288,9.57239,-1.58199727108165,9.70756,-1.69310053314692,9.924655,-1.87186097178232
"BradleyBeal",4.80028,-0.904688616443608,4.947265,-0.961877449191608,5.035655,-0.979813808222038,5.074215,-0.983730506640973,5.209605,-0.978513051414012,5.39302,-0.923778626923761,5.48888,-0.874737174989047,5.52461,-0.853201865005717,5.591315,-0.807801933215152,5.667865,-0.746692379112303,5.74916,-0.670267742425923,5.83061,-0.577326790153309,5.87514,-0.514908142255321,5.87811,-0.510496436488901,5.924925,-0.437709798887061,6.00585,-0.302779180245864,6.051615,-0.225300371600642,6.05935,-0.212233649263815,6.0746,-0.184410772763164,6.12992,-0.070377454890833,6.14193,-0.0456933079797482,6.15193,-0.025870408183911,6.167005,0.00217366811298864,6.19978,0.0642493656088818,6.209905,0.0843741394201329,6.238375,0.140500865537575,6.248595,0.159779160759744,6.269595,0.19652303275951,6.275615,0.206260162090588,6.289185,0.2289703719252,6.293915,0.237039995941647,6.3081,0.261106220638661,6.32304,0.285204049329953,6.33135,0.297546526188927,6.342885,0.314388384115272,6.35733,0.336217275268915,6.36903,0.354065123945489,6.3895,0.384493510377235,6.40719,0.408702556447772,6.4221,0.426632870413234,6.43481,0.440306507576673,6.447345,0.452927926589145,6.456885,0.462001055015022,6.488675,0.489321047199673,6.52808,0.518271097856061,6.551085,0.532132438132641,6.58075,0.544919625548918,6.635165,0.557603167410885,6.64112,0.558418019859271,6.682085,0.562603166127412,6.72109,0.566545751721883,6.738955,0.567942404600161,6.77065,0.566611266105951,6.80667,0.560453235319162,6.870385,0.542536459891174,6.95307,0.519332223011168,6.96184,0.517614590436382,7.04788,0.4933593666684,7.078435,0.481806935921266,7.13869,0.456133854139723,7.17953,0.437462418221373,7.2723,0.395263196076977,7.398165,0.33893100746214,7.44217,0.316677358820311,7.47864,0.297475709899271,7.53609,0.266237371520265,7.66625,0.193949382974953,7.741425,0.153378241570026,7.846035,0.0953278659554213,7.945,0.0368315996964222,7.968545,0.0224463998776898,8.1014,-0.0617389201795684,8.28314,-0.183895971144533,8.4223,-0.283242490763117,8.508385,-0.348274659710491,8.62404,-0.438925570093082,8.63921,-0.451035345772117,8.804255,-0.584857529709609,9.011505,-0.754137788075808,9.158595,-0.875172235728326,9.222775,-0.929123780757657,9.319605,-1.01167106195245,9.495045,-1.16421200388487,9.58711,-1.24549353032866,9.612685,-1.26819751523542,9.778505,-1.41694609258302,9.814335,-1.44945401360806,10.006075,-1.62578401580878,10.13976,-1.75122586161519,10.38949,-1.99155355585399
"BrandonKnight",5.274585,-0.8748000749588,5.296405,-0.86692465685821,5.306995,-0.862937046372132,5.32242,-0.856890757431712,5.334585,-0.85189334331455,5.34783,-0.846190644173943,5.36368,-0.839098334986885,5.382805,-0.830279542146474,5.4028,-0.820726728332938,5.40907,-0.817656297812786,5.427925,-0.808193863346363,5.43807,-0.80295221659541,5.452485,-0.795301449877634,5.468515,-0.786537891324025,5.48844,-0.775327131392187,5.4979,-0.7699012554531,5.51474,-0.760110628209321,5.52153,-0.756111711633937,5.541485,-0.744022200444391,5.55981,-0.732516862844709,5.59487,-0.709623148691095,5.605035,-0.702810548285756,5.67259,-0.655930672865541,5.72124,-0.617859486043267,5.75522,-0.588967944022763,5.79156,-0.556412897580184,5.87681,-0.475637712091787,5.90122,-0.451933073163606,6.038235,-0.321616714697394,6.11108,-0.252837159826091,6.162535,-0.203137452882642,6.2238,-0.14299874061028,6.26107,-0.106005357459558,6.38443,0.0178140566601244,6.40976,0.0447094226709787,6.4461,0.0870798291224985,6.541785,0.206644776963792,6.59356,0.266765558564389,6.61072,0.284676650759372,6.64206,0.314510384338284,6.70334,0.377157886098662,6.75778,0.434873194096234,6.78173,0.459204870053524,6.820485,0.495389831948462,6.85345,0.521624178315593,6.879905,0.540874773419813,6.911965,0.564595021063129,6.938985,0.584496850759484,6.97583,0.610805505473975,7.008835,0.632868647977507,7.085475,0.67481369362894,7.125165,0.691390452324292,7.168125,0.70743909481428,7.237625,0.728431222607922,7.286175,0.73882776977682,7.32461,0.744215850791729,7.36106,0.746698105570658,7.436225,0.740466161715321,7.516475,0.720594992593922,7.5399,0.713123648124441,7.58744,0.696700121255535,7.66845,0.668111860299358,7.68235,0.663240104254036,7.74843,0.633417732488551,7.818835,0.592981535223761,7.86051,0.566847601402867,7.94209,0.515665203852113,7.98646,0.490071601486004,8.02894,0.465014115539301,8.08294,0.429269338605226,8.12936,0.395964063717457,8.18729,0.352357024422099,8.30443,0.263413050682491,8.353805,0.228109136364028,8.40308,0.192937718375039,8.53671,0.0905324301905554,8.65533,-0.00628033368030835,8.83619,-0.157600922002865,8.909885,-0.218459036924299,8.973415,-0.270869658402336,9.147725,-0.419322102936745,9.327785,-0.578472689005448,9.436285,-0.676481839991992,9.56424,-0.793461092088245,9.74612,-0.961594575977828,9.796745,-1.0090083620573,10.002605,-1.20502023552966,10.067455,-1.26785690022007,10.21401,-1.41183377066943,10.62293,-1.82856022538664
